ID	adj.P.Val	P.Value	Gene.symbol	Gene.title	Gene.ID
8064485	0.63540225	1.29e-01	SIRPG	signal regulatory protein gamma	55423
7985522	0.63540225	1.29e-01	ADAMTSL3	ADAMTS like 3	57188
7896368	0.63540225	1.29e-01			
8055426	0.63540225	1.29e-01	MCM6	minichromosome maintenance complex component 6	4175
8107125	0.63540225	1.29e-01			
8052331	0.63540225	1.29e-01	PNPT1	polyribonucleotide nucleotidyltransferase 1	87178
8071523	0.63540225	1.29e-01	LOC729461///FAM230B///FAM230C	uncharacterized LOC729461///family with sequence similarity 230 member B (non-protein coding)///family with sequence similarity 230 member C	729461///642633///26080
8074737	0.63540225	1.29e-01	LOC729461///FAM230B///FAM230C	uncharacterized LOC729461///family with sequence similarity 230 member B (non-protein coding)///family with sequence similarity 230 member C	729461///642633///26080
7894204	0.63540225	1.29e-01			
8158298	0.63540225	1.29e-01	GLE1	GLE1, RNA export mediator	2733
7995252	0.63540225	1.29e-01	ZNF720	zinc finger protein 720	124411
7981740	0.63540225	1.29e-01	SCFV///IGLJ3///IGHM///IGHA1///SCFV///C14orf99///IGK///IGKV3-20///IGHV3-23///IGHV3-30///IGHV3-48///IGHV3-69-1	single-chain Fv fragment///immunoglobulin lambda joining 3///immunoglobulin heavy constant mu///immunoglobulin heavy constant alpha 1///single-chain Fv fragment///uncharacterized LOC317730///immunoglobulin kappa locus///immunoglobulin kappa variable 3-20///immunoglobulin heavy variable 3-23///immunoglobulin heavy variable 3-30///immunoglobulin heavy variable 3-48///immunoglobulin heavy variable 3-69-1 (pseudogene)	652070///28831///3507///3493///652070///317730///50802///28912///28442///28439///28424///28402
7960861	0.63540225	1.29e-01			
7966829	0.63540225	1.29e-01	WSB2	WD repeat and SOCS box containing 2	55884
7963157	0.63540225	1.29e-01	RACGAP1	Rac GTPase activating protein 1	29127
8047006	0.63540225	1.29e-01	ANKAR	ankyrin and armadillo repeat containing	150709
7937961	0.63540225	1.29e-01	MMP26	matrix metallopeptidase 26	56547
8080416	0.63540225	1.29e-01	SMIM4	small integral membrane protein 4	440957
7995994	0.63540225	1.29e-01	RSPRY1	ring finger and SPRY domain containing 1	89970
7909898	0.63545085	1.29e-01	MIA3	MIA family member 3, ER export factor	375056
7895356	0.63545085	1.29e-01			
7913558	0.6356094	1.29e-01	LUZP1	leucine zipper protein 1	7798
7926708	0.6356094	1.29e-01	THNSL1	threonine synthase like 1	79896
8079334	0.63598866	1.29e-01	LIMD1	LIM domains containing 1	8994
8083739	0.6361169	1.29e-01	MIR16-2	microRNA 16-2	406951
7965431	0.6361169	1.29e-01	CLLU1OS	chronic lymphocytic leukemia up-regulated 1 opposite strand	574016
8036460	0.6361169	1.29e-01	DPF1	double PHD fingers 1	8193
8054166	0.6361169	1.29e-01	TSGA10///TSGA10	testis specific 10///testis specific 10	80705///80705
8021442	0.6361169	1.29e-01	ZNF532	zinc finger protein 532	55205
7893875	0.6361169	1.29e-01			
7940135	0.6366654	1.29e-01	GLYATL1	glycine-N-acyltransferase like 1	92292
8180347	0.63675865	1.30e-01	CCDC187	coiled-coil domain containing 187	399693
8129706	0.63680942	1.30e-01	HBS1L	HBS1 like translational GTPase	10767
7904812	0.63680942	1.30e-01	PIAS3	protein inhibitor of activated STAT 3	10401
7989611	0.63686335	1.30e-01	FAM96A	family with sequence similarity 96 member A	84191
7933640	0.63691187	1.30e-01	A1CF	APOBEC1 complementation factor	29974
7921583	0.63691187	1.30e-01	COPA	coatomer protein complex subunit alpha	1314
8142332	0.63691187	1.30e-01	IMMP2L	inner mitochondrial membrane peptidase subunit 2	83943
8124534	0.63691187	1.30e-01	HIST1H4L	histone cluster 1, H4l	8368
7984190	0.63691187	1.30e-01	TRIP4	thyroid hormone receptor interactor 4	9325
7940486	0.63691187	1.30e-01	SDHAF2	succinate dehydrogenase complex assembly factor 2	54949
7926706	0.63691187	1.30e-01			
8017840	0.63691187	1.30e-01	LRRC37A2///LRRC37A6P///LRRC37A3///LRRC37A4P///LRRC37A	leucine rich repeat containing 37 member A2///leucine rich repeat containing 37 member A6, pseudogene///leucine rich repeat containing 37 member A3///leucine rich repeat containing 37 member A4, pseudogene///leucine rich repeat containing 37A	474170///387646///374819///55073///9884
7905088	0.63691187	1.30e-01	HIST2H2AC	histone cluster 2, H2ac	8338
7918533	0.63691187	1.30e-01	TMIGD3///ADORA3///TMIGD3///ADORA3	transmembrane and immunoglobulin domain containing 3///adenosine A3 receptor///transmembrane and immunoglobulin domain containing 3///adenosine A3 receptor	57413///140///57413///140
7916725	0.63691187	1.30e-01			
7910589	0.63691187	1.30e-01	MAP10	microtubule associated protein 10	54627
7949742	0.63691187	1.30e-01			
8002481	0.63691187	1.30e-01	HYDIN2///HYDIN	HYDIN2, axonemal central pair apparatus protein (pseudogene)///HYDIN, axonemal central pair apparatus protein	100288805///54768
7977478	0.63691187	1.30e-01	OR4K13	olfactory receptor family 4 subfamily K member 13	390433
8046695	0.63691187	1.30e-01	ITGA4	integrin subunit alpha 4	3676
8076393	0.63691187	1.30e-01	CENPM	centromere protein M	79019
8064098	0.63691187	1.30e-01			
8117531	0.63691187	1.30e-01			
8124467	0.63691187	1.30e-01			
8070097	0.63691187	1.30e-01	DNAJC28	DnaJ heat shock protein family (Hsp40) member C28	54943
7979696	0.63691187	1.30e-01			
8154128	0.63691187	1.30e-01			
7893356	0.63691187	1.30e-01			
8123044	0.63691187	1.30e-01	TULP4	tubby like protein 4	56995
7960177	0.63691187	1.30e-01	SLC6A12	solute carrier family 6 member 12	6539
8136589	0.63691187	1.30e-01			
8037301	0.63691187	1.30e-01	LYPD3	LY6/PLAUR domain containing 3	27076
8174893	0.63691187	1.30e-01	THOC2	THO complex 2	57187
7896187	0.63691187	1.30e-01			
8050702	0.63691187	1.30e-01	TP53I3	tumor protein p53 inducible protein 3	9540
7893800	0.63691187	1.30e-01			
8172333	0.63691187	1.30e-01	CFP	complement factor properdin	5199
7893128	0.63691187	1.30e-01			
8002897	0.63691187	1.30e-01	TMEM231	transmembrane protein 231	79583
7949931	0.63691187	1.30e-01	KMT5B	lysine methyltransferase 5B	51111
8020740	0.63691187	1.30e-01	DSG4	desmoglein 4	147409
8069831	0.63691187	1.30e-01	KRTAP19-3	keratin associated protein 19-3	337970
7934966	0.63691187	1.30e-01			
7894232	0.63691187	1.30e-01			
8114593	0.63691187	1.30e-01	APBB3	amyloid beta precursor protein binding family B member 3	10307
7915435	0.63691187	1.30e-01	CLDN19	claudin 19	149461
8040587	0.63691187	1.30e-01	EFR3B	EFR3 homolog B	22979
8043900	0.63691187	1.30e-01			
8039625	0.63691187	1.30e-01	ZIM3	zinc finger imprinted 3	114026
8044067	0.63691187	1.30e-01	SLC9A4	solute carrier family 9 member A4	389015
8165833	0.63691187	1.30e-01	ARSH	arylsulfatase family member H	347527
7950332	0.63691187	1.31e-01	C2CD3	C2 calcium dependent domain containing 3	26005
8157300	0.63696741	1.31e-01	BSPRY	B-box and SPRY domain containing	54836
7975412	0.63696741	1.31e-01	TTC9	tetratricopeptide repeat domain 9	23508
8099504	0.63696805	1.31e-01			
7894593	0.63696805	1.31e-01			
8144239	0.63703336	1.31e-01	FBXO25	F-box protein 25	26260
8091546	0.63703336	1.31e-01	TMEM14EP	transmembrane protein 14E, pseudogene	645843
8164781	0.6370508	1.31e-01	TSC1	tuberous sclerosis 1	7248
7921447	0.6371195	1.31e-01	OR10J5	olfactory receptor family 10 subfamily J member 5	127385
7892700	0.63717176	1.31e-01			
8117572	0.63717176	1.31e-01	ZNF391	zinc finger protein 391	346157
7946330	0.63717176	1.31e-01	OR10A6	olfactory receptor family 10 subfamily A member 6 (gene/pseudogene)	390093
8147112	0.63717176	1.31e-01	CA13	carbonic anhydrase 13	377677
7983512	0.63724734	1.31e-01	SQRDL	sulfide quinone reductase-like (yeast)	58472
7895281	0.6373643	1.31e-01			
8111698	0.63737468	1.31e-01	RICTOR	RPTOR independent companion of MTOR complex 2	253260
8168391	0.63737468	1.31e-01	FAM226B///FAM226A	family with sequence similarity 226 member B (non-protein coding)///family with sequence similarity 226 member A (non-protein coding)	653687///203429
8101000	0.63746693	1.31e-01	LOC541467	uncharacterized LOC541467	541467
7942769	0.63746693	1.31e-01	DKFZp434E1119	uncharacterized DKFZp434E1119	283218
8118667	0.63746693	1.31e-01	MYL12B///MYL12A	myosin light chain 12B///myosin light chain 12A	103910///10627
7943036	0.63746693	1.31e-01	TRIM49C///TRIM49B///TRIM49	tripartite motif containing 49C///tripartite motif containing 49B///tripartite motif containing 49	642612///283116///57093
8113037	0.63746693	1.31e-01	LINC00461///MIR9-2	long intergenic non-protein coding RNA 461///microRNA 9-2	645323///407047
7894601	0.63752206	1.31e-01			
8116724	0.63753656	1.31e-01	FARS2	phenylalanyl-tRNA synthetase 2, mitochondrial	10667
8072279	0.63759462	1.31e-01	MTMR3	myotubularin related protein 3	8897
7948267	0.63759462	1.31e-01	TIMM10	translocase of inner mitochondrial membrane 10 homolog (yeast)	26519
8011875	0.63788619	1.31e-01	DERL2	derlin 2	51009
8115366	0.63838455	1.31e-01			
8038967	0.63838455	1.31e-01	ZNF83	zinc finger protein 83	55769
8001048	0.63838455	1.31e-01	C16orf58	chromosome 16 open reading frame 58	64755
8081407	0.63840772	1.31e-01	ZPLD1	zona pellucida like domain containing 1	131368
7919584	0.63845657	1.31e-01	HIST2H2BF///HIST2H2BA	histone cluster 2, H2bf///histone cluster 2, H2ba (pseudogene)	440689///337875
8099233	0.63848094	1.31e-01	LOC100133131	uncharacterized LOC100133131	100133131
8072486	0.63877004	1.32e-01	LINC01521	long intergenic non-protein coding RNA 1521	54944
7990618	0.63877004	1.32e-01			
7968516	0.63877004	1.32e-01	PDS5B	PDS5 cohesin associated factor B	23047
7942267	0.63877004	1.32e-01	KRTAP5-10	keratin associated protein 5-10	387273
8097936	0.63877004	1.32e-01			
7975851	0.63877004	1.32e-01	IFT43	intraflagellar transport 43	112752
7926283	0.63905922	1.32e-01	PRPF18	pre-mRNA processing factor 18	8559
7949275	0.63906751	1.32e-01	MIR194-2	microRNA 194-2	406970
7902518	0.63920284	1.32e-01	GIPC2	GIPC PDZ domain containing family member 2	54810
7895238	0.63920284	1.32e-01			
7920567	0.63920284	1.32e-01	PMVK	phosphomevalonate kinase	10654
8179028	0.63920284	1.32e-01	LOC554223	histocompatibility antigen-related	554223
8061940	0.63920284	1.32e-01	C20orf144///C20orf144	chromosome 20 open reading frame 144///chromosome 20 open reading frame 144	128864///128864
7896464	0.63920284	1.32e-01			
8063283	0.63931258	1.32e-01	CSE1L	chromosome segregation 1 like	1434
7982529	0.63931258	1.32e-01			
7972661	0.63931258	1.32e-01			
8047127	0.63931258	1.32e-01	MYO1B	myosin IB	4430
8053584	0.63956929	1.32e-01	CD8A	CD8a molecule	925
8043840	0.63956929	1.32e-01	LIPT1	lipoyltransferase 1	51601
8114653	0.63961013	1.32e-01	TAF7	TATA-box binding protein associated factor 7	6879
8067521	0.63986157	1.32e-01	GATA5	GATA binding protein 5	140628
7894626	0.63993522	1.32e-01			
8150087	0.63993522	1.32e-01			
8059376	0.63993522	1.32e-01	SERPINE2	serpin family E member 2	5270
7993274	0.63993522	1.32e-01	SNX29	sorting nexin 29	92017
7899486	0.63993522	1.32e-01	TRNAU1AP	tRNA selenocysteine 1 associated protein 1	54952
8149350	0.63993522	1.32e-01	DEFB134	defensin beta 134	613211
8025278	0.63993522	1.32e-01	RETN	resistin	56729
8077777	0.63993522	1.32e-01			
8112018	0.64009456	1.32e-01	PELO	pelota homolog (Drosophila)	53918
7995421	0.64009456	1.32e-01	LONP2	lon peptidase 2, peroxisomal	83752
7938128	0.64015364	1.32e-01	DNHD1	dynein heavy chain domain 1	144132
8124549	0.64080901	1.33e-01			
8148333	0.64080901	1.33e-01	EFR3A	EFR3 homolog A	23167
8117696	0.64080901	1.33e-01			
8056343	0.64083321	1.33e-01	COBLL1	cordon-bleu WH2 repeat protein like 1	22837
8144488	0.64084964	1.33e-01	LINC00965///LINC00965	long intergenic non-protein coding RNA 965///long intergenic non-protein coding RNA 965	349196///349196
7894912	0.64084964	1.33e-01			
7949916	0.64084964	1.33e-01	CHKA	choline kinase alpha	1119
8012473	0.64084964	1.33e-01	RNF222	ring finger protein 222	643904
8170068	0.64084964	1.33e-01	CT45A8///CT45A9///CT45A10///CT45A7///CT45A2///CT45A1///CT45A6///CT45A5///CT45A3///CT45A8	cancer/testis antigen family 45, member A8///cancer/testis antigen family 45, member A9///cancer/testis antigen family 45, member A10///cancer/testis antigen family 45, member A7///cancer/testis antigen family 45, member A2///cancer/testis antigen family 45, member A1///cancer/testis antigen family 45, member A6///cancer/testis antigen family 45, member A5///cancer/testis antigen family 45, member A3///cancer/testis antigen family 45, member A8	102723737///102723680///102723631///101060211///728911///541466///541465///441521///441519///102723737
8149361	0.64084964	1.33e-01	FAM90A2P///FAM90A10P///FAM90A7P///FAM90A25P///FAM90A1	family with sequence similarity 90, member A2 pseudogene///putative protein FAM90A10///putative protein FAM90A7///family with sequence similarity 90, member A7 pseudogene///family with sequence similarity 90 member A1	729689///441328///441317///389633///55138
8174598	0.64084964	1.33e-01	IL13RA2	interleukin 13 receptor subunit alpha 2	3598
8166314	0.64084964	1.33e-01	PPEF1	protein phosphatase with EF-hand domain 1	5475
8134613	0.64084964	1.33e-01	ZNF789///ATP5J2-PTCD1///PTCD1	zinc finger protein 789///ATP5J2-PTCD1 readthrough///pentatricopeptide repeat domain 1	285989///100526740///26024
8001373	0.64084964	1.33e-01	SNX20	sorting nexin 20	124460
8074701	0.64084964	1.33e-01	SLC7A4	solute carrier family 7 member 4	6545
8008991	0.64084964	1.33e-01			
8037433	0.64084964	1.33e-01	ZNF45	zinc finger protein 45	7596
7894333	0.64110559	1.33e-01			
8170418	0.64110559	1.33e-01			
7950128	0.64111253	1.33e-01	ANAPC15	anaphase promoting complex subunit 15	25906
8070629	0.64124092	1.33e-01	ERVH48-1	endogenous retrovirus group 48 member 1	90625
8102200	0.64124092	1.33e-01	DKK2	dickkopf WNT signaling pathway inhibitor 2	27123
8121768	0.64124092	1.33e-01	PKIB	protein kinase (cAMP-dependent, catalytic) inhibitor beta	5570
7971124	0.64131735	1.33e-01	UFM1	ubiquitin fold modifier 1	51569
7918847	0.64138581	1.33e-01	SIKE1	suppressor of IKBKE 1	80143
8023344	0.64138581	1.33e-01	CXXC1	CXXC finger protein 1	30827
8170507	0.64139981	1.33e-01	PRRG3	proline rich and Gla domain 3	79057
8120878	0.64139981	1.33e-01			
8109149	0.64139981	1.33e-01	PCYOX1L	prenylcysteine oxidase 1 like	78991
7920220	0.64139981	1.33e-01	PGLYRP3	peptidoglycan recognition protein 3	114771
8167254	0.64139981	1.33e-01	SSX1	SSX family member 1	6756
8173009	0.6415649	1.33e-01	PHF8	PHD finger protein 8	23133
7931403	0.6415649	1.33e-01			
8043028	0.6415649	1.33e-01			
7982845	0.6415649	1.33e-01	VPS18	VPS18, CORVET/HOPS core subunit	57617
7967039	0.6415649	1.33e-01	MSI1	musashi RNA binding protein 1	4440
7943803	0.6415649	1.33e-01	DIXDC1	DIX domain containing 1	85458
8156873	0.64161924	1.33e-01	INVS	inversin	27130
7957890	0.64161924	1.34e-01	UTP20	UTP20, small subunit processome component	27340
8026214	0.64161924	1.34e-01	NANOS3	nanos C2HC-type zinc finger 3	342977
7987454	0.64161924	1.34e-01	BMF	Bcl2 modifying factor	90427
8071155	0.64161924	1.34e-01	USP18	ubiquitin specific peptidase 18	11274
7944096	0.64161924	1.34e-01	RNF214	ring finger protein 214	257160
8090277	0.64161924	1.34e-01	OSBPL11	oxysterol binding protein like 11	114885
7894095	0.64161924	1.34e-01			
8166571	0.64176001	1.34e-01	MAGEB6	MAGE family member B6	158809
7964602	0.64176001	1.34e-01	LRIG3///LRIG3	leucine rich repeats and immunoglobulin like domains 3///leucine rich repeats and immunoglobulin like domains 3	121227///121227
8136889	0.64207069	1.34e-01			
8042066	0.64223764	1.34e-01	CFAP36	cilia and flagella associated protein 36	112942
8178955	0.64252298	1.34e-01	RGL2	ral guanine nucleotide dissociation stimulator like 2	5863
8180144	0.64252298	1.34e-01	RGL2	ral guanine nucleotide dissociation stimulator like 2	5863
8080863	0.642709	1.34e-01	SNTN	sentan, cilia apical structure protein	132203
7986049	0.64273412	1.34e-01	CRTC3	CREB regulated transcription coactivator 3	64784
8045814	0.64282498	1.34e-01			
7960654	0.64282498	1.34e-01	ING4	inhibitor of growth family member 4	51147
8159702	0.64285709	1.34e-01	EHMT1	euchromatic histone lysine methyltransferase 1	79813
7932243	0.64306657	1.34e-01	FAM171A1	family with sequence similarity 171 member A1	221061
7945228	0.64306657	1.34e-01	LOC646383	uncharacterized LOC646383	646383
8061127	0.64306657	1.34e-01			
7892724	0.64306657	1.34e-01			
8067248	0.64306657	1.34e-01	PPP4R1L	protein phosphatase 4 regulatory subunit 1 like (pseudogene)	55370
8014420	0.64306657	1.34e-01	TBC1D3I///TBC1D3E///LOC101060389///TBC1D3L///TBC1D3K///TBC1D3G///TBC1D3H///TBC1D3///TBC1D3P2///TBC1D3C///TBC1D3B///TBC1D3F	TBC1 domain family member 3I///TBC1 domain family member 3E///TBC1 domain family member-like///TBC1 domain family member 3L///TBC1 domain family member 3K///TBC1 domain family member 3G///TBC1 domain family member 3H///TBC1 domain family member 3///TBC1 domain family member 3 pseudogene 2///TBC1 domain family member 3C///TBC1 domain family member 3B///TBC1 domain family member 3F	102724862///102723859///101060389///101060376///101060351///101060321///729877///729873///440452///414060///414059///84218
8155338	0.64306657	1.34e-01			
8155369	0.64306657	1.34e-01			
8127423	0.64309099	1.34e-01			
8022428	0.64309099	1.34e-01	POTEB3///LOC102723502///POTEB///LOC100288966///POTEB2///POTEF///POTEJ///POTEM///POTEE///POTEG///POTEC///POTED///POTEH	POTE ankyrin domain family member B3///POTE ankyrin domain family member B-like///POTE ankyrin domain family member B///POTE ankyrin domain family member D-like///POTE ankyrin domain family member B2///POTE ankyrin domain family member F///POTE ankyrin domain family member J///POTE ankyrin domain family member M///POTE ankyrin domain family member E///POTE ankyrin domain family member G///POTE ankyrin domain family member C///POTE ankyrin domain family member D///POTE ankyrin domain family member H	102724631///102723502///100996331///100288966///100287399///728378///653781///641455///445582///404785///388468///317754///23784
7895860	0.64309099	1.34e-01			
8096528	0.64309099	1.34e-01	PDHA2	pyruvate dehydrogenase (lipoamide) alpha 2	5161
8136965	0.64309099	1.34e-01	OR6B1	olfactory receptor family 6 subfamily B member 1	135946
8094719	0.64309099	1.34e-01	N4BP2	NEDD4 binding protein 2	55728
8103849	0.64309099	1.34e-01			
7892955	0.64330769	1.34e-01			
7906486	0.64330769	1.35e-01	SLAMF8	SLAM family member 8	56833
7984298	0.64330769	1.35e-01	DIS3L	DIS3 like exosome 3'-5' exoribonuclease	115752
7978449	0.64332924	1.35e-01	HECTD1	HECT domain E3 ubiquitin protein ligase 1	25831
7939952	0.64350213	1.35e-01			
8131179	0.64350335	1.35e-01	TTYH3	tweety family member 3	80727
8090840	0.64378353	1.35e-01	RYK	receptor-like tyrosine kinase	6259
8166585	0.64382413	1.35e-01	FLJ32742	uncharacterized locus FLJ32742	439944
8076272	0.64382413	1.35e-01	ST13P4///ST13P5///ST13	suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein) pseudogene 4///suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein) pseudogene 5///suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein)	145165///144106///6767
8058518	0.64382413	1.35e-01			
8167526	0.64382413	1.35e-01	GAGE10///GAGE12D///GAGE8///GAGE12F///GAGE2A///GAGE12H///GAGE12E///GAGE12B///GAGE12C///GAGE2D///GAGE12J///GAGE12G///GAGE13///GAGE2B///GAGE2E///GAGE12I///GAGE7///GAGE6///GAGE5///GAGE4///GAGE3///GAGE2C///GAGE1	G antigen 10///G antigen 12D///G antigen 8///G antigen 12F///G antigen 2A///G antigen 12H///G antigen 12E///G antigen 12B///G antigen 12C///G antigen 2D///G antigen 12J///G antigen 12G///G antigen 13///G antigen 2B///G antigen 2E///G antigen 12I///G antigen 7///G antigen 6///G antigen 5///G antigen 4///G antigen 3///G antigen 2C///G antigen 1	102724473///100132399///100101629///100008586///729447///729442///729431///729428///729422///729408///729396///645073///645051///645037///26749///26748///2579///2578///2577///2576///2575///2574///2543
8017402	0.64382413	1.35e-01	STRADA	STE20-related kinase adaptor alpha	92335
7973303	0.64382413	1.35e-01	OR6C4	olfactory receptor family 6 subfamily C member 4	341418
8042811	0.64382413	1.35e-01	TET3	tet methylcytosine dioxygenase 3	200424
7964810	0.64382413	1.35e-01	MDM1	Mdm1 nuclear protein	56890
7955981	0.64382413	1.35e-01	OR9K2	olfactory receptor family 9 subfamily K member 2	441639
8058666	0.64382413	1.35e-01			
7894131	0.64382413	1.35e-01			
8019910	0.64382413	1.35e-01			
7948133	0.64382413	1.35e-01	OR5M3	olfactory receptor family 5 subfamily M member 3	219482
8133021	0.64382413	1.35e-01	ARAFP2	ARAF pseudogene 2	644000
8139804	0.64382413	1.35e-01	ARAFP2	ARAF pseudogene 2	644000
8147862	0.64382413	1.35e-01			
7980452	0.64382413	1.35e-01			
7894005	0.64382413	1.35e-01			
8170060	0.64382413	1.35e-01	CT45A8///CT45A9///CT45A10///CT45A7///CT45A2///CT45A1///CT45A6///CT45A5///CT45A3///CT45A8	cancer/testis antigen family 45, member A8///cancer/testis antigen family 45, member A9///cancer/testis antigen family 45, member A10///cancer/testis antigen family 45, member A7///cancer/testis antigen family 45, member A2///cancer/testis antigen family 45, member A1///cancer/testis antigen family 45, member A6///cancer/testis antigen family 45, member A5///cancer/testis antigen family 45, member A3///cancer/testis antigen family 45, member A8	102723737///102723680///102723631///101060211///728911///541466///541465///441521///441519///102723737
8129125	0.64382413	1.35e-01	GPRC6A	G protein-coupled receptor class C group 6 member A	222545
8048108	0.64383597	1.35e-01			
7895666	0.64389035	1.35e-01			
7896673	0.64389035	1.35e-01			
8043055	0.64389035	1.35e-01	DNAH6	dynein axonemal heavy chain 6	1768
8153043	0.64396291	1.35e-01	ZFAT	zinc finger and AT-hook domain containing	57623
8052753	0.64425945	1.35e-01	GKN2	gastrokine 2	200504
8139907	0.64427991	1.35e-01			
8141374	0.64432748	1.35e-01	AZGP1	alpha-2-glycoprotein 1, zinc-binding	563
7906417	0.64448809	1.35e-01	CADM3	cell adhesion molecule 3	57863
7929003	0.64463666	1.35e-01	LIPM	lipase family member M	340654
8116128	0.64471746	1.35e-01	LOC202181	SUMO interacting motifs containing 1 pseudogene	202181
8156090	0.64471746	1.36e-01	SPATA31D5P	SPATA31 subfamily D member 5, pseudogene	347127
8076046	0.64471746	1.36e-01	TMEM184B	transmembrane protein 184B	25829
7893236	0.64475027	1.36e-01			
8055641	0.64475027	1.36e-01			
8116051	0.64475593	1.36e-01	DBN1	drebrin 1	1627
8083463	0.64475593	1.36e-01	C3orf79	chromosome 3 open reading frame 79	152118
8141643	0.64475593	1.36e-01	UFSP1	UFM1 specific peptidase 1 (inactive)	402682
7996260	0.64475593	1.36e-01			
7895429	0.64475593	1.36e-01			
8171874	0.64475593	1.36e-01			
8149067	0.64475593	1.36e-01			
8154574	0.64475593	1.36e-01	FOCAD	focadhesin	54914
8025053	0.645315	1.36e-01	TNFSF9	tumor necrosis factor superfamily member 9	8744
7893212	0.64677159	1.36e-01			
8047926	0.6467974	1.36e-01	MAP2	microtubule associated protein 2	4133
8087852	0.64682238	1.36e-01	TLR9	toll like receptor 9	54106
8013112	0.64682238	1.36e-01	RASD1	ras related dexamethasone induced 1	51655
8078350	0.64682238	1.36e-01	TGFBR2	transforming growth factor beta receptor 2	7048
8124469	0.64682238	1.36e-01	LINC00680-GUSBP4///LOC100133050///GUSBP9///GUSBP1///GUSBP3///LOC653080///GUSBP2///GUSBP11///SMA5///SMA4///GUSB///GUSBP3///SMA5///SMA4	LINC00680-GUSBP4 readthrough///glucuronidase beta pseudogene///glucuronidase, beta pseudogene 9///glucuronidase, beta pseudogene 1///glucuronidase, beta pseudogene 3///glucuronidase beta pseudogene///glucuronidase, beta pseudogene 2///glucuronidase, beta pseudogene 11///glucuronidase beta pseudogene///glucuronidase beta pseudogene///glucuronidase beta///glucuronidase, beta pseudogene 3///glucuronidase beta pseudogene///glucuronidase beta pseudogene	106660613///100133050///100049076///728411///653188///653080///387036///91316///11042///11039///2990///653188///11042///11039
8045695	0.64682238	1.36e-01			
7894891	0.64682238	1.36e-01			
8027920	0.64682238	1.36e-01	ETV2	ETS variant 2	2116
8033987	0.64682238	1.36e-01	ICAM3	intercellular adhesion molecule 3	3385
7894427	0.64682238	1.36e-01			
8176255	0.64682238	1.37e-01	TMLHE	trimethyllysine hydroxylase, epsilon	55217
7939875	0.64682238	1.37e-01			
7943103	0.64682238	1.37e-01	DEUP1	deuterosome assembly protein 1	159989
7959484	0.64682238	1.37e-01	CCDC62	coiled-coil domain containing 62	84660
8114628	0.64682238	1.37e-01	HARS	histidyl-tRNA synthetase	3035
7965589	0.64682238	1.37e-01	CCDC38	coiled-coil domain containing 38	120935
7922291	0.64682238	1.37e-01			
8138454	0.64682238	1.37e-01	TWISTNB	TWIST neighbor	221830
8149122	0.64682238	1.37e-01	DEFT1P2///DEFT1P	defensin, theta 1 pseudogene 2///defensin, theta 1 pseudogene	100287083///170949
8149132	0.64682238	1.37e-01	DEFT1P2///DEFT1P	defensin, theta 1 pseudogene 2///defensin, theta 1 pseudogene	100287083///170949
8111772	0.64682238	1.37e-01	DAB2	DAB2, clathrin adaptor protein	1601
8137330	0.64682238	1.37e-01			
8021243	0.64682238	1.37e-01			
7905523	0.64682238	1.37e-01	LCE1D	late cornified envelope 1D	353134
8171883	0.64682238	1.37e-01	PPP4R3CP	protein phosphatase 4 regulatory subunit 3C, pseudogene	139420
7916282	0.64682238	1.37e-01	LRP8	LDL receptor related protein 8	7804
8117718	0.64682238	1.37e-01	OR2J3	olfactory receptor family 2 subfamily J member 3	442186
8058203	0.64682238	1.37e-01	ALS2CR12	amyotrophic lateral sclerosis 2 chromosome region candidate 12	130540
8088299	0.64682238	1.37e-01	DNAH12	dynein axonemal heavy chain 12	201625
8069505	0.64682238	1.37e-01	LINC00417	long intergenic non-protein coding RNA 417	100874164
7998392	0.64682238	1.37e-01			
8111443	0.64686051	1.37e-01	C1QTNF3-AMACR///C1QTNF3	C1QTNF3-AMACR readthrough (NMD candidate)///C1q and tumor necrosis factor related protein 3	100534612///114899
7894338	0.64692554	1.37e-01			
8154333	0.64713272	1.37e-01	KDM4C	lysine demethylase 4C	23081
8160602	0.64716871	1.37e-01	APTX	aprataxin	54840
8149148	0.64716871	1.37e-01	LOC650293///OR7E125P///OR7E2P	seven transmembrane helix receptor///olfactory receptor family 7 subfamily E member 125 pseudogene///olfactory receptor family 7 subfamily E member 2 pseudogene	650293///389616///8587
7895367	0.64716871	1.37e-01			
7894612	0.64716871	1.37e-01			
8055909	0.64716871	1.37e-01			
8017619	0.64716871	1.37e-01	PECAM1	platelet and endothelial cell adhesion molecule 1	5175
8000582	0.64716871	1.37e-01	SULT1A2	sulfotransferase family 1A member 2	6799
7894905	0.64716871	1.37e-01			
7893075	0.64717699	1.37e-01			
8065396	0.64740366	1.37e-01	CST9L	cystatin 9-like	128821
7970139	0.64740366	1.37e-01	TEX29	testis expressed 29	121793
7895493	0.64740366	1.37e-01			
8164698	0.64740366	1.37e-01	MED27	mediator complex subunit 27	9442
7937508	0.64740366	1.37e-01	CD151	CD151 molecule (Raph blood group)	977
8060325	0.64740366	1.37e-01	DEFB132	defensin beta 132	400830
8001841	0.64740366	1.37e-01	DYNC1LI2	dynein cytoplasmic 1 light intermediate chain 2	1783
