id,type,label,logic,pathway,full_label
hsa:5923,gene,RASGRF1,,path:hsa04010,"RASGRF1, CDC25, CDC25L, GNRP, GRF1, GRF55, H-GRF55, PP13187, ras-GRF1; ras-specific guanine nucleotide-releasing factor 1 isoform 1"
hsa:5924,gene,RASGRF2,,path:hsa04010,"RASGRF2, GRF2, RAS-GRF2; ras-specific guanine nucleotide-releasing factor 2"
fu:7462a4ff,functional_unit,fu:7462a4ff,OR,path:hsa04010,
hsa:11221,gene,DUSP10,,path:hsa04010,"DUSP10, MKP-5, MKP5; dual specificity protein phosphatase 10"
hsa:1843,gene,DUSP1,,path:hsa04010,"DUSP1, CL100, HVH1, MKP-1, MKP1, PTPN10; dual specificity protein phosphatase 1"
hsa:1844,gene,DUSP2,,path:hsa04010,"DUSP2, PAC-1, PAC1; dual specificity protein phosphatase 2"
hsa:1846,gene,DUSP4,,path:hsa04010,"DUSP4, HVH2, MKP-2, MKP2, TYP; dual specificity protein phosphatase 4 isoform 1"
hsa:1847,gene,DUSP5,,path:hsa04010,"DUSP5, DUSP, HVH3; dual specificity protein phosphatase 5"
hsa:1848,gene,DUSP6,,path:hsa04010,"DUSP6, HH19, MKP3, PYST1; dual specificity protein phosphatase 6 isoform a"
hsa:1849,gene,DUSP7,,path:hsa04010,"DUSP7, MKPX, PYST2; dual specificity protein phosphatase 7"
hsa:1850,gene,DUSP8,,path:hsa04010,"DUSP8, C11orf81, HB5, HVH-5, HVH8; dual specificity protein phosphatase 8"
hsa:1852,gene,DUSP9,,path:hsa04010,"DUSP9, MKP-4, MKP4; dual specificity protein phosphatase 9"
hsa:80824,gene,DUSP16,,path:hsa04010,"DUSP16, MKP-7, MKP7; dual specificity protein phosphatase 16"
fu:a5c81f05,functional_unit,fu:a5c81f05,OR,path:hsa04010,
hsa:1845,gene,DUSP3,,path:hsa04010,"DUSP3, VHR; dual specificity protein phosphatase 3"
hsa:5778,gene,PTPN7,,path:hsa04010,"PTPN7, BPTP-4, HEPTP, LC-PTP, LPTP, PTPNI; tyrosine-protein phosphatase non-receptor type 7 isoform 1"
hsa:5801,gene,PTPRR,,path:hsa04010,"PTPRR, EC-PTP, PCPTP1, PTP-SL, PTPBR7, PTPRQ; receptor-type tyrosine-protein phosphatase R isoform 1 precursor"
hsa:84867,gene,PTPN5,,path:hsa04010,"PTPN5, PTPSTEP, STEP, STEP61; tyrosine-protein phosphatase non-receptor type 5 isoform a"
fu:8e98fd2a,functional_unit,fu:8e98fd2a,OR,path:hsa04010,
hsa:5495,gene,PPM1B,,path:hsa04010,"PPM1B, PP2C-beta, PP2C-beta-X, PP2CB, PP2CBETA, PPC2BETAX; protein phosphatase 1B isoform 1"
fu:9f0d4dae,functional_unit,fu:9f0d4dae,SINGLE,path:hsa04010,
hsa:356,gene,FASLG,,path:hsa04010,"FASLG, ALPS1B, APT1LG1, APTL, CD178, CD95-L, CD95L, FASL, TNFSF6, TNLG1A; tumor necrosis factor ligand superfamily member 6 isoform 1"
fu:3a120078,functional_unit,fu:3a120078,SINGLE,path:hsa04010,
hsa:9448,gene,MAP4K4,,path:hsa04010,"MAP4K4, FLH21957, HEL-S-31, HGK, MEKKK4, NIK; mitogen-activated protein kinase kinase kinase kinase 4 isoform 4"
fu:aa79d693,functional_unit,fu:aa79d693,SINGLE,path:hsa04010,
hsa:100137049,gene,PLA2G4B,,path:hsa04010,"PLA2G4B, HsT16992, cPLA2-beta; cytosolic phospholipase A2 beta"
hsa:123745,gene,PLA2G4E; cytosolic phospholipase A2 epsilon isoform 1,,path:hsa04010,PLA2G4E; cytosolic phospholipase A2 epsilon isoform 1
hsa:255189,gene,PLA2G4F,,path:hsa04010,"PLA2G4F, PLA2G4FZ; cytosolic phospholipase A2 zeta"
hsa:283748,gene,PLA2G4D,,path:hsa04010,"PLA2G4D, cPLA2delta; cytosolic phospholipase A2 delta"
hsa:5321,gene,PLA2G4A,,path:hsa04010,"PLA2G4A, GURDP, PLA2G4, cPLA2, cPLA2-alpha; cytosolic phospholipase A2 isoform 1"
hsa:8605,gene,PLA2G4C,,path:hsa04010,"PLA2G4C, CPLA2-gamma; cytosolic phospholipase A2 gamma isoform 1 precursor"
hsa:8681,gene,JMJD7-PLA2G4B,,path:hsa04010,"JMJD7-PLA2G4B, HsT16992, cPLA2-beta; JMJD7-PLA2G4B protein isoform b"
fu:60ce16db,functional_unit,fu:60ce16db,OR,path:hsa04010,
hsa:3925,gene,STMN1,,path:hsa04010,"STMN1, C1orf215, LAP18, Lag, OP18, PP17, PP19, PR22, SMN; stathmin isoform a"
fu:5d3cbbaa,functional_unit,fu:5d3cbbaa,SINGLE,path:hsa04010,
hsa:4137,gene,MAPT,,path:hsa04010,"MAPT, DDPAC, FTD1, FTDP-17, MAPTL, MSTD, MTBT1, MTBT2, PPND, PPP1R103, TAU, Tau-PHF6, tau-40; microtubule-associated protein tau isoform 1"
fu:a04ac493,functional_unit,fu:a04ac493,SINGLE,path:hsa04010,
hsa:4790,gene,NFKB1,,path:hsa04010,"NFKB1, CVID12, EBP-1, KBF1, NF-kB, NF-kB1, NF-kappa-B1, NF-kappaB, NF-kappabeta, NFKB-p105, NFKB-p50, NFkappaB; nuclear factor NF-kappa-B p105 subunit isoform 2 proprotein"
hsa:4791,gene,NFKB2,,path:hsa04010,"NFKB2, CVID10, H2TF1, LYT-10, LYT10, NF-kB2, p100, p49/p100, p52; nuclear factor NF-kappa-B p100 subunit isoform a"
hsa:5970,gene,RELA,,path:hsa04010,"RELA, AIF3BL3, CMCU, NFKB3, p65; transcription factor p65 isoform 1"
hsa:5971,gene,RELB,,path:hsa04010,"RELB, I-REL, IMD53, IREL, REL-B; transcription factor RelB isoform 1"
fu:528fb5a2,functional_unit,fu:528fb5a2,OR,path:hsa04010,
hsa:1147,gene,CHUK,,path:hsa04010,"CHUK, BPS2, IKBKA, IKK-1, IKK-alpha, IKK1, IKKA, NFKBIKA, TCF16; inhibitor of nuclear factor kappa-B kinase subunit alpha isoform 1"
hsa:3551,gene,IKBKB,,path:hsa04010,"IKBKB, IKK-2, IKK-beta, IKK2, IKKB, IMD15, IMD15A, IMD15B, NFKBIKB; inhibitor of nuclear factor kappa-B kinase subunit beta isoform 1"
hsa:8517,gene,IKBKG,,path:hsa04010,"IKBKG, AMCBX1, EDAID1, FIP-3, FIP3, Fip3p, IKK-gamma, IKKAP1, IKKG, IMD33, IP, IP1, IP2, IPD2, NEMO, SAIDX, ZC2HC9; NF-kappa-B essential modulator isoform a"
fu:bed1be9d,functional_unit,fu:bed1be9d,OR,path:hsa04010,
hsa:9020,gene,MAP3K14,,path:hsa04010,"MAP3K14, FTDCR1B, HS, HSNIK, IMD112, NIK; mitogen-activated protein kinase kinase kinase 14"
fu:09d2f54b,functional_unit,fu:09d2f54b,SINGLE,path:hsa04010,
hsa:5594,gene,MAPK1,,path:hsa04010,"MAPK1, ERK, ERK-2, ERK2, ERT1, MAPK2, NS13, P42MAPK, PRKM1, PRKM2, p38, p40, p41, p41mapk, p42-MAPK; mitogen-activated protein kinase 1"
hsa:5595,gene,MAPK3,,path:hsa04010,"MAPK3, ERK-1, ERK1, ERT2, HS44KDAP, HUMKER1A, P44ERK1, P44MAPK, PRKM3, p44-ERK1, p44-MAPK; mitogen-activated protein kinase 3 isoform 1"
fu:5407a9ad,functional_unit,fu:5407a9ad,OR,path:hsa04010,
hsa:8649,gene,LAMTOR3,,path:hsa04010,"LAMTOR3, MAP2K1IP1, MAPBP, MAPKSP1, MP1, PRO0633, Ragulator3; ragulator complex protein LAMTOR3 isoform 1"
fu:119b4c82,functional_unit,fu:119b4c82,SINGLE,path:hsa04010,
hsa:5605,gene,MAP2K2,,path:hsa04010,"MAP2K2, CFC4, MAPKK2, MEK2, MKK2, PRKMK2; dual specificity mitogen-activated protein kinase kinase 2 isoform 1"
fu:dd3c84d0,functional_unit,fu:dd3c84d0,SINGLE,path:hsa04010,
hsa:5604,gene,MAP2K1,,path:hsa04010,"MAP2K1, CFC3, MAPKK1, MEK1, MEL, MKK1, PRKMK1; dual specificity mitogen-activated protein kinase kinase 1 isoform 1"
fu:9e600bb6,functional_unit,fu:9e600bb6,SINGLE,path:hsa04010,
hsa:5894,gene,RAF1,,path:hsa04010,"RAF1, CMD1NN, CRAF, NS5, Raf-1, c-Raf; RAF proto-oncogene serine/threonine-protein kinase isoform b"
fu:72601542,functional_unit,fu:72601542,SINGLE,path:hsa04010,
hsa:673,gene,BRAF,,path:hsa04010,"BRAF, B-RAF1, B-raf, BRAF-1, BRAF1, NS7, RAFB1; serine/threonine-protein kinase B-raf isoform 1"
fu:6ebd9c99,functional_unit,fu:6ebd9c99,SINGLE,path:hsa04010,
hsa:5921,gene,RASA1,,path:hsa04010,"RASA1, CM-AVM, CMAVM, CMAVM1, GAP, PKWS, RASA, RASGAP, p120, p120GAP, p120RASGAP; ras GTPase-activating protein 1 isoform 1"
fu:eeadc956,functional_unit,fu:eeadc956,SINGLE,path:hsa04010,
hsa:4763,gene,NF1,,path:hsa04010,"NF1, NFNS, VRNF, WSS; neurofibromin isoform 1"
fu:0e48a824,functional_unit,fu:0e48a824,SINGLE,path:hsa04010,
hsa:5578,gene,PRKCA,,path:hsa04010,"PRKCA, AAG6, PKC-alpha, PKCA, PKCI+/-, PKCalpha, PRKACA; protein kinase C alpha type"
hsa:5579,gene,PRKCB,,path:hsa04010,"PRKCB, PKC-beta, PKCB, PKCI(2), PKCbeta, PRKCB1, PRKCB2; protein kinase C beta type isoform 1"
hsa:5582,gene,PRKCG,,path:hsa04010,"PRKCG, PKC-gamma, PKCC, PKCG, PKCI(3), PKCgamma, SCA14; protein kinase C gamma type isoform 2"
fu:d9d0e44c,functional_unit,fu:d9d0e44c,OR,path:hsa04010,
hsa:5906,gene,RAP1A,,path:hsa04010,"RAP1A, C21KG, G-22K, KREV-1, KREV1, RAP1, SMGP21; ras-related protein Rap-1A precursor"
hsa:5908,gene,RAP1B,,path:hsa04010,"RAP1B, K-REV, RAL1B, THC11; ras-related protein Rap-1b isoform 1 precursor"
fu:88783e79,functional_unit,fu:88783e79,OR,path:hsa04010,
hsa:5566,gene,PRKACA,,path:hsa04010,"PRKACA, CAFD1, PKACA, PPNAD4; cAMP-dependent protein kinase catalytic subunit alpha isoform Calpha1"
hsa:5567,gene,PRKACB,,path:hsa04010,"PRKACB, CAFD2, PKA C-beta, PKACB; cAMP-dependent protein kinase catalytic subunit beta isoform 2"
hsa:5568,gene,PRKACG,,path:hsa04010,"PRKACG, BDPLT19, KAPG, PKACg; cAMP-dependent protein kinase catalytic subunit gamma"
fu:912ae783,functional_unit,fu:912ae783,OR,path:hsa04010,
hsa:9693,gene,RAPGEF2,,path:hsa04010,"RAPGEF2, CNrasGEF, NRAPGEP, PDZ-GEF1, PDZGEF1, RA-GEF, RA-GEF-1, RAGEF, Rap-GEP, nRap GEP; rap guanine nucleotide exchange factor 2 isoform 5"
fu:cc70a016,functional_unit,fu:cc70a016,SINGLE,path:hsa04010,
hsa:5922,gene,RASA2,,path:hsa04010,"RASA2, GAP1M; ras GTPase-activating protein 2 isoform 2"
fu:16973f90,functional_unit,fu:16973f90,SINGLE,path:hsa04010,
hsa:22800,gene,RRAS2,,path:hsa04010,"RRAS2, NS12, TC21; ras-related protein R-Ras2 isoform a"
hsa:22808,gene,MRAS,,path:hsa04010,"MRAS, M-RAs, NS11, R-RAS3, RRAS3; ras-related protein M-Ras isoform 1 precursor"
hsa:3265,gene,HRAS,,path:hsa04010,"HRAS, C-BAS/HAS, C-H-RAS, C-HA-RAS1, CTLO, H-RASIDX, HAMSV, HRAS1, RASH1, p21ras; GTPase HRas isoform 1"
hsa:3845,gene,KRAS,,path:hsa04010,"KRAS, 'C-K-RAS, C-K-RAS, CFC2, K-RAS2A, K-RAS2B, K-RAS4A, K-RAS4B, K-Ras, K-Ras 2, KI-RAS, KRAS1, KRAS2, NS, NS3, OES, RALD, RASK2, c-Ki-ras, c-Ki-ras2; GTPase KRas isoform a"
hsa:4893,gene,NRAS,,path:hsa04010,"NRAS, ALPS4, CMNS, KRAS, N-ras, NCMS, NRAS1, NS6; GTPase NRas"
hsa:6237,gene,RRAS,,path:hsa04010,"RRAS, R-Ras, RRAS1; ras-related protein R-Ras"
fu:8268d012,functional_unit,fu:8268d012,OR,path:hsa04010,
hsa:10125,gene,RASGRP1,,path:hsa04010,"RASGRP1, CALDAG-GEFI, CALDAG-GEFII, IMD64, RASGRP; RAS guanyl-releasing protein 1 isoform a"
hsa:10235,gene,RASGRP2,,path:hsa04010,"RASGRP2, CALDAG-GEFI, CDC25L; RAS guanyl-releasing protein 2 isoform a"
hsa:115727,gene,RASGRP4; RAS guanyl-releasing protein 4 isoform a,,path:hsa04010,RASGRP4; RAS guanyl-releasing protein 4 isoform a
hsa:25780,gene,RASGRP3,,path:hsa04010,"RASGRP3, GRP3; ras guanyl-releasing protein 3 isoform 1"
fu:fcafd86b,functional_unit,fu:fcafd86b,OR,path:hsa04010,
hsa:6654,gene,SOS1,,path:hsa04010,"SOS1, GF1, GGF1, GINGF, HGF, NS4, SOS-1; son of sevenless homolog 1 isoform 1"
hsa:6655,gene,SOS2,,path:hsa04010,"SOS2, NS9, SOS-2; son of sevenless homolog 2 isoform 1"
fu:44d36263,functional_unit,fu:44d36263,OR,path:hsa04010,
