MeSH Disease Term source	MeSH Disease Term target	symptom similarity score
Hypertelorism	Fibromatosis, Gingival	0.867254
Heart Block	Long QT Syndrome	0.959127
Heart Block	Arrhythmogenic Right Ventricular Dysplasia	0.936226
Heart Block	Torsades de Pointes	0.944658
Heart Block	Death, Sudden, Cardiac	0.927804
Heart Block	Tachycardia, Ventricular	0.968467
Heart Block	Ventricular Fibrillation	0.905658
Heart Defects, Congenital	Methemoglobinemia	0.944455
Heart Defects, Congenital	Tetralogy of Fallot	0.974267
Heart Defects, Congenital	Transposition of Great Vessels	0.96995
Dystonia	Pantothenate Kinase-Associated Neurodegeneration	0.955743
Dystonia	Dystonic Disorders	0.999155
Dystonia	X-Linked Combined Immunodeficiency Diseases	0.925682
Hepatitis B	Jaundice, Chronic Idiopathic	0.913896
Hepatitis B	Hepatitis	0.921562
Hepatitis B	Liver Diseases	0.889682
Hepatitis B	Drug-Induced Liver Injury	0.903305
Metabolic Syndrome X	Hyperlipidemias	0.938612
Metabolic Syndrome X	Obesity	0.988339
Metabolic Syndrome X	Metabolic Diseases	0.945611
Metabolic Syndrome X	Glucose Intolerance	0.95678
Metabolic Syndrome X	Hyperlipoproteinemias	0.915065
Metabolic Syndrome X	Endometrial Hyperplasia	0.920851
Metabolic Syndrome X	Gout	0.875261
Metabolic Syndrome X	Endometrial Neoplasms	0.939527
Metabolic Syndrome X	Diabetes Mellitus	0.983375
Metabolic Syndrome X	Lipid Metabolism Disorders	0.891034
Metabolic Syndrome X	Hyperinsulinism	0.981849
Metabolic Syndrome X	Hyperlipoproteinemia Type IV	0.890129
Metabolic Syndrome X	Bardet-Biedl Syndrome	0.917386
Metabolic Syndrome X	Hypertriglyceridemia	0.977359
Metabolic Syndrome X	Hyperlipidemia, Familial Combined	0.976758
Metabolic Syndrome X	Hypoalphalipoproteinemias	0.97419
Metabolic Syndrome X	Dyslipidemias	0.954895
Urticaria	Dermatitis, Allergic Contact	0.902265
Urticaria	Cholestasis, Intrahepatic	0.885922
Urticaria	Pruritus	0.957858
Urticaria	Vulvar Neoplasms	0.87872
Urticaria	Dermatitis, Atopic	0.966753
Urticaria	Keratosis	0.855139
Urinary Tract Infections	Vesico-Ureteral Reflux	0.876426
Pseudohypoparathyroidism	Pseudopseudohypoparathyroidism	0.994824
Vascular Diseases	Peripheral Vascular Diseases	0.874538
Vascular Diseases	Ischemia	0.852053
Epilepsy	Classical Lissencephalies and Subcortical Band Heterotopias	0.893476
Epilepsy	Incontinentia Pigmenti	0.88196
Epilepsy	Epilepsy, Absence	0.860794
Epilepsy	Epilepsy, Generalized	0.958259
Epilepsy	Epilepsies, Partial	0.924598
Epilepsy	Seizures	0.850405
Epilepsy	Seizures, Febrile	0.852826
Parkinsonian Disorders	Striatonigral Degeneration	0.869174
Cerebral Infarction	Stroke	0.931631
Hypocalcemia	Hypoparathyroidism	0.963776
Dystonic Disorders	Pantothenate Kinase-Associated Neurodegeneration	0.955504
Dystonic Disorders	X-Linked Combined Immunodeficiency Diseases	0.92559
Depressive Disorder	Depressive Disorder, Major	0.863488
Scoliosis	Kyphosis	0.863603
Endometrial Neoplasms	Metabolic Diseases	0.920749
Endometrial Neoplasms	Glucose Intolerance	0.895449
Endometrial Neoplasms	Hyperlipoproteinemias	0.889676
Endometrial Neoplasms	Endometrial Hyperplasia	0.91549
Endometrial Neoplasms	Gout	0.857643
Endometrial Neoplasms	Diabetes Mellitus	0.920267
Endometrial Neoplasms	Bardet-Biedl Syndrome	0.894382
Endometrial Neoplasms	Dyslipidemias	0.901053
Job's Syndrome	Immunologic Deficiency Syndromes	0.94177
Skin Abnormalities	Chromosome Disorders	0.888799
Skin Abnormalities	Amino Acid Metabolism, Inborn Errors	0.865415
Skin Abnormalities	Phenylketonurias	0.872518
Skin Abnormalities	Chromosome Aberrations	0.900716
Skin Abnormalities	Xeroderma Pigmentosum	0.857017
Skin Abnormalities	Chromosome Breakage	0.883925
Spherocytosis, Hereditary	Jaundice, Chronic Idiopathic	0.924076
Diabetes Mellitus, Type 1	Diabetic Nephropathies	0.97142
Diabetes Mellitus, Type 1	Albuminuria	0.974955
Diabetes Mellitus, Type 1	Diabetic Angiopathies	0.934708
Diabetes Mellitus, Type 2	Hypertrophy, Left Ventricular	0.921033
Diabetes Mellitus, Type 2	Hyperuricemia	0.952947
Diabetes Mellitus, Type 2	Diabetes Mellitus	0.860879
alpha-Thalassemia	Hydrops Fetalis	0.954008
alpha-Thalassemia	Anemia, Diamond-Blackfan	0.907146
von Willebrand Diseases	Factor XI Deficiency	0.86333
von Willebrand Diseases	Hemorrhagic Disorders	0.914862
von Willebrand Diseases	Thrombasthenia	0.878045
von Willebrand Diseases	Hemophilia B	0.868345
Hyperventilation	Panic Disorder	0.900017
Adenocarcinoma	Gastrointestinal Neoplasms	0.869536
Metabolism, Inborn Errors	Chromosome Disorders	0.913981
Metabolism, Inborn Errors	Craniofacial Dysostosis	0.850675
Metabolism, Inborn Errors	Dwarfism	0.865323
Metabolism, Inborn Errors	Amino Acid Metabolism, Inborn Errors	0.947554
Metabolism, Inborn Errors	Fibromatosis, Gingival	0.883398
Metabolism, Inborn Errors	Phenylketonurias	0.875297
Metabolism, Inborn Errors	Polydactyly	0.862304
Metabolism, Inborn Errors	Xeroderma Pigmentosum	0.887377
Metabolism, Inborn Errors	Chromosome Breakage	0.859959
Metabolism, Inborn Errors	Wolf-Hirschhorn Syndrome	0.884271
Metabolism, Inborn Errors	Maple Syrup Urine Disease	0.872954
Folliculitis	Keloid	0.912685
Bacteremia	Neutropenia	0.929572
Nephrolithiasis	Dent Disease	0.942833
Malaria	Malaria, Falciparum	0.9073
Intestinal Perforation	Peritonitis	0.95811
Stomach Diseases	Stomach Ulcer	0.898721
Ovarian Neoplasms	46, XY Disorders of Sex Development	0.871085
Ovarian Neoplasms	Leydig Cell Tumor	0.921569
Ovarian Neoplasms	Adrenal Hyperplasia, Congenital	0.934293
Ovarian Neoplasms	46, XX Disorders of Sex Development	0.871085
Ovarian Neoplasms	Antley-Bixler Syndrome Phenotype	0.871085
Chromosome Aberrations	Nails, Malformed	0.850249
Chromosome Aberrations	Macrocephaly	0.90147
Chromosome Aberrations	Orofaciodigital Syndromes	0.880694
Chromosome Aberrations	Hypertelorism	0.86665
Chromosome Aberrations	Polydactyly	0.895737
Chromosome Aberrations	Xeroderma Pigmentosum	0.93873
Chromosome Aberrations	Hand Deformities, Congenital	0.882567
Chromosome Aberrations	Chromosome Breakage	0.965472
Chromosome Aberrations	Exostoses, Multiple Hereditary	0.87972
Liddle Syndrome	Hereditary Autoinflammatory Diseases	0.896486
Liddle Syndrome	Neutropenia	0.955226
Protein S Deficiency	Protein C Deficiency	0.889842
Syndactyly	Orofaciodigital Syndromes	0.885195
Syndactyly	Fibromatosis, Gingival	0.866811
Syndactyly	Xeroderma Pigmentosum	0.864844
Syndactyly	Hand Deformities, Congenital	0.858891
Syndactyly	Chromosome Breakage	0.878386
Retinal Degeneration	Night Blindness	0.87942
Retinal Degeneration	Retinal Drusen	0.884696
Retinal Degeneration	Optic Atrophies, Hereditary	0.852088
Inflammation	Arthritis, Experimental	0.851363
Coronary Artery Disease	Angina Pectoris	0.956806
Coronary Artery Disease	Coronary Disease	0.995164
Coronary Artery Disease	Coronary Stenosis	0.911563
Coronary Artery Disease	Coronary Restenosis	0.916594
Fatty Liver	Hyperlipidemias	0.917348
Fatty Liver	Obesity	0.962419
Fatty Liver	Metabolic Diseases	0.922012
Fatty Liver	Glucose Intolerance	0.917537
Fatty Liver	Hyperlipoproteinemias	0.892817
Fatty Liver	Endometrial Hyperplasia	0.884817
Fatty Liver	Metabolic Syndrome X	0.963013
Fatty Liver	Endometrial Neoplasms	0.944292
Fatty Liver	Diabetes Mellitus	0.931996
Fatty Liver	Lipid Metabolism Disorders	0.884895
Fatty Liver	Insulin Resistance	0.962156
Fatty Liver	Bardet-Biedl Syndrome	0.892295
Fatty Liver	Hypertriglyceridemia	0.946657
Fatty Liver	Hyperlipidemia, Familial Combined	0.9618
Fatty Liver	Hypoalphalipoproteinemias	0.93514
Fatty Liver	Dyslipidemias	0.929188
AIDS-Related Opportunistic Infections	Entamoebiasis	0.883204
AIDS-Related Opportunistic Infections	Celiac Disease	0.855023
Wolff-Parkinson-White Syndrome	Arrhythmogenic Right Ventricular Dysplasia	0.908677
Wolff-Parkinson-White Syndrome	Death, Sudden, Cardiac	0.934064
Heart Diseases	Aortic Valve Stenosis	0.882845
Heart Diseases	Cardiomyopathy, Hypertrophic	0.884932
Entamoebiasis	Vipoma	0.919647
Entamoebiasis	Enterocolitis	0.901803
Entamoebiasis	Celiac Disease	0.895313
Neutropenia	Pancytopenia	0.879061
Neutropenia	Hereditary Autoinflammatory Diseases	0.866125
Myocardial Reperfusion Injury	Reperfusion Injury	0.900946
Myocardial Reperfusion Injury	Polycythemia	0.915145
Diabetes Mellitus	Glucose Intolerance	0.949045
Diabetes Mellitus	Hyperlipoproteinemias	0.914581
Diabetes Mellitus	Endometrial Hyperplasia	0.902974
Diabetes Mellitus	Hyperuricemia	0.864876
Diabetes Mellitus	Lipid Metabolism Disorders	0.857292
Diabetes Mellitus	Bardet-Biedl Syndrome	0.897043
Diabetes Mellitus	Hyperlipidemia, Familial Combined	0.958193
Diabetes Mellitus	Hypoalphalipoproteinemias	0.9503
Diabetes Mellitus	Dyslipidemias	0.935345
Hypertension, Renal	Kidney Failure, Chronic	0.902079
Hypertension, Renal	Renal Insufficiency	0.940069
Craniosynostoses	Fibromatosis, Gingival	0.865058
Craniosynostoses	Syndactyly	0.868614
Craniosynostoses	Hand Deformities, Congenital	0.857413
Craniosynostoses	Chromosome Breakage	0.889575
Cholelithiasis	Gallstones	0.98902
Hypotension, Orthostatic	Long QT Syndrome	0.887297
Hypotension, Orthostatic	Heart Block	0.879771
Hypotension, Orthostatic	Tachycardia, Ventricular	0.866519
Hypotension, Orthostatic	Brugada Syndrome	0.871666
Hirschsprung Disease	Megacolon	0.977637
Hirschsprung Disease	Multiple Endocrine Neoplasia Type 2b	0.862143
Hirschsprung Disease	Anus Diseases	0.898427
Hypogonadism	Kallmann Syndrome	0.913948
Polydactyly	Smith-Lemli-Opitz Syndrome	0.876675
Polydactyly	Cri-du-Chat Syndrome	0.869929
Cushing Syndrome	Pituitary ACTH Hypersecretion	0.87935
Cushing Syndrome	Endometrial Hyperplasia	0.886014
Cushing Syndrome	Acanthosis Nigricans	0.954254
Cushing Syndrome	Polycystic Ovary Syndrome	0.894041
Blindness	Optic Atrophy, Hereditary, Leber	0.854919
Mevalonate Kinase Deficiency	Hereditary Autoinflammatory Diseases	0.900829
Xeroderma Pigmentosum	Orofaciodigital Syndromes	0.871656
Xeroderma Pigmentosum	Fibromatosis, Gingival	0.934896
Xeroderma Pigmentosum	Hypertelorism	0.857974
Proteinuria	Nephrotic Syndrome	0.9937
Proteinuria	Nephrosis	0.988762
Proteinuria	Lecithin Acyltransferase Deficiency	0.995019
Proteinuria	Immune Complex Diseases	0.904121
Proteinuria	Glomerulonephritis, Membranoproliferative	0.9813
Proteinuria	Oculocerebrorenal Syndrome	0.874829
Proteinuria	Glomerulosclerosis, Focal Segmental	0.998468
Proteinuria	Glomerulonephritis, IGA	0.866215
Rhinitis, Allergic, Seasonal	Rhinitis, Allergic, Perennial	0.976313
Cardiomyopathy, Dilated	Ventricular Dysfunction, Left	0.948292
Myocardial Infarction	Myocardial Stunning	0.940106
Myocardial Infarction	Coronary Stenosis	0.906333
Myocardial Infarction	Coronary Restenosis	0.943375
Cleft Palate	Cleft Lip	0.970755
Myopathy, Central Core	Myopathies, Structural, Congenital	0.899884
Bacterial Infections	Communicable Diseases	0.948336
Polycystic Kidney, Autosomal Dominant	Renal Insufficiency	0.902789
Hand Deformities, Congenital	Coloboma	0.857863
Hand Deformities, Congenital	Blepharophimosis	0.867673
Hand Deformities, Congenital	Orofaciodigital Syndromes	0.857104
Hand Deformities, Congenital	Fibromatosis, Gingival	0.87633
Hand Deformities, Congenital	Hypertelorism	0.941051
Hand Deformities, Congenital	Xeroderma Pigmentosum	0.86684
Hand Deformities, Congenital	Chromosome Breakage	0.887149
Hand Deformities, Congenital	Foot Deformities, Congenital	0.923577
Colorectal Neoplasms, Hereditary Nonpolyposis	Cafe-au-Lait Spots	0.953854
Infection	Bacterial Infections	0.934135
Congenital Hypothyroidism	Coloboma	0.896017
Salmonella Infections, Animal	Inflammatory Bowel Diseases	0.850442
Glaucoma, Open-Angle	Low Tension Glaucoma	0.94979
Epilepsy, Generalized	Classical Lissencephalies and Subcortical Band Heterotopias	0.881602
Epilepsy, Generalized	Incontinentia Pigmenti	0.876469
Lipid Metabolism Disorders	Dyslipidemias	0.877798
Hyperinsulinism	Metabolic Diseases	0.955192
Hyperinsulinism	Glucose Intolerance	0.968732
Hyperinsulinism	Hyperlipoproteinemias	0.924413
Hyperinsulinism	Endometrial Hyperplasia	0.94465
Hyperinsulinism	Endometrial Neoplasms	0.940178
Hyperinsulinism	Diabetes Mellitus	0.969844
Hyperinsulinism	Hypothalamic Diseases	0.850321
Hyperinsulinism	Bardet-Biedl Syndrome	0.914436
Hyperinsulinism	Hypoalphalipoproteinemias	0.965888
Hyperinsulinism	Dyslipidemias	0.936131
Appendicitis	Peritonitis	0.94653
Progeria	Werner Syndrome	0.97877
Homocystinuria	Amino Acid Metabolism, Inborn Errors	0.861482
Brain Neoplasms	Astrocytoma	0.850011
Rickets	Hypocalcemia	0.93206
Rickets	Hypoparathyroidism	0.911767
Death, Sudden, Cardiac	Arrhythmogenic Right Ventricular Dysplasia	0.918616
Ectodermal Dysplasia	Craniofacial Dysostosis	0.865958
Chromosome Breakage	Blepharophimosis	0.908825
Chromosome Breakage	Macrocephaly	0.85008
Chromosome Breakage	Orofaciodigital Syndromes	0.851511
Chromosome Breakage	Fibromatosis, Gingival	0.933633
Chromosome Breakage	Hypertelorism	0.865904
Chromosome Breakage	Xeroderma Pigmentosum	0.931248
Chromosome Breakage	Wolf-Hirschhorn Syndrome	0.884691
Goiter	Deafness	0.913079
Meningomyelocele	Spina Bifida Cystica	0.895833
Liver Diseases	Jaundice, Chronic Idiopathic	0.899012
Liver Diseases	Hyperbilirubinemia	0.85684
Liver Diseases	Spherocytosis, Hereditary	0.8761
Liver Diseases	Hepatitis	0.961975
Liver Diseases	Drug-Induced Liver Injury	0.950571
Cholestasis, Intrahepatic	Candidiasis, Vulvovaginal	0.873439
Cholestasis, Intrahepatic	Keloid	0.854675
Cholestasis, Intrahepatic	Liver Cirrhosis, Biliary	0.869967
Cholestasis, Intrahepatic	Pruritus	0.924153
Cholestasis, Intrahepatic	Dermatitis, Atopic	0.90396
Frontotemporal Dementia	Pick Disease of the Brain	0.97513
Primary Ovarian Insufficiency	Gonadal Dysgenesis	0.985235
Exostoses, Multiple Hereditary	Fibromatosis, Gingival	0.855428
Exostoses, Multiple Hereditary	Hallermann's Syndrome	0.858467
Exostoses, Multiple Hereditary	Syndactyly	0.852104
Exostoses, Multiple Hereditary	Chromosome Breakage	0.874222
Glomerulosclerosis, Focal Segmental	Nephrotic Syndrome	0.993939
Glomerulosclerosis, Focal Segmental	Nephrosis	0.987949
Glomerulosclerosis, Focal Segmental	Denys-Drash Syndrome	0.958784
Glomerulosclerosis, Focal Segmental	Lecithin Acyltransferase Deficiency	0.995165
Glomerulosclerosis, Focal Segmental	Immune Complex Diseases	0.906962
Glomerulosclerosis, Focal Segmental	Hematuria	0.938179
Pre-Eclampsia	Hypertension, Pregnancy-Induced	0.942472
Acne Vulgaris	Dermatitis, Seborrheic	0.902395
Acne Vulgaris	Alopecia	0.926259
Leukemia	Leukemia, Myeloid, Acute	0.850886
Tachycardia, Ventricular	Arrhythmogenic Right Ventricular Dysplasia	0.979451
Tachycardia, Ventricular	Torsades de Pointes	0.962598
Tachycardia, Ventricular	Death, Sudden, Cardiac	0.949027
Tachycardia, Ventricular	Ventricular Fibrillation	0.899273
Tachycardia, Ventricular	Atrioventricular Block	0.961193
Cholangiocarcinoma	Bile Duct Neoplasms	0.962963
Liver Neoplasms, Experimental	Mammary Neoplasms, Experimental	0.85455
Mitochondrial Myopathies	Mitochondrial Encephalomyopathies	0.969837
Keratitis	Waardenburg's Syndrome	0.874331
Renal Insufficiency	Nephrosis	0.854325
Retinal Diseases	Retinal Dystrophies	0.872163
Retinal Diseases	Optic Disk Drusen	0.852917
Sebaceous Gland Neoplasms	Wolf-Hirschhorn Syndrome	0.881806
Anemia, Hemolytic, Autoimmune	Autoimmune Lymphoproliferative Syndrome	0.905414
Anemia, Hemolytic, Autoimmune	Thrombocytopenia	0.8693
Respiratory Distress Syndrome, Newborn	Fetal Growth Retardation	0.88964
Ventricular Fibrillation	Death, Sudden, Cardiac	0.896588
Seizures	Classical Lissencephalies and Subcortical Band Heterotopias	0.924068
Seizures	Incontinentia Pigmenti	0.916078
Seizures	Seizures, Febrile	0.933501
Colitis	Crohn Disease	0.858269
Colitis	Celiac Disease	0.918447
Leishmaniasis, Cutaneous	Sciatic Neuropathy	0.912481
Leishmaniasis, Cutaneous	Hyperalgesia	0.92933
Ophthalmoplegia	Duane Retraction Syndrome	0.952907
Glomerulonephritis	Kidney Failure, Chronic	0.85458
Glomerulonephritis	Nephrotic Syndrome	0.98505
Glomerulonephritis	Nephrosis	0.972429
Glomerulonephritis	Denys-Drash Syndrome	0.941078
Glomerulonephritis	Lecithin Acyltransferase Deficiency	0.975109
Glomerulonephritis	Immune Complex Diseases	0.959973
Glomerulonephritis	Glomerulonephritis, Membranoproliferative	0.992972
Glomerulonephritis	Nephritis, Interstitial	0.960564
Glomerulonephritis	Proteinuria	0.979704
Glomerulonephritis	Glomerulosclerosis, Focal Segmental	0.980296
Glomerulonephritis	Glomerulonephritis, IGA	0.941909
Glomerulonephritis	Lupus Nephritis	0.983708
Glomerulonephritis	Hematuria	0.948578
Neurofibromatosis 1	Cafe-au-Lait Spots	0.878898
Neurofibromatosis 1	Fibrous Dysplasia, Polyostotic	0.90744
Neurofibromatosis 1	Colorectal Neoplasms, Hereditary Nonpolyposis	0.889801
Dysgammaglobulinemia	Immunologic Deficiency Syndromes	0.963102
Urinary Incontinence	Prostatic Intraepithelial Neoplasia	0.889435
Inflammatory Bowel Diseases	Gastrinoma	0.860118
Inflammatory Bowel Diseases	Celiac Disease	0.895477
Acrocephalosyndactylia	Craniofacial Dysostosis	0.85264
Heart Septal Defects, Ventricular	Heart Septal Defects	0.890063
Brugada Syndrome	Long QT Syndrome	0.923816
Brugada Syndrome	Arrhythmogenic Right Ventricular Dysplasia	0.894273
Brugada Syndrome	Torsades de Pointes	0.87753
Brugada Syndrome	Heart Block	0.900443
Brugada Syndrome	Death, Sudden, Cardiac	0.85998
Brugada Syndrome	Tachycardia, Ventricular	0.919221
Brugada Syndrome	Ventricular Fibrillation	0.851739
Spinal Diseases	Spondylitis, Ankylosing	0.896713
Ophthalmoplegia, Chronic Progressive External	Mitochondrial Myopathies	0.948561
Ophthalmoplegia, Chronic Progressive External	Mitochondrial Encephalomyopathies	0.946373
Insulin Resistance	Hyperlipidemias	0.93064
Insulin Resistance	Obesity	0.98831
Insulin Resistance	Metabolic Diseases	0.953963
Insulin Resistance	Glucose Intolerance	0.949921
Insulin Resistance	Hyperlipoproteinemias	0.918081
Insulin Resistance	Endometrial Hyperplasia	0.948721
Insulin Resistance	Gout	0.870972
Insulin Resistance	Metabolic Syndrome X	0.990537
Insulin Resistance	Endometrial Neoplasms	0.948006
Insulin Resistance	Diabetes Mellitus	0.96949
Insulin Resistance	Lipid Metabolism Disorders	0.875838
Insulin Resistance	Hyperinsulinism	0.990462
Insulin Resistance	Bardet-Biedl Syndrome	0.926454
Insulin Resistance	Hypertriglyceridemia	0.96867
Insulin Resistance	Hyperlipidemia, Familial Combined	0.98213
Insulin Resistance	Hypoalphalipoproteinemias	0.979885
Insulin Resistance	Dyslipidemias	0.943671
Bardet-Biedl Syndrome	Glucose Intolerance	0.856229
Bardet-Biedl Syndrome	Hyperlipoproteinemias	0.879098
Bardet-Biedl Syndrome	Hypoalphalipoproteinemias	0.937214
Bardet-Biedl Syndrome	Dyslipidemias	0.869479
Agranulocytosis	Neutropenia	0.962287
Respiratory Insufficiency	Respiratory Distress Syndrome, Adult	0.90147
Respiratory Insufficiency	Lung Diseases, Obstructive	0.888211
Respiratory Insufficiency	Acidosis	0.852074
Hypertriglyceridemia	Obesity	0.970329
Hypertriglyceridemia	Metabolic Diseases	0.939837
Hypertriglyceridemia	Glucose Intolerance	0.945944
Hypertriglyceridemia	Hyperlipoproteinemias	0.914077
Hypertriglyceridemia	Gout	0.877421
Hypertriglyceridemia	Endometrial Neoplasms	0.931646
Hypertriglyceridemia	Diabetes Mellitus	0.969682
Hypertriglyceridemia	Lipid Metabolism Disorders	0.897941
Hypertriglyceridemia	Hyperinsulinism	0.966631
Hypertriglyceridemia	Hyperlipoproteinemia Type IV	0.901059
Hypertriglyceridemia	Bardet-Biedl Syndrome	0.888309
Hypertriglyceridemia	Hyperlipidemia, Familial Combined	0.956352
Hypertriglyceridemia	Hypoalphalipoproteinemias	0.941429
Hypertriglyceridemia	Dyslipidemias	0.944397
Hemangioma, Capillary	Anisometropia	0.919126
Fetal Growth Retardation	Premature Birth	0.943272
Idiopathic Pulmonary Fibrosis	Pulmonary Alveolar Proteinosis	0.930452
Idiopathic Pulmonary Fibrosis	Pulmonary Fibrosis	0.998885
Seizures, Febrile	Classical Lissencephalies and Subcortical Band Heterotopias	0.890083
Seizures, Febrile	Incontinentia Pigmenti	0.894294
Crohn Disease	Inflammatory Bowel Diseases	0.924343
Craniofacial Abnormalities	Smith-Lemli-Opitz Syndrome	0.85866
Craniofacial Abnormalities	Blepharophimosis	0.894211
Craniofacial Abnormalities	Tooth Abnormalities	0.885435
Craniofacial Abnormalities	Chromosome Disorders	0.962867
Craniofacial Abnormalities	Craniofacial Dysostosis	0.921708
Craniofacial Abnormalities	Microcephaly	0.958629
Craniofacial Abnormalities	Dwarfism	0.916311
Craniofacial Abnormalities	Orofaciodigital Syndromes	0.855738
Craniofacial Abnormalities	Abnormalities, Multiple	0.969733
Craniofacial Abnormalities	Amino Acid Metabolism, Inborn Errors	0.922953
Craniofacial Abnormalities	Mental Retardation	0.938513
Craniofacial Abnormalities	Fibromatosis, Gingival	0.901645
Craniofacial Abnormalities	Piebaldism	0.857053
Craniofacial Abnormalities	Phenylketonurias	0.92525
Craniofacial Abnormalities	De Lange Syndrome	0.877001
Craniofacial Abnormalities	Klinefelter Syndrome	0.906455
Craniofacial Abnormalities	Fragile X Syndrome	0.884953
Craniofacial Abnormalities	Down Syndrome	0.889793
Craniofacial Abnormalities	Hypertelorism	0.87625
Craniofacial Abnormalities	Skin Abnormalities	0.888664
Craniofacial Abnormalities	Metabolism, Inborn Errors	0.88535
Craniofacial Abnormalities	Chromosome Aberrations	0.959551
Craniofacial Abnormalities	Syndactyly	0.909097
Craniofacial Abnormalities	Craniosynostoses	0.937373
Craniofacial Abnormalities	Polydactyly	0.898217
Craniofacial Abnormalities	Xeroderma Pigmentosum	0.887926
Craniofacial Abnormalities	Hand Deformities, Congenital	0.889411
Craniofacial Abnormalities	Anophthalmos	0.852175
Craniofacial Abnormalities	Chromosome Breakage	0.919825
Craniofacial Abnormalities	Cri-du-Chat Syndrome	0.882232
Craniofacial Abnormalities	Exostoses, Multiple Hereditary	0.858541
Craniofacial Abnormalities	Wolf-Hirschhorn Syndrome	0.887362
Hyperlipidemia, Familial Combined	Glucose Intolerance	0.925601
Hyperlipidemia, Familial Combined	Hyperlipoproteinemias	0.930638
Hyperlipidemia, Familial Combined	Hypoalphalipoproteinemias	0.983403
Hyperlipidemia, Familial Combined	Dyslipidemias	0.931483
Alopecia	Hirsutism	0.914761
Hematologic Diseases	Blood Platelet Disorders	0.908843
Hematologic Diseases	Thrombocytopenia	0.899009
Bundle-Branch Block	Long QT Syndrome	0.892398
Bundle-Branch Block	Arrhythmogenic Right Ventricular Dysplasia	0.898551
Bundle-Branch Block	Torsades de Pointes	0.906176
Bundle-Branch Block	Heart Block	0.929465
Bundle-Branch Block	Death, Sudden, Cardiac	0.951802
Bundle-Branch Block	Tachycardia, Ventricular	0.931014
Bundle-Branch Block	Ventricular Fibrillation	0.89524
Bundle-Branch Block	Brugada Syndrome	0.856597
Carcinoma, Transitional Cell	Urinary Bladder Neoplasms	0.852237
Stroke	Infarction, Middle Cerebral Artery	0.87799
Hemophilia A	von Willebrand Diseases	0.924488
Hemophilia A	Hemophilia B	0.973634
Hemophilia A	Factor VII Deficiency	0.865897
Diabetes Insipidus, Neurogenic	Diabetes Insipidus, Nephrogenic	0.977553
Multiple System Atrophy	Supranuclear Palsy, Progressive	0.950598
Multiple System Atrophy	Tauopathies	0.921987
Glomerulonephritis, IGA	Nephrotic Syndrome	0.882263
Glomerulonephritis, IGA	Lecithin Acyltransferase Deficiency	0.864658
Glomerulonephritis, IGA	Immune Complex Diseases	0.957496
Glomerulonephritis, IGA	Glomerulonephritis, Membranoproliferative	0.934368
Glomerulonephritis, IGA	Hematuria	0.875594
Celiac Disease	Vipoma	0.905156
Colorectal Neoplasms	Rectal Neoplasms	0.917957
Dermatitis, Atopic	Eczema	0.870971
Dermatitis, Atopic	Dermatitis, Allergic Contact	0.91268
Dermatitis, Atopic	Keloid	0.909323
Dermatitis, Atopic	Dermatitis	0.912642
Dermatitis, Atopic	Liver Cirrhosis, Biliary	0.877953
Dermatitis, Atopic	Pruritus	0.979773
Renal Tubular Transport, Inborn Errors	Nephrocalcinosis	0.868484
Neurogenic Inflammation	Hyperalgesia	0.89321
Developmental Disabilities	Autistic Disorder	0.85512
Lupus Nephritis	Nephrotic Syndrome	0.993318
Keratosis	Porokeratosis	0.857899
Anorexia Nervosa	Bulimia Nervosa	0.879604
Lymphoma, T-Cell, Cutaneous	Porokeratosis	0.857696
Myocardial Ischemia	Myocardial Stunning	0.882759
Myocardial Ischemia	Coronary Disease	0.908735
Myocardial Ischemia	Coronary Aneurysm	0.910894
Myocardial Ischemia	Coronary Artery Disease	0.943587
Myocardial Ischemia	Coronary Restenosis	0.975934
Myocardial Ischemia	Myocardial Infarction	0.946316
Dermatomyositis	Myositis, Inclusion Body	0.853297
Cardiomyopathy, Hypertrophic	Aortic Valve Stenosis	0.925635
Optic Neuropathy, Ischemic	Retinal Vein Occlusion	0.874585
Optic Neuropathy, Ischemic	Choroidal Neovascularization	0.890885
Cerebral Palsy	Muscle Spasticity	0.858197
Kidney Diseases	Kidney Failure, Chronic	0.853764
Kidney Diseases	Nephrotic Syndrome	0.867536
Kidney Diseases	Nephrosis	0.896001
Kidney Diseases	Lecithin Acyltransferase Deficiency	0.852963
Kidney Diseases	Nephritis, Interstitial	0.876449
Kidney Diseases	Proteinuria	0.868085
Kidney Diseases	Glomerulosclerosis, Focal Segmental	0.870919
Kidney Diseases	Renal Insufficiency	0.851476
Kidney Diseases	Glomerulonephritis	0.864084
Kidney Diseases	Lupus Nephritis	0.872745
Kidney Diseases	Hematuria	0.871041
Dyslipidemias	Hyperlipoproteinemias	0.885665
Dyslipidemias	Hypoalphalipoproteinemias	0.922023
Lymphopenia	Immunologic Deficiency Syndromes	0.925116
Lymphopenia	Lymphoproliferative Disorders	0.878385
Lymphopenia	Job's Syndrome	0.910122
Sinoatrial Block	Sick Sinus Syndrome	0.894415
Sinoatrial Block	Long QT Syndrome	0.876627
Sinoatrial Block	Arrhythmogenic Right Ventricular Dysplasia	0.856281
Sinoatrial Block	Torsades de Pointes	0.872521
Sinoatrial Block	Arrhythmias, Cardiac	0.865041
Sinoatrial Block	Heart Block	0.884807
Sinoatrial Block	Death, Sudden, Cardiac	0.850951
