"biotid","substrate_name","substrate_cid","substrate_inchikey","substrate_inchi","enzyme","reaction_type","biotransformation_type","biosystem","prod_name","prod_cid","prod_inchikey","prod_inchi","reference"
"BIOTID00341","(R)-colchicine","53278","IAKHMKGGTNLKSZ-MRXNPFEDSA-N","InChI=1S/C22H25NO6/c1-12(24)23-16-8-6-13-10-19(27-3)21(28-4)22(29-5)20(13)14-7-9-18(26-2)17(25)11-15(14)16/h7,9-11,16H,6,8H2,1-5H3,(H,23,24)/t16-/m1/s1","CYP3A4","O-demethylation ","Human Phase I","Human","3-demethylcolchicine","494161","JRRUSQGIRBEMRN-UHFFFAOYSA-N","InChI=1S/C21H23NO6/c1-11(23)22-15-7-5-12-9-17(25)20(27-3)21(28-4)19(12)13-6-8-18(26-2)16(24)10-14(13)15/h6,8-10,15,25H,5,7H2,1-4H3,(H,22,23)","PMID:8960070"
"BIOTID00342","(R)-colchicine","53278","IAKHMKGGTNLKSZ-MRXNPFEDSA-N","InChI=1S/C22H25NO6/c1-12(24)23-16-8-6-13-10-19(27-3)21(28-4)22(29-5)20(13)14-7-9-18(26-2)17(25)11-15(14)16/h7,9-11,16H,6,8H2,1-5H3,(H,23,24)/t16-/m1/s1","CYP3A4","O-demethylation ","Human Phase I","Human","2-demethyicolchicine","541033","DPOVAJCRYIUTBD-UHFFFAOYSA-N","InChI=1S/C21H23NO6/c1-11(23)22-15-7-5-12-9-18(27-3)20(25)21(28-4)19(12)13-6-8-17(26-2)16(24)10-14(13)15/h6,8-10,15,25H,5,7H2,1-4H3,(H,22,23)","PMID:8960070"
"BIOTID00343","(R)-colchicine","53278","IAKHMKGGTNLKSZ-MRXNPFEDSA-N","InChI=1S/C22H25NO6/c1-12(24)23-16-8-6-13-10-19(27-3)21(28-4)22(29-5)20(13)14-7-9-18(26-2)17(25)11-15(14)16/h7,9-11,16H,6,8H2,1-5H3,(H,23,24)/t16-/m1/s1","CYP3A4","O-demethylation ","Human Phase I","Human","Colchiceine","10156","PRGILOMAMBLWNG-UHFFFAOYSA-N","InChI=1S/C21H23NO6/c1-11(23)22-15-7-5-12-9-18(26-2)20(27-3)21(28-4)19(12)13-6-8-16(24)17(25)10-14(13)15/h6,8-10,15H,5,7H2,1-4H3,(H,22,23)(H,24,25)","PMID:8960070"
"BIOTID00344","{4-[5-(4-Fluoro-phenyl)-2-methylsulfanyl-3H-imidazol-4-yl]-pyridin-2-yl}-(1-phenyl-ethyl)-amine","10862355","VXPWQNBKEIVYIS-OAHLLOKOSA-N","InChI=1S/C23H21FN4S/c1-15(16-6-4-3-5-7-16)26-20-14-18(12-13-25-20)22-21(27-23(28-22)29-2)17-8-10-19(24)11-9-17/h3-15H,1-2H3,(H,25,26)(H,27,28)/t15-/m1/s1","CYP1A2;CYP2C19;CYP2D6;CYP3A4","S-OXIDATION","Human Phase I","Human","NULL","NULL","JXAHDPSVNVHDEW-UHFFFAOYSA-N","InChI=1S/C23H21FN4O2S/c1-15(16-6-4-3-5-7-16)26-20-14-18(12-13-25-20)22-21(17-8-10-19(24)11-9-17)27-23(28-22)31(2,29)30/h3-15H,1-2H3,(H,25,26)(H,27,28)","PMID:17344341"
"BIOTID00345","{4-[5-(4-Fluoro-phenyl)-2-methylsulfanyl-3H-imidazol-4-yl]-pyridin-2-yl}-(1-phenyl-ethyl)-amine","10862355","VXPWQNBKEIVYIS-OAHLLOKOSA-N","InChI=1S/C23H21FN4S/c1-15(16-6-4-3-5-7-16)26-20-14-18(12-13-25-20)22-21(27-23(28-22)29-2)17-8-10-19(24)11-9-17/h3-15H,1-2H3,(H,25,26)(H,27,28)/t15-/m1/s1","CYP3A4","N-dealkylation","Human Phase I","Human","NULL","NULL","DEVKGTPEZICAAL-UHFFFAOYSA-N","InChI=1S/C15H13FN4OS/c1-22(21)15-19-13(9-2-4-11(16)5-3-9)14(20-15)10-6-7-18-12(17)8-10/h2-8H,1H3,(H2,17,18)(H,19,20)","PMID:17344341"
"BIOTID00346","{4-[5-(4-Fluoro-phenyl)-2-methylsulfanyl-3H-imidazol-4-yl]-pyridin-2-yl}-(1-phenyl-ethyl)-amine","10862355","VXPWQNBKEIVYIS-OAHLLOKOSA-N","InChI=1S/C23H21FN4S/c1-15(16-6-4-3-5-7-16)26-20-14-18(12-13-25-20)22-21(27-23(28-22)29-2)17-8-10-19(24)11-9-17/h3-15H,1-2H3,(H,25,26)(H,27,28)/t15-/m1/s1","CYP3A4","N-oxidation","Human Phase I","Human","NULL","NULL","XCXUHCXNRURMFV-UHFFFAOYSA-O","InChI=1S/C23H21FN4O2S/c1-15(16-6-4-3-5-7-16)25-20-14-18(12-13-28(20)29)22-21(26-23(27-22)31(2)30)17-8-10-19(24)11-9-17/h3-15,29H,1-2H3,(H,25,26,27)/p+1","PMID:17344341"
"BIOTID00348","reduced_haloperidol","16048564","WNZBBTJFOIOEMP-FQEVSTJZSA-N","InChI=1S/C21H25ClFNO2/c22-18-7-5-17(6-8-18)21(26)11-14-24(15-12-21)13-1-2-20(25)16-3-9-19(23)10-4-16/h3-10,20,25-26H,1-2,11-15H2/t20-/m0/s1","CYP3A4","N-Demethylation","Human Phase I","Human","CPHP","38282","LZAYOZUFUAMFLD-UHFFFAOYSA-N","InChI=1S/C11H14ClNO/c12-10-3-1-9(2-4-10)11(14)5-7-13-8-6-11/h1-4,13-14H,5-8H2","PMID:11717183"
"BIOTID00349","reduced_haloperidol","16048564","WNZBBTJFOIOEMP-FQEVSTJZSA-N","InChI=1S/C21H25ClFNO2/c22-18-7-5-17(6-8-18)21(26)11-14-24(15-12-21)13-1-2-20(25)16-3-9-19(23)10-4-16/h3-10,20,25-26H,1-2,11-15H2/t20-/m0/s1","CYP3A4","Dehydrogenation","Human Phase I","Human","haloperidol","3559","LNEPOXFFQSENCJ-UHFFFAOYSA-N","InChI=1S/C21H23ClFNO2/c22-18-7-5-17(6-8-18)21(26)11-14-24(15-12-21)13-1-2-20(25)16-3-9-19(23)10-4-16/h3-10,26H,1-2,11-15H2","PMID:11717183"
"BIOTID00350","DRF_4367","9802596","MVZNVBXATDCMMJ-UHFFFAOYSA-N","InChI=1S/C18H16F3N3O4S/c1-28-14-5-2-11(3-6-14)15-9-17(18(19,20)21)23-24(15)13-4-7-16(29(22,26)27)12(8-13)10-25/h2-9,25H,10H2,1H3,(H2,22,26,27)","CYP2C19;CYP2D6","O-demethylation","Human Phase I","Human","NULL","NULL","PFHJJNLRTMUCBE-UHFFFAOYSA-N","InChI=1S/C17H14F3N3O4S/c18-17(19,20)16-8-14(10-1-4-13(25)5-2-10)23(22-16)12-3-6-15(28(21,26)27)11(7-12)9-24/h1-8,24-25H,9H2,(H2,21,26,27)","PMID:17315542"
"BIOTID00351","benzodioxolyl-butanamine (BDB)","54579998","VHMRXGAIDDCGDU-VIFPVBQESA-N","InChI=1S/C11H15NO2/c1-2-9(12)5-8-3-4-10-11(6-8)14-7-13-10/h3-4,6,9H,2,5,7,12H2,1H3/t9-/m0/s1","CYP2C19;CYP2D6;CYP3A4","O-demethylenation","Human Phase I","Human","DHABB","20329954","ZVTVIPHSXNUZQH-UHFFFAOYSA-N","InChI=1S/C10H15NO2/c1-2-8(11)5-7-3-4-9(12)10(13)6-7/h3-4,6,8,12-13H,2,5,11H2,1H3","PMID:19576971"
"BIOTID00352","itraconazole","24867300","VHVPQPYKVGDNFY-ARROIKNCSA-N","InChI=1S/C35H38Cl2N8O4/c1-3-25(2)45-34(46)44(24-40-45)29-7-5-27(6-8-29)41-14-16-42(17-15-41)28-9-11-30(12-10-28)47-19-31-20-48-35(49-31,21-43-23-38-22-39-43)32-13-4-26(36)18-33(32)37/h4-13,18,22-25,31H,3,14-17,19-21H2,1-2H3/t25-,31+,35+/m0/s1","CYP3A4","Aliphatic Hydroxylation","Human Phase I","Human","Hydroxy-iteraconazole","108222","ISJVOEOJQLKSJU-UHFFFAOYSA-N","InChI=1S/C35H38Cl2N8O5/c1-24(25(2)46)45-34(47)44(23-40-45)29-6-4-27(5-7-29)41-13-15-42(16-14-41)28-8-10-30(11-9-28)48-18-31-19-49-35(50-31,20-43-22-38-21-39-43)32-12-3-26(36)17-33(32)37/h3-12,17,21-25,31,46H,13-16,18-20H2,1-2H3","PMID:15242978"
"BIOTID00353","itraconazole","24867300","VHVPQPYKVGDNFY-ARROIKNCSA-N","InChI=1S/C35H38Cl2N8O4/c1-3-25(2)45-34(46)44(24-40-45)29-7-5-27(6-8-29)41-14-16-42(17-15-41)28-9-11-30(12-10-28)47-19-31-20-48-35(49-31,21-43-23-38-22-39-43)32-13-4-26(36)18-33(32)37/h4-13,18,22-25,31H,3,14-17,19-21H2,1-2H3/t25-,31+,35+/m0/s1","CYP3A4","C-Oxidation","Human Phase I","Human","keto-iteraconazole ","21281914","GZEZATDDANETAV-UHFFFAOYSA-N","InChI=1S/C35H36Cl2N8O5/c1-24(25(2)46)45-34(47)44(23-40-45)29-6-4-27(5-7-29)41-13-15-42(16-14-41)28-8-10-30(11-9-28)48-18-31-19-49-35(50-31,20-43-22-38-21-39-43)32-12-3-26(36)17-33(32)37/h3-12,17,21-24,31H,13-16,18-20H2,1-2H3","PMID:15242978"
"BIOTID00354","itraconazole","24867300","VHVPQPYKVGDNFY-ARROIKNCSA-N","InChI=1S/C35H38Cl2N8O4/c1-3-25(2)45-34(46)44(24-40-45)29-7-5-27(6-8-29)41-14-16-42(17-15-41)28-9-11-30(12-10-28)47-19-31-20-48-35(49-31,21-43-23-38-22-39-43)32-13-4-26(36)18-33(32)37/h4-13,18,22-25,31H,3,14-17,19-21H2,1-2H3/t25-,31+,35+/m0/s1","CYP3A4","N-Desalkylation","Human Phase I","Human","N-Desalkyl-iteraconazole","14349865","FBAPZOQKYAPBHI-UHFFFAOYSA-N","InChI=1S/C31H30Cl2N8O4/c32-22-1-10-28(29(33)15-22)31(18-40-20-34-19-36-40)44-17-27(45-31)16-43-26-8-6-24(7-9-26)39-13-11-38(12-14-39)23-2-4-25(5-3-23)41-21-35-37-30(41)42/h1-10,15,19-21,27H,11-14,16-18H2,(H,37,42)","PMID:15242978"
"BIOTID00355","Mequitazine","15662541","FXKSIMKLXMWGEF-UHFFFAOYSA-N","InChI=1S/C20H22N2S/c1-3-7-18-16(5-1)22(17-6-2-4-8-19(17)23-18)15-20-9-12-21(13-10-20)14-11-20/h1-8H,9-15H2","CYP2D6","Aromatic Hydroxylation","Human Phase I","Human","NULL","NULL","MEVRIBHZYLUYGC-UHFFFAOYSA-N","InChI=1S/C20H22N2OS/c23-15-5-6-17-19(13-15)24-18-4-2-1-3-16(18)22(17)14-20-7-10-21(11-8-20)12-9-20/h1-6,13,23H,7-12,14H2","PMID:9454781"
"BIOTID00356","Mequitazine","15662541","FXKSIMKLXMWGEF-UHFFFAOYSA-N","InChI=1S/C20H22N2S/c1-3-7-18-16(5-1)22(17-6-2-4-8-19(17)23-18)15-20-9-12-21(13-10-20)14-11-20/h1-8H,9-15H2","CYP2D6","S-Oxidation","Human Phase I","Human","NULL","NULL","MWWBJGJQWARQIT-UHFFFAOYSA-N","InChI=1S/C20H22N2OS/c23-24-18-7-3-1-5-16(18)22(17-6-2-4-8-19(17)24)15-20-9-12-21(13-10-20)14-11-20/h1-8H,9-15H2","PMID:9454781"
"BIOTID00357","NE-100","9841596","YBLIQJGXRLZBCZ-UHFFFAOYSA-N","InChI=1S/C23H33NO2/c1-4-15-24(16-5-2)17-13-21-11-12-22(25-3)23(19-21)26-18-14-20-9-7-6-8-10-20/h6-12,19H,4-5,13-18H2,1-3H3","CYP2D6;CYP3A4","Aromatic Hydroxylation","Human Phase I","Human","NULL","71374942","WPKONAGIRLBFJW-UHFFFAOYSA-N","InChI=1S/C23H33NO3/c1-4-13-24(14-5-2)15-11-20-9-10-22(26-3)23(18-20)27-16-12-19-7-6-8-21(25)17-19/h6-10,17-18,25H,4-5,11-16H2,1-3H3","PMID:15618733"
"BIOTID00358","NE-100","9841596","YBLIQJGXRLZBCZ-UHFFFAOYSA-N","InChI=1S/C23H33NO2/c1-4-15-24(16-5-2)17-13-21-11-12-22(25-3)23(19-21)26-18-14-20-9-7-6-8-10-20/h6-12,19H,4-5,13-18H2,1-3H3","CYP2D6;CYP3A4","Aromatic Hydroxylation","Human Phase I","Human","NULL","18986923","XGMGOPZOOJNJPJ-UHFFFAOYSA-N","InChI=1S/C23H33NO3/c1-4-14-24(15-5-2)16-12-20-8-11-22(26-3)23(18-20)27-17-13-19-6-9-21(25)10-7-19/h6-11,18,25H,4-5,12-17H2,1-3H3","PMID:15618733"
"BIOTID00359","NE-100","9841596","YBLIQJGXRLZBCZ-UHFFFAOYSA-N","InChI=1S/C23H33NO2/c1-4-15-24(16-5-2)17-13-21-11-12-22(25-3)23(19-21)26-18-14-20-9-7-6-8-10-20/h6-12,19H,4-5,13-18H2,1-3H3","CYP1A2;CYP2C9;CYP2C19;CYP2D6;CYP3A4","N-DEMETHYLATION","Human Phase I","Human","NULL","10710332","AEQMNSOSQSZZIB-UHFFFAOYSA-N","InChI=1S/C20H27NO2/c1-3-13-21-14-11-18-9-10-19(22-2)20(16-18)23-15-12-17-7-5-4-6-8-17/h4-10,16,21H,3,11-15H2,1-2H3","PMID:15618733"
"BIOTID00360","NE-100","9841596","YBLIQJGXRLZBCZ-UHFFFAOYSA-N","InChI=1S/C23H33NO2/c1-4-15-24(16-5-2)17-13-21-11-12-22(25-3)23(19-21)26-18-14-20-9-7-6-8-10-20/h6-12,19H,4-5,13-18H2,1-3H3","CYP2C9;CYP2C19;CYP2D6","O-DEMETHYLATION","Human Phase I","Human","NULL","10688629","DMVMWWXQRZDRJE-UHFFFAOYSA-N","InChI=1S/C22H31NO2/c1-3-14-23(15-4-2)16-12-20-10-11-21(24)22(18-20)25-17-13-19-8-6-5-7-9-19/h5-11,18,24H,3-4,12-17H2,1-2H3","PMID:15618733"
"BIOTID00361","(R)-m-Methoxyamphetamine","22809970","VEJWNIYARKAHFI-MRVPVSSYSA-N","InChI=1S/C10H15NO/c1-8(11)6-9-4-3-5-10(7-9)12-2/h3-5,7-8H,6,11H2,1-2H3/t8-/m1/s1","CYP2D6","O-DEMETHYLATION","Human Phase I","Human","NULL","102551","WTDGMHYYGNJEKQ-UHFFFAOYSA-N","InChI=1S/C9H13NO/c1-7(10)5-8-3-2-4-9(11)6-8/h2-4,6-7,11H,5,10H2,1H3","PMID:10456690"
"BIOTID00362","(R)-m-Methoxyamphetamine","22809970","VEJWNIYARKAHFI-MRVPVSSYSA-N","InChI=1S/C10H15NO/c1-8(11)6-9-4-3-5-10(7-9)12-2/h3-5,7-8H,6,11H2,1-2H3/t8-/m1/s1","CYP2D6","Aromatic Hydroxylation","Human Phase I","Human","NULL","197139","GPBOYXOSSQEJBH-UHFFFAOYSA-N","InChI=1S/C10H15NO2/c1-7(11)5-8-3-4-9(12)10(6-8)13-2/h3-4,6-7,12H,5,11H2,1-2H3","PMID:10456690"
"BIOTID00363","(R)-phenprocoumon","54681545","DQDAYGNAKTZFIW-CYBMUJFWSA-N","InChI=1S/C18H16O3/c1-2-13(12-8-4-3-5-9-12)16-17(19)14-10-6-7-11-15(14)21-18(16)20/h3-11,13,19H,2H2,1H3/t13-/m1/s1","CYP2C8;CYP2C9;CYP2C19;CYP3A4","Aromatic Hydroxylation","Human Phase I","Human","NULL","54704412","ZPNYHQZRGWFLST-UHFFFAOYSA-N","InChI=1S/C18H16O4/c1-2-13(11-7-9-12(19)10-8-11)16-17(20)14-5-3-4-6-15(14)22-18(16)21/h3-10,13,19-20H,2H2,1H3","PMID:15742978"
"BIOTID00364","(R)-phenprocoumon","54681545","DQDAYGNAKTZFIW-CYBMUJFWSA-N","InChI=1S/C18H16O3/c1-2-13(12-8-4-3-5-9-12)16-17(19)14-10-6-7-11-15(14)21-18(16)20/h3-11,13,19H,2H2,1H3/t13-/m1/s1","CYP2C9;CYP2C19;CYP3A4","Aromatic Hydroxylation","Human Phase I","Human","NULL","54681540","BKRXPRMCBOAGQH-UHFFFAOYSA-N","InChI=1S/C18H16O4/c1-2-13(11-6-4-3-5-7-11)16-17(20)14-10-12(19)8-9-15(14)22-18(16)21/h3-10,13,19-20H,2H2,1H3","PMID:15742978"
"BIOTID00365","(R)-phenprocoumon","54681545","DQDAYGNAKTZFIW-CYBMUJFWSA-N","InChI=1S/C18H16O3/c1-2-13(12-8-4-3-5-9-12)16-17(19)14-10-6-7-11-15(14)21-18(16)20/h3-11,13,19H,2H2,1H3/t13-/m1/s1","CYP2C9;CYP2C19;CYP3A4","Aromatic Hydroxylation","Human Phase I","Human","NULL","54681539","HBAPGROFUGJSGR-UHFFFAOYSA-N","InChI=1S/C18H16O4/c1-2-13(11-6-4-3-5-7-11)16-17(20)14-9-8-12(19)10-15(14)22-18(16)21/h3-10,13,19-20H,2H2,1H3","PMID:15742978"
"BIOTID00366","pantoprazole","11181988","IQPSEEYGBUAQFF-AREMUKBSSA-N","InChI=1S/C16H15F2N3O4S/c1-23-13-5-6-19-12(14(13)24-2)8-26(22)16-20-10-4-3-9(25-15(17)18)7-11(10)21-16/h3-7,15H,8H2,1-2H3,(H,20,21)/t26-/m1/s1","CYP2C19","Aliphatic Hydroxylation","Human Phase I","Human","NULL","NULL","RWTUXUHGTKVBCL-UHFFFAOYSA-N","InChI=1S/C16H15F2N3O5S/c1-24-14-12(19-5-4-13(14)25-8-22)7-27(23)16-20-10-3-2-9(26-15(17)18)6-11(10)21-16/h2-6,15,22H,7-8H2,1H3,(H,20,21)","PMID:9165689"
"BIOTID00367","2Ã¢â‚¬Â[(S)Ã¢â‚¬Â[4Ã¢â‚¬Â(cyclopropylmethoxy)pyridinÃ¢â‚¬Â2Ã¢â‚¬Âyl]methanesulfinyl]Ã¢â‚¬Â5Ã¢â‚¬ÂfluoroÃ¢â‚¬Â1HÃ¢â‚¬Â1,3Ã¢â‚¬Âbenzodiazole","70693563","DIUOJMLXZJHNDR-DEOSSOPVSA-N","InChI=1S/C17H16FN3O2S/c18-12-3-4-15-16(7-12)21-17(20-15)24(22)10-13-8-14(5-6-19-13)23-9-11-1-2-11/h3-8,11H,1-2,9-10H2,(H,20,21)/t24-/m0/s1","CYP1A2;CYP2C9;CYP3A4","S-Oxidation","Human Phase I","Human","Sulphone","NULL","FOTFMGNDPAPMPD-UHFFFAOYSA-N","InChI=1S/C17H16FN3O3S/c18-12-3-4-15-16(7-12)21-17(20-15)25(22,23)10-13-8-14(5-6-19-13)24-9-11-1-2-11/h3-8,11H,1-2,9-10H2,(H,20,21)","PMID:10611141"
"BIOTID00368","2Ã¢â‚¬Â[(S)Ã¢â‚¬Â[4Ã¢â‚¬Â(cyclopropylmethoxy)pyridinÃ¢â‚¬Â2Ã¢â‚¬Âyl]methanesulfinyl]Ã¢â‚¬Â5Ã¢â‚¬ÂfluoroÃ¢â‚¬Â1HÃ¢â‚¬Â1,3Ã¢â‚¬Âbenzodiazole","70693563","DIUOJMLXZJHNDR-DEOSSOPVSA-N","InChI=1S/C17H16FN3O2S/c18-12-3-4-15-16(7-12)21-17(20-15)24(22)10-13-8-14(5-6-19-13)23-9-11-1-2-11/h3-8,11H,1-2,9-10H2,(H,20,21)/t24-/m0/s1","CYP1A2;CYP2C9;CYP2C19;CYP3A4","Aromatic Hydroxylation","Human Phase I","Human","NULL","NULL","XDFQGBNGMWAJQY-UHFFFAOYSA-N","InChI=1S/C17H16FN3O3S/c18-13-6-14-15(7-16(13)22)21-17(20-14)25(23)9-11-5-12(3-4-19-11)24-8-10-1-2-10/h3-7,10,22H,1-2,8-9H2,(H,20,21)","PMID:10611141"
"BIOTID00369","2Ã¢â‚¬Â[(S)Ã¢â‚¬Â[4Ã¢â‚¬Â(cyclopropylmethoxy)pyridinÃ¢â‚¬Â2Ã¢â‚¬Âyl]methanesulfinyl]Ã¢â‚¬Â5Ã¢â‚¬ÂfluoroÃ¢â‚¬Â1HÃ¢â‚¬Â1,3Ã¢â‚¬Âbenzodiazole","70693563","DIUOJMLXZJHNDR-DEOSSOPVSA-N","InChI=1S/C17H16FN3O2S/c18-12-3-4-15-16(7-12)21-17(20-15)24(22)10-13-8-14(5-6-19-13)23-9-11-1-2-11/h3-8,11H,1-2,9-10H2,(H,20,21)/t24-/m0/s1","CYP1A2;CYP2C9;CYP2C19;CYP3A4","O-dealkylation","Human Phase I","Human","Pyridone","NULL","PXUPJAZIXWUXAX-UHFFFAOYSA-N","InChI=1S/C13H10FN3O2S/c14-9-4-10-11(5-12(9)19)17-13(16-10)20-6-7-3-8(18)1-2-15-7/h1-5,19H,6H2,(H,15,18)(H,16,17)","PMID:10611141"
"BIOTID00370","(2S,3R)-3-(4-Hydroxy-phenyl)-2-[4-(2-piperidin-1-yl-ethoxy)-phenyl]-2,3-dihydro-benzo[1,4]oxathiin-6-ol","448577","TWZNCTCQAGRUGQ-RRPNLBNLSA-N","InChI=1S/C27H29NO4S/c29-21-8-4-20(5-9-21)27-26(32-24-13-10-22(30)18-25(24)33-27)19-6-11-23(12-7-19)31-17-16-28-14-2-1-3-15-28/h4-13,18,26-27,29-30H,1-3,14-17H2/t26-,27+/m0/s1","CYP3A4","S-Oxidation","Human Phase I","Human","NULL","NULL","QFAOUVIEXOWBQC-UHFFFAOYSA-N","InChI=1S/C27H29NO5S/c29-21-8-4-20(5-9-21)27-26(33-24-13-10-22(30)18-25(24)34(27)31)19-6-11-23(12-7-19)32-17-16-28-14-2-1-3-15-28/h4-13,18,26-27,29-30H,1-3,14-17H2","PMID:15833027"
"BIOTID00371","(2S,3R)-3-(4-Hydroxy-phenyl)-2-[4-(2-piperidin-1-yl-ethoxy)-phenyl]-2,3-dihydro-benzo[1,4]oxathiin-6-ol","448577","TWZNCTCQAGRUGQ-RRPNLBNLSA-N","InChI=1S/C27H29NO4S/c29-21-8-4-20(5-9-21)27-26(32-24-13-10-22(30)18-25(24)33-27)19-6-11-23(12-7-19)31-17-16-28-14-2-1-3-15-28/h4-13,18,26-27,29-30H,1-3,14-17H2/t26-,27+/m0/s1","CYP3A4","S-Dealkylation","Human Phase I","Human","NULL","NULL","FWDUZUKVAMWNDZ-UHFFFAOYSA-N","InChI=1S/C27H31NO4S/c1-2-3-4-15-28-16-17-31-23-12-7-19(8-13-23)26-27(20-5-9-21(29)10-6-20)33-25-18-22(30)11-14-24(25)32-26/h5-14,18,26-30H,2-4,15-17H2,1H3","PMID:15833027"
"BIOTID00372","PNU-96391","9795741","GZVBVBMMNFIXGE-CQSZACIVSA-N","InChI=1S/C15H23NO2S/c1-3-9-16-10-5-7-14(12-16)13-6-4-8-15(11-13)19(2,17)18/h4,6,8,11,14H,3,5,7,9-10,12H2,1-2H3/t14-/m1/s1","CYP1A2;CYP2C19;CYP2D6;CYP3A4","N-dealkylation","Human Phase I","Human","NULL","10890006","KMVLMAUQHRUFDO-UHFFFAOYSA-N","InChI=1S/C12H17NO2S/c1-16(14,15)12-6-2-4-10(8-12)11-5-3-7-13-9-11/h2,4,6,8,11,13H,3,5,7,9H2,1H3","PMID:12433806"
"BIOTID00373","4Ã¢â‚¬Â[(dimethylamino)methyl]Ã¢â‚¬Â7Ã¢â‚¬ÂmethoxychromenÃ¢â‚¬Â2Ã¢â‚¬Âone","8931830","LXMHUJTYIQLCAN-UHFFFAOYSA-N","InChI=1S/C13H15NO3/c1-14(2)8-9-6-13(15)17-12-7-10(16-3)4-5-11(9)12/h4-7H,8H2,1-3H3","CYP1A2","N-dealkylation","Human Phase I","Human","NULL","8931837","GWMGUFTYUOYYQV-UHFFFAOYSA-N","InChI=1S/C12H13NO3/c1-13-7-8-5-12(14)16-11-6-9(15-2)3-4-10(8)11/h3-6,13H,7H2,1-2H3","PMID:11095593"
"BIOTID00374","4Ã¢â‚¬Â[(dimethylamino)methyl]Ã¢â‚¬Â7Ã¢â‚¬ÂmethoxychromenÃ¢â‚¬Â2Ã¢â‚¬Âone","8931830","LXMHUJTYIQLCAN-UHFFFAOYSA-N","InChI=1S/C13H15NO3/c1-14(2)8-9-6-13(15)17-12-7-10(16-3)4-5-11(9)12/h4-7H,8H2,1-3H3","CYP1A2;CYP2C19;CYP2D6","N-dealkylation","Human Phase I","Human","NULL","8481465","KKITYPITUYVFAA-UHFFFAOYSA-N","InChI=1S/C12H13NO3/c1-13(2)7-8-5-12(15)16-11-6-9(14)3-4-10(8)11/h3-6,14H,7H2,1-2H3","PMID:11095593"
"BIOTID00375","bpr-0L075","10359957","UZJVBXKFBQNDTQ-UHFFFAOYSA-N","InChI=1S/C19H19NO5/c1-22-12-5-6-13-14(10-20-15(13)9-12)18(21)11-7-16(23-2)19(25-4)17(8-11)24-3/h5-10,20H,1-4H3","CYP2C9;CYP2C19;CYP2D6;CYP2E1;CYP3A4","O-Demethylation","Human Phase I","Human","NULL","NULL","AWOJHOZYTSBGDR-UHFFFAOYSA-N","InChI=1S/C17H15NO5/c1-22-15-6-9(5-14(20)17(15)23-2)16(21)12-8-18-13-7-10(19)3-4-11(12)13/h3-8,18-20H,1-2H3","PMID:17403915"
"BIOTID00376","bpr-0L075","10359957","UZJVBXKFBQNDTQ-UHFFFAOYSA-N","InChI=1S/C19H19NO5/c1-22-12-5-6-13-14(10-20-15(13)9-12)18(21)11-7-16(23-2)19(25-4)17(8-11)24-3/h5-10,20H,1-4H3","CYP2C9;CYP2C19;CYP2D6;CYP2E1;CYP3A4","O-Demethylation","Human Phase I","Human","NULL","NULL","AWOJHOZYTSBGDR-UHFFFAOYSA-N","InChI=1S/C17H15NO5/c1-22-15-6-9(5-14(20)17(15)23-2)16(21)12-8-18-13-7-10(19)3-4-11(12)13/h3-8,18-20H,1-2H3","PMID:17403915"
"BIOTID00377","bpr-0L075","10359957","UZJVBXKFBQNDTQ-UHFFFAOYSA-N","InChI=1S/C19H19NO5/c1-22-12-5-6-13-14(10-20-15(13)9-12)18(21)11-7-16(23-2)19(25-4)17(8-11)24-3/h5-10,20H,1-4H3","CYP2C9;CYP2C19;CYP2D6;CYP2E1;CYP3A4","O-Demethylation","Human Phase I","Human","NULL","11645570","ZPZUSIUTOXRAIX-UHFFFAOYSA-N","InChI=1S/C18H17NO5/c1-22-11-4-5-12-13(9-19-14(12)8-11)17(20)10-6-15(23-2)18(21)16(7-10)24-3/h4-9,19,21H,1-3H3","PMID:17403915"
"BIOTID00378","bpr-0L075","10359957","UZJVBXKFBQNDTQ-UHFFFAOYSA-N","InChI=1S/C19H19NO5/c1-22-12-5-6-13-14(10-20-15(13)9-12)18(21)11-7-16(23-2)19(25-4)17(8-11)24-3/h5-10,20H,1-4H3","CYP1A2;CYP2C9;CYP2C19;CYP2D6;CYP2E1;CYP3A4","O-Demethylation","Human Phase I","Human","NULL","10449104","FWYFKYJHENUGSZ-UHFFFAOYSA-N","InChI=1S/C18H17NO5/c1-22-15-6-10(7-16(23-2)18(15)24-3)17(21)13-9-19-14-8-11(20)4-5-12(13)14/h4-9,19-20H,1-3H3","PMID:17403915"
"BIOTID00379","(6-methoxy-1H-indol-3-yl)-(3,4,5-trimethoxyphenyl)methanone","10359957","UZJVBXKFBQNDTQ-UHFFFAOYSA-N","InChI=1S/C19H19NO5/c1-22-12-5-6-13-14(10-20-15(13)9-12)18(21)11-7-16(23-2)19(25-4)17(8-11)24-3/h5-10,20H,1-4H3","CYP1A2;CYP2C9;CYP2C19;CYP2D6;CYP2E1;CYP3A4","Aliphatic Hydroxylation","Human Phase I","Human","NULL","25211155","FEYUTHKUCJCUAD-UHFFFAOYSA-N","InChI=1S/C19H19NO6/c1-23-13-6-5-11-12(9-20-16(11)18(13)22)17(21)10-7-14(24-2)19(26-4)15(8-10)25-3/h5-9,20,22H,1-4H3","PMID:17403915"
