Name,InChIKey,InChI,PubChem_CID,SMILES,Synonym1,Synonym2
"p-Menthane-3,-8-diol",LMXFTMYMHGYJEI-IWSPIJDZSA-N,"InChI=1S/C10H20O2/c1-7-4-5-8(9(11)6-7)10(2,3)12/h7-9,11-12H,4-6H2,1-3H3/t7-,8-,9-/m1/s1",19100,C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)(C)O,,
N-demethyldiuron,IDQHRQQSSQDLTR-UHFFFAOYSA-N,"InChI=1S/C8H8Cl2N2O/c1-11-8(13)12-5-2-3-6(9)7(10)4-5/h2-4H,1H3,(H2,11,12,13)",19113,CN=C(Nc1ccc(c(c1)Cl)Cl)O,,
5-methylchrysene,GOHBXWHNJHENRX-UHFFFAOYSA-N,"InChI=1S/C19H14/c1-13-12-15-7-3-4-8-16(15)18-11-10-14-6-2-5-9-17(14)19(13)18/h2-12H,1H3",19427,Cc1cc2ccccc2c2ccc3ccccc3c12,,
3-Phenoxybenozoic acid,NXTDJHZGHOFSQG-UHFFFAOYSA-N,"InChI=1S/C13H10O3/c14-13(15)10-5-4-8-12(9-10)16-11-6-2-1-3-7-11/h1-9H,(H,14,15)",19539,c1ccc(cc1)Oc1cccc(c1)C(=O)O,,
4-Chlorophenylbiguanide,HTYFFCPFVMJTKM-UHFFFAOYSA-N,"InChI=1S/C8H10ClN5/c9-5-1-3-6(4-2-5)13-8(12)14-7(10)11/h1-4H,(H6,10,11,12,13,14)",19933,c1cc(ccc1Cl)NC(=N)NC(=N)N,,
1-iodoheptane,LMHCYRULPLGEEZ-UHFFFAOYSA-N,"InChI=1S/C7H15I/c1-2-3-4-5-6-7-8/h2-7H2,1H3",20274,CCCCCCCI,,
Cyanoethylene oxide,RSHIVZARDAPEDE-UHFFFAOYSA-N,"InChI=1S/C3H3NO/c4-1-3-2-5-3/h3H,2H2",20662,C(#N)C1CO1,,
1-Nahthalenethanol,PBLNHHSDYFYZNC-UHFFFAOYSA-N,"InChI=1S/C11H10O/c12-8-10-6-3-5-9-4-1-2-7-11(9)10/h1-7,12H,8H2",20908,c1ccc2c(c1)cccc2CO,,
"2,4-dinitrobenzylalcohol",ZKKOBDGQUYKWFN-UHFFFAOYSA-N,"InChI=1S/C7H6N2O5/c10-4-5-1-2-6(8(11)12)3-7(5)9(13)14/h1-3,10H,4H2",20974,c1cc(cc(c1CO)N(=O)=O)N(=O)=O,,
dexpropranolol (propranolol),AQHHHDLHHXJYJD-CQSZACIVSA-N,"InChI=1S/C16H21NO2/c1-12(2)17-10-14(18)11-19-16-9-5-7-13-6-3-4-8-15(13)16/h3-9,12,14,17-18H,10-11H2,1-2H3/t14-/m1/s1",21138,CC(C)NC[C@H](COc1cccc2ccccc12)O,,
hydroxy-methaqualone,HIYZKXXSRNPSQJ-UHFFFAOYSA-N,"InChI=1S/C16H14N2O2/c1-10-9-12(19)7-8-15(10)18-11(2)17-14-6-4-3-5-13(14)16(18)20/h3-9,19H,1-2H3",21143,Cc1cc(ccc1n1c(C)nc2ccccc2c1=O)O,,
flucloxacillin,UIOFUWFRIANQPC-JKIFEVAISA-N,"InChI=1S/C19H17ClFN3O5S/c1-7-10(12(23-29-7)11-8(20)5-4-6-9(11)21)15(25)22-13-16(26)24-14(18(27)28)19(2,3)30-17(13)24/h4-6,13-14,17H,1-3H3,(H,22,25)(H,27,28)/t13-,14+,17-/m1/s1",21319,Cc1c(c(c2c(cccc2F)Cl)no1)C(=N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12)O,,
carbaryl methylol,OBFZZQGUNWTREB-UHFFFAOYSA-N,"InChI=1S/C12H11NO3/c14-8-13-12(15)16-11-7-3-5-9-4-1-2-6-10(9)11/h1-7,14H,8H2,(H,13,15)",21341,c1ccc2c(c1)cccc2OC(=NCO)O,,
5-hydroxycarbaryl,AXMHCYHGQSQUDN-UHFFFAOYSA-N,"InChI=1S/C12H11NO3/c1-13-12(15)16-11-7-6-10(14)8-4-2-3-5-9(8)11/h2-7,14H,1H3,(H,13,15)",21342,CN=C(O)Oc1ccc(c2ccccc12)O,,
2-aminobenzylalcohol,VYFOAVADNIHPTR-UHFFFAOYSA-N,"InChI=1S/C7H9NO/c8-7-4-2-1-3-6(7)5-9/h1-4,9H,5,8H2",21439,c1ccc(c(c1)CO)N,,
1-nitropyrene,ALRLPDGCPYIVHP-UHFFFAOYSA-N,InChI=1S/C16H9NO2/c18-17(19)14-9-7-12-5-4-10-2-1-3-11-6-8-13(14)16(12)15(10)11/h1-9H,21694,c1cc2ccc3ccc(c4ccc(c1)c2c34)N(=O)=O,,
Chlorpyrifos-oxon,OTMOUPHCTWPNSL-UHFFFAOYSA-N,"InChI=1S/C9H11Cl3NO4P/c1-3-15-18(14,16-4-2)17-9-7(11)5-6(10)8(12)13-9/h5H,3-4H2,1-2H3",21804,CCOP(=O)(OCC)Oc1c(cc(c(Cl)n1)Cl)Cl,,
4-hydroxycarbaryl,MDIMSJGGKSUKJZ-UHFFFAOYSA-N,"InChI=1S/C12H11NO3/c1-13-12(15)16-11-7-3-4-8-9(11)5-2-6-10(8)14/h2-7,14H,1H3,(H,13,15)",21956,CN=C(O)Oc1cccc2c1cccc2O,,
terbuthylazine,FZXISNSWEXTPMF-UHFFFAOYSA-N,"InChI=1S/C9H16ClN5/c1-5-11-7-12-6(10)13-8(14-7)15-9(2,3)4/h5H2,1-4H3,(H2,11,12,13,14,15)",22206,CCN=c1nc(Cl)nc([nH]1)NC(C)(C)C,,
alphacetylmethadol,XBMIVRRWGCYBTQ-XMSQKQJNSA-N,"InChI=1S/C23H31NO2/c1-6-22(26-19(3)25)23(17-18(2)24(4)5,20-13-9-7-10-14-20)21-15-11-8-12-16-21/h7-16,18,22H,6,17H2,1-5H3/t18-,22-/m1/s1",22308,CC[C@H](C(C[C@@H](C)N(C)C)(c1ccccc1)c1ccccc1)OC(=O)C,,
"1-[Amino-(3,4-dichloroanilino)methylidene]-2-propan-2-ylguanidine",ISZNZKHCRKXXAU-UHFFFAOYSA-N,"InChI=1S/C11H15Cl2N5/c1-6(2)16-10(14)18-11(15)17-7-3-4-8(12)9(13)5-7/h3-6H,1-2H3,(H5,14,15,16,17,18)",22323,CC(C)NC(=N)NC(=N)Nc1ccc(c(c1)Cl)Cl,,
o-Methoxyphenyl sulfate,AQTYXAPIHMXAAV-UHFFFAOYSA-N,"InChI=1S/C7H8O5S/c1-11-6-4-2-3-5-7(6)12-13(8,9)10/h2-5H,1H3,(H,8,9,10)",22473,COc1ccccc1OS(=O)(=O)O,,
4-aminoveratrole,LGDHZCLREKIGKJ-UHFFFAOYSA-N,"InChI=1S/C8H11NO2/c1-10-7-4-3-6(9)5-8(7)11-2/h3-5H,9H2,1-2H3",22770,COc1ccc(cc1OC)N,,
"3,5,6-Trichloro-2-pyridinol",WCYYAQFQZQEUEN-UHFFFAOYSA-N,"InChI=1S/C5H2Cl3NO/c6-2-1-3(7)5(10)9-4(2)8/h1H,(H,9,10)",23017,c1c(c(Cl)nc(c1Cl)O)Cl,,
Fenthion oxon,ZNRZGJAHNMGWQN-UHFFFAOYSA-N,"InChI=1S/C10H15O4PS/c1-8-7-9(5-6-10(8)16-4)14-15(11,12-2)13-3/h5-7H,1-4H3",23046,Cc1cc(ccc1SC)OP(=O)(OC)OC,,
6-nitrochrysene,UAWLTQJFZUYROA-UHFFFAOYSA-N,InChI=1S/C18H11NO2/c20-19(21)18-11-17-13-6-2-1-5-12(13)9-10-15(17)14-7-3-4-8-16(14)18/h1-11H,24121,c1ccc2c(c1)ccc1c3ccccc3c(cc21)N(=O)=O,,
Monoethylglycinexylidide,WRMRXPASUROZGT-UHFFFAOYSA-N,"InChI=1S/C12H18N2O/c1-4-13-8-11(15)14-12-9(2)6-5-7-10(12)3/h5-7,13H,4,8H2,1-3H3,(H,14,15)",24415,CCNCC(=Nc1c(C)cccc1C)O,,
2-Chlorooxirane,WBNCHVFLFSFIGK-UHFFFAOYSA-N,"InChI=1S/C2H3ClO/c3-2-1-4-2/h2H,1H2",24472,C1C(Cl)O1,,
Thioridazine 5-sulfoxide,XLDFFVBQCMLXIE-UHFFFAOYSA-N,"InChI=1S/C21H26N2OS2/c1-22-13-6-5-7-16(22)12-14-23-18-8-3-4-9-20(18)26(24)21-11-10-17(25-2)15-19(21)23/h3-4,8-11,15-16H,5-7,12-14H2,1-2H3",24494,CN1CCCCC1CCN1c2ccccc2S(=O)c2ccc(cc12)SC,,
L-Rhamnose,SHZGCJCMOBCMKK-JFNONXLTSA-N,"InChI=1S/C6H12O5/c1-2-3(7)4(8)5(9)6(10)11-2/h2-10H,1H3/t2-,3-,4+,5+,6?/m0/s1",25310,C[C@H]1[C@@H]([C@H]([C@H](C(O)O1)O)O)O,,
ethylmethylnitrosamine,RTDCJKARQCRONF-UHFFFAOYSA-N,"InChI=1S/C3H8N2O/c1-3-5(2)4-6/h3H2,1-2H3",25418,CCN(C)N=O,,
MNAN,KSFCDINBDBFFSI-UHFFFAOYSA-N,"InChI=1S/C6H14N2O/c1-3-4-5-6-8(2)7-9/h3-6H2,1-2H3",25805,CCCCCN(C)N=O,,
"7,8-Dihydrobenzo[a]pyrene-7,8-diol",YDXRLMMGARHIIC-UHFFFAOYSA-N,"InChI=1S/C20H14O2/c21-17-9-8-14-15-7-6-12-3-1-2-11-4-5-13(19(15)18(11)12)10-16(14)20(17)22/h1-10,17,20-22H",25892,c1cc2ccc3cc4c(C=CC(C4O)O)c4ccc(c1)c2c34,,
Misonidazole,OBBCSXFCDPPXOL-UHFFFAOYSA-N,"InChI=1S/C7H11N3O4/c1-14-5-6(11)4-9-3-2-8-7(9)10(12)13/h2-3,6,11H,4-5H2,1H3",26105,COCC(Cn1ccnc1N(=O)=O)O,,
(3-Phenoxyphenyl)methanol,KGANAERDZBAECK-UHFFFAOYSA-N,"InChI=1S/C13H12O2/c14-10-11-5-4-8-13(9-11)15-12-6-2-1-3-7-12/h1-9,14H,10H2",26295,c1ccc(cc1)Oc1cccc(c1)CO,,
selegiline,MEZLKOACVSPNER-GFCCVEGCSA-N,"InChI=1S/C13H17N/c1-4-10-14(3)12(2)11-13-8-6-5-7-9-13/h1,5-9,12H,10-11H2,2-3H3/t12-/m1/s1",26757,C#CCN(C)[C@H](C)Cc1ccccc1,,
Vinyl carbamate,LVLANIHJQRZTPY-UHFFFAOYSA-N,"InChI=1S/C3H5NO2/c1-2-6-3(4)5/h2H,1H2,(H2,4,5)",27492,C=COC(=N)O,,
Np-nitrosonornicotine,XKABJYQDMJTNGQ-UHFFFAOYSA-N,"InChI=1S/C9H11N3O/c13-11-12-6-2-4-9(12)8-3-1-5-10-7-8/h1,3,5,7,9H,2,4,6H2",27919,c1cc(cnc1)C1CCCN1N=O,,
e-hydroxy-carbofuran,RHSUJRQZTQNSLL-UHFFFAOYSA-N,"InChI=1S/C12H15NO4/c1-12(2)10(14)7-5-4-6-8(9(7)17-12)16-11(15)13-3/h4-6,10,14H,1-3H3,(H,13,15)",27975,CC1(C)C(c2cccc(c2O1)OC(=NC)O)O,,
Ornidazole,IPWKIXLWTCNBKN-UHFFFAOYSA-N,"InChI=1S/C7H10ClN3O3/c1-5-9-3-7(11(13)14)10(5)4-6(12)2-8/h3,6,12H,2,4H2,1H3",28061,Cc1ncc(n1CC(CCl)O)N(=O)=O,,
2-Acetylaminofluorene-N-sulfate,VAQHXJKAFOKQTD-UHFFFAOYSA-N,"InChI=1S/C15H13NO5S/c1-10(17)16(21-22(18,19)20)13-6-7-15-12(9-13)8-11-4-2-3-5-14(11)15/h2-7,9H,8H2,1H3,(H,18,19,20)",28091,CC(=O)N(c1ccc2c(Cc3ccccc23)c1)OS(=O)(=O)O,,
N-Desmethyl promazine,WOCOVPRTRIBGFZ-UHFFFAOYSA-N,"InChI=1S/C16H18N2S/c1-17-11-6-12-18-13-7-2-4-9-15(13)19-16-10-5-3-8-14(16)18/h2-5,7-10,17H,6,11-12H2,1H3",28315,CNCCCN1c2ccccc2Sc2ccccc12,,
4-Propoxyphenol,KIIIPQXXLVCCQP-UHFFFAOYSA-N,"InChI=1S/C9H12O2/c1-2-7-11-9-5-3-8(10)4-6-9/h3-6,10H,2,7H2,1H3",29352,CCCOc1ccc(cc1)O,,
N-Hydroxy-phenacetin,GPMYDZBSYQUDJZ-UHFFFAOYSA-N,"InChI=1S/C10H13NO3/c1-3-14-10-6-4-9(5-7-10)11(13)8(2)12/h4-7,13H,3H2,1-2H3",29539,CCOc1ccc(cc1)N(C(=O)C)O,,
6-hydroxymethylbenzo[a]pyrene,FJQLVOHCPDYIFE-UHFFFAOYSA-N,"InChI=1S/C21H14O/c22-12-19-16-7-2-1-6-15(16)17-10-8-13-4-3-5-14-9-11-18(19)21(17)20(13)14/h1-11,22H,12H2",30544,c1ccc2c(c1)c1ccc3cccc4ccc(c2CO)c1c34,,
bromocriptine,OZVBMTJYIDMWIL-AYFBDAFISA-N,"InChI=1S/C32H40BrN5O5/c1-16(2)12-24-29(40)37-11-7-10-25(37)32(42)38(24)30(41)31(43-32,17(3)4)35-28(39)18-13-20-19-8-6-9-22-26(19)21(27(33)34-22)14-23(20)36(5)15-18/h6,8-9,13,16-18,23-25,34,42H,7,10-12,14-15H2,1-5H3,(H,35,39)/t18-,23-,24+,25+,31-,32+/m1/s1",31101,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(N1C(=O)[C@](C(C)C)(N=C([C@@H]1C=C3c4cccc5c4c(C[C@H]3N(C)C1)c(Br)[nH]5)O)O2)O,,
4-Ethylphenol,HXDOZKJGKXYMEW-UHFFFAOYSA-N,"InChI=1S/C8H10O/c1-2-7-3-5-8(9)6-4-7/h3-6,9H,2H2,1H3",31242,CCc1ccc(cc1)O,,
n-methylformamide,ATHHXGZTWNVVOU-UHFFFAOYSA-N,"InChI=1S/C2H5NO/c1-3-2-4/h2H,1H3,(H,3,4)",31254,CN=CO,,
hydralazine N-acetyl,YQUVBMKWVZWZED-UHFFFAOYSA-N,"InChI=1S/C10H10N4O/c1-7(15)12-14-10-9-5-3-2-4-8(9)6-11-13-10/h2-6H,1H3,(H,12,15)(H,13,14)",31507,CC(=NNc1c2ccccc2cnn1)O,,
silybin ,SEBFKMXJBCUCAI-ATASIELBNA-N,"InChI=1S/C25H22O10/c1-32-17-6-11(2-4-14(17)28)24-20(10-26)33-16-5-3-12(7-18(16)34-24)25-23(31)22(30)21-15(29)8-13(27)9-19(21)35-25/h2-9,20,23-29,31H,10H2,1H3/t20-,23+,24-,25-/m1/s1",31553,COc1cc(ccc1O)[C@@H]1[C@@H](CO)Oc2ccc(cc2O1)[C@@H]1[C@H](C(=O)c2c(cc(cc2O1)O)O)O,,
Butachlor,HKPHPIREJKHECO-UHFFFAOYSA-N,"InChI=1S/C17H26ClNO2/c1-4-7-11-21-13-19(16(20)12-18)17-14(5-2)9-8-10-15(17)6-3/h8-10H,4-7,11-13H2,1-3H3",31677,CCCCOCN(C(=O)CCl)c1c(CC)cccc1CC,,
normeperidine,QKHMFBKXTNQCTM-UHFFFAOYSA-N,"InChI=1S/C14H19NO2/c1-2-17-13(16)14(8-10-15-11-9-14)12-6-4-3-5-7-12/h3-7,15H,2,8-11H2,1H3",32414,CCOC(=O)C1(CCNCC1)c1ccccc1,,
Amphetamine,KWTSXDURSIMDCE-SVGMAFHSNA-N,"InChI=1S/C9H13N/c1-8(10)7-9-5-3-2-4-6-9/h2-6,8H,7,10H2,1H3/t8-/m1/s1",32893,C[C@H](Cc1ccccc1)N,,
"1-chloro-2,3-dinitrobenzene",KYDXWCHDUCDNGR-UHFFFAOYSA-N,InChI=1S/C6H3ClN2O4/c7-4-2-1-3-5(8(10)11)6(4)9(12)13/h1-3H,33096,c1cc(c(c(c1)N(=O)=O)N(=O)=O)Cl,,
timolol,BLJRIMJGRPQVNF-JTQLQIEISA-N,"InChI=1S/C13H24N4O3S/c1-13(2,3)14-8-10(18)9-20-12-11(15-21-16-12)17-4-6-19-7-5-17/h10,14,18H,4-9H2,1-3H3/t10-/m0/s1",33624,CC(C)(C)NC[C@@H](COc1c(nsn1)N1CCOCC1)O,,
1-iodopropane,PVWOIHVRPOBWPI-UHFFFAOYSA-N,"InChI=1S/C3H7I/c1-2-3-4/h2-3H2,1H3",33643,CCCI,,
tramadol,TVYLLZQTGLZFBW-ZBFHGGJFSA-N,"InChI=1S/C16H25NO2/c1-17(2)12-14-7-4-5-10-16(14,18)13-8-6-9-15(11-13)19-3/h6,8-9,11,14,18H,4-5,7,10,12H2,1-3H3/t14-,16+/m1/s1",33741,CN(C)C[C@H]1CCCC[C@@]1(c1cccc(c1)OC)O,,
monodeethylmetoclopramide,RTQMQUZXBADBGJ-UHFFFAOYSA-N,"InChI=1S/C12H18ClN3O2/c1-3-15-4-5-16-12(17)8-6-9(13)10(14)7-11(8)18-2/h6-7,15H,3-5,14H2,1-2H3,(H,16,17)",33761,CCNCCN=C(c1cc(c(cc1OC)N)Cl)O,,
7-ethoxycoumarin,LIFAQMGORKPVDH-UHFFFAOYSA-N,"InChI=1S/C11H10O3/c1-2-13-9-5-3-8-4-6-11(12)14-10(8)7-9/h3-7H,2H2,1H3",35703,CCOc1ccc2ccc(=O)oc2c1,,
"N,N-Didesmethyldiphenhydramine",NFJFUDGBWGXTHS-UHFFFAOYSA-N,"InChI=1S/C15H17NO/c16-11-12-17-15(13-7-3-1-4-8-13)14-9-5-2-6-10-14/h1-10,15H,11-12,16H2",36060,c1ccc(cc1)C(c1ccccc1)OCCN,,
2-Ethylacetanilide,ZXOVAGUQXNXKHF-UHFFFAOYSA-N,"InChI=1S/C10H13NO/c1-3-9-6-4-5-7-10(9)11-8(2)12/h4-7H,3H2,1-2H3,(H,11,12)",36332,CCc1ccccc1N=C(C)O,,
Methamphetamine,MYWUZJCMWCOHBA-SECBINFHSA-N,"InChI=1S/C10H15N/c1-9(11-2)8-10-6-4-3-5-7-10/h3-7,9,11H,8H2,1-2H3/t9-/m1/s1",36604,C[C@H](Cc1ccccc1)NC,,
2_2_4_4_5_5-hexachlorobiphenyl,MVWHGTYKUMDIHL-UHFFFAOYSA-N,InChI=1S/C12H4Cl6/c13-7-3-11(17)9(15)1-5(7)6-2-10(16)12(18)4-8(6)14/h1-4H,37034,c1c(c2cc(c(cc2Cl)Cl)Cl)c(cc(c1Cl)Cl)Cl,,
"Benzo[a]pyrene-7,8-epoxide",OLLMQFHYRYHKTD-UHFFFAOYSA-N,"InChI=1S/C20H12O/c1-2-11-4-5-13-10-16-14(8-9-17-20(16)21-17)15-7-6-12(3-1)18(11)19(13)15/h1-10,17,20H",37455,c1cc2ccc3cc4c(C=CC5C4O5)c4ccc(c1)c2c34,"B[a]P 7,8-epoxide",
9-Hydroxybenzo[a]pyrene,GOEJUYABKOTLJA-UHFFFAOYSA-N,"InChI=1S/C20H12O/c1-2-11-4-5-13-10-14-7-9-16-20(21-16)19(14)15-8-6-12(3-1)17(11)18(13)15/h1-10,16,20H",37456,c1cc2ccc3cc4C=CC5C(c4c4ccc(c1)c2c34)O5,,
adinazolam,GJSLOMWRLALDCT-UHFFFAOYSA-N,"InChI=1S/C19H18ClN5/c1-24(2)12-18-23-22-17-11-21-19(13-6-4-3-5-7-13)15-10-14(20)8-9-16(15)25(17)18/h3-10H,11-12H2,1-2H3",37632,CN(C)Cc1nnc2CN=C(c3ccccc3)c3cc(ccc3n12)Cl,,
"Benzo[a]pyrene-4,5-epoxide",XGZQLNASOQVQTD-UHFFFAOYSA-N,"InChI=1S/C20H12O/c1-2-6-13-12(4-1)10-16-18-14(13)9-8-11-5-3-7-15(17(11)18)19-20(16)21-19/h1-10,19-20H",37786,c1ccc2c(c1)cc1c3c2ccc2cccc(c32)C2C1O2,,
"2,2',4,5,5'-pentachlorobiphenyl",LAHWLEDBADHJGA-UHFFFAOYSA-N,InChI=1S/C12H5Cl5/c13-6-1-2-9(14)7(3-6)8-4-11(16)12(17)5-10(8)15/h1-5H,37807,c1cc(c(cc1Cl)c1cc(c(cc1Cl)Cl)Cl)Cl,,
CPHP,LZAYOZUFUAMFLD-UHFFFAOYSA-N,"InChI=1S/C11H14ClNO/c12-10-3-1-9(2-4-10)11(14)5-7-13-8-6-11/h1-4,13-14H,5-8H2",38282,c1cc(ccc1C1(CCNCC1)O)Cl,,
ticrynafen,AGHANLSBXUWXTB-UHFFFAOYSA-N,"InChI=1S/C13H8Cl2O4S/c14-11-7(13(18)9-2-1-5-20-9)3-4-8(12(11)15)19-6-10(16)17/h1-5H,6H2,(H,16,17)",38409,c1cc(C(=O)c2ccc(c(c2Cl)Cl)OCC(=O)O)sc1,,
"1,8-dinitropyrene",BLYXNIHKOMELAP-UHFFFAOYSA-N,InChI=1S/C16H8N2O4/c19-17(20)13-7-3-9-1-2-10-4-8-14(18(21)22)12-6-5-11(13)15(9)16(10)12/h1-8H,39185,c1cc2ccc(c3ccc4c(ccc1c4c23)N(=O)=O)N(=O)=O,,
diltiazem,HSUGRBWQSSZJOP-RTWAWAEBSA-N,"InChI=1S/C22H26N2O4S/c1-15(25)28-20-21(16-9-11-17(27-4)12-10-16)29-19-8-6-5-7-18(19)24(22(20)26)14-13-23(2)3/h5-12,20-21H,13-14H2,1-4H3/t20-,21+/m1/s1",39186,CC(=O)O[C@@H]1[C@H](c2ccc(cc2)OC)Sc2ccccc2N(CCN(C)C)C1=O,,
1-methyl-4-phenylpyridin-1-ium,FMGYKKMPNATWHP-UHFFFAOYSA-N,"InChI=1S/C12H12N/c1-13-9-7-12(8-10-13)11-5-3-2-4-6-11/h2-10H,1H3/q+1",39484,C[n+]1ccc(cc1)c1ccccc1,,
Lonidamine,WDRYRZXSPDWGEB-UHFFFAOYSA-N,"InChI=1S/C15H10Cl2N2O2/c16-10-6-5-9(12(17)7-10)8-19-13-4-2-1-3-11(13)14(18-19)15(20)21/h1-7H,8H2,(H,20,21)",39562,c1ccc2c(c1)c(C(=O)O)nn2Cc1ccc(cc1Cl)Cl,,
N-Acetyl-p-benzoquinone,URNSECGXFRDEDC-UHFFFAOYSA-N,"InChI=1S/C8H7NO2/c1-6(10)9-7-2-4-8(11)5-3-7/h2-5H,1H3",39763,CC(=O)N=C1C=CC(=O)C=C1,,
(S)-(+)-ibuprofen,HEFNNWSXXWATRW-JTQLQIEISA-N,"InChI=1S/C13H18O2/c1-9(2)8-11-4-6-12(7-5-11)10(3)13(14)15/h4-7,9-10H,8H2,1-3H3,(H,14,15)/t10-/m0/s1",39912,CC(C)Cc1ccc(cc1)[C@H](C)C(=O)O,,
Deltamethrin,OWZREIFADZCYQD-NSHGMRRFSA-N,"InChI=1S/C22H19Br2NO3/c1-22(2)17(12-19(23)24)20(22)21(26)28-18(13-25)14-7-6-10-16(11-14)27-15-8-4-3-5-9-15/h3-12,17-18,20H,1-2H3/t17-,18+,20-/m0/s1",40585,CC1(C)[C@@H](C=C(Br)Br)[C@H]1C(=O)O[C@H](C#N)c1cccc(c1)Oc1ccccc1,,
etoperidone,IZBNNCFOBMGTQX-UHFFFAOYSA-N,"InChI=1S/C19H28ClN5O/c1-3-18-21-25(19(26)24(18)4-2)10-6-9-22-11-13-23(14-12-22)17-8-5-7-16(20)15-17/h5,7-8,15H,3-4,6,9-14H2,1-2H3",40589,CCc1nn(CCCN2CCN(CC2)c2cccc(c2)Cl)c(=O)n1CC,,
N-Desmethyldiphenhydramine,AGSLYHYWLYGAOU-UHFFFAOYSA-N,"InChI=1S/C16H19NO/c1-17-12-13-18-16(14-8-4-2-5-9-14)15-10-6-3-7-11-15/h2-11,16-17H,12-13H2,1H3",40791,CNCCOC(c1ccccc1)c1ccccc1,,
desogestrel,RPLCPCMSCLEKRS-BPIQYHPVSA-N,"InChI=1S/C22H30O/c1-4-21-14-15(3)20-17-9-7-6-8-16(17)10-11-18(20)19(21)12-13-22(21,23)5-2/h2,8,17-20,23H,3-4,6-7,9-14H2,1H3/t17-,18-,19-,20+,21-,22-/m0/s1",40973,CC[C@]12CC(=C)[C@@H]3[C@H]4CCCC=C4CC[C@H]3[C@@H]1CC[C@]2(C#C)O,,
Benzo(a)pyrene diol epoxide,DQEPMTIXHXSFOR-UHFFFAOYSA-N,"InChI=1S/C20H14O3/c21-17-13-8-11-5-4-9-2-1-3-10-6-7-12(15(11)14(9)10)16(13)19-20(23-19)18(17)22/h1-8,17-22H",41322,c1cc2ccc3cc4c(c5ccc(c1)c2c35)C1C(C(C4O)O)O1,,
Carbosulfan,JLQUFIHWVLZVTJ-UHFFFAOYSA-N,"InChI=1S/C20H32N2O3S/c1-6-8-13-22(14-9-7-2)26-21(5)19(23)24-17-12-10-11-16-15-20(3,4)25-18(16)17/h10-12H,6-9,13-15H2,1-5H3",41384,CCCCN(CCCC)SN(C)C(=O)Oc1cccc2CC(C)(C)Oc12,,
torasemide,NGBFQHCMQULJNZ-UHFFFAOYSA-N,"InChI=1S/C16H20N4O3S/c1-11(2)18-16(21)20-24(22,23)15-10-17-8-7-14(15)19-13-6-4-5-12(3)9-13/h4-11H,1-3H3,(H,17,19)(H2,18,20,21)",41781,CC(C)N=C(NS(=O)(=O)c1c[nH]ccc1=Nc1cccc(C)c1)O,,
"benzo[a]pyrene-7,8-diol",FWKXMJCJEOUXDE-UHFFFAOYSA-N,"InChI=1S/C20H12O2/c21-17-9-8-14-15-7-6-12-3-1-2-11-4-5-13(19(15)18(11)12)10-16(14)20(17)22/h1-10,21-22H",42267,c1cc2ccc3cc4c(ccc(c4O)O)c4ccc(c1)c2c34,"benzo(a)pyrene-7,8-diol",
Metalaxyl,ZQEIXNIJLIKNTD-UHFFFAOYSA-N,"InChI=1S/C15H21NO4/c1-10-7-6-8-11(2)14(10)16(13(17)9-19-4)12(3)15(18)20-5/h6-8,12H,9H2,1-5H3",42586,Cc1cccc(C)c1N(C(C)C(=O)OC)C(=O)COC,,
Paroxetine,AHOUBRCZNHFOSL-YOEHRIQHSA-N,"InChI=1S/C19H20FNO3/c20-15-3-1-13(2-4-15)17-7-8-21-10-14(17)11-22-16-5-6-18-19(9-16)24-12-23-18/h1-6,9,14,17,21H,7-8,10-12H2/t14-,17-/m0/s1",43815,c1cc(ccc1[C@@H]1CCNC[C@H]1COc1ccc2c(c1)OCO2)F,,
trans-Permethrin,RLLPVAHGXHCWKJ-MJGOQNOKSA-N,"InChI=1S/C21H20Cl2O3/c1-21(2)17(12-18(22)23)19(21)20(24)25-13-14-7-6-10-16(11-14)26-15-8-4-3-5-9-15/h3-12,17,19H,13H2,1-2H3/t17-,19+/m1/s1",43859,CC1(C)[C@H](C=C(Cl)Cl)[C@H]1C(=O)OCc1cccc(c1)Oc1ccccc1,,
brofaromine,WZXHSWVDAYOFPE-UHFFFAOYSA-N,"InChI=1S/C14H16BrNO2/c1-17-11-6-10-7-13(9-2-4-16-5-3-9)18-14(10)12(15)8-11/h6-9,16H,2-5H2,1H3",44571,COc1cc2cc(C3CCNCC3)oc2c(c1)Br,,
NNK,FLAQQSHRLBFIEZ-UHFFFAOYSA-N,"InChI=1S/C10H13N3O2/c1-13(12-15)7-3-5-10(14)9-4-2-6-11-8-9/h2,4,6,8H,3,5,7H2,1H3",47289,CN(CCCC(=O)c1cccnc1)N=O,,
"BENZ(a)ANTHRACEN-2-OL, 7,12-DIMETHYL-",SOUMNXRWBUATRC-UHFFFAOYSA-N,"InChI=1S/C20H16O/c1-12-16-5-3-4-6-17(16)13(2)20-18(12)10-8-14-7-9-15(21)11-19(14)20/h3-11,21H,1-2H3",47885,Cc1c2ccccc2c(C)c2c1ccc1ccc(cc21)O,,
