Predecessor_CID,Predecessor_Name,Successor_CID,Successor_Name,Transformation,Biosystem,Enzyme,Source_ID,Source,Source_Description,Dataset_DOI,Dataset_Description,Evidence_ID,Evidence_Description
5280343,Quercetin,13258914,Mikwelianin,O-glucuronidation / Human Phase II,Human,UGT1A9,BIOTID02087,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,Wu et al. 2011; Accurate Prediction of Glucuronidation of Structurally Diverse Phenolics by Human UGT1A9 Using Combined Experimental and In Silico Approaches; Pharm Res (2012) 29:1544-1561; DOI 10.1007/s11095-012-0666-z
4192,midazolam,154699994,Midazolam N-glucuronide,N-glucuronidation of azole / Human Phase II,Human,UGT1A4,BIOTID01687,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,"Kaivosaari, S. et al. (2011); N-glucuronidation of drugs and other xenobiotics by human and animal UDP-glucuronosyltransferases.; Xenobiotica. 2011 Aug;41(8):652-69. DOI:10.3109/00498254.2011.563327"
4184,Mianserine,3085244,Mianserin N-oxide,N-oxidation of alicyclic tertiary amine / Human Phase I,Human,CYP3A4 (R>S); CYP1A2 (S>R),BIOTID01413,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,"Brown, C.M. et al. (2008); Cytochromes P450: A Structure-Based Summary of Biotransformations Using Representative Substrates; Drug Metabolism Reviews, 40:1, 1-100, DOI:10.1080/03602530701836662; PMID:18259985"
135413497,bropirimine,135435127,m-hydroxybropirimine,m-Hydroxylation of monosubstituted benzene / Human Phase I,Human,CYP1A2,BIOTID00315,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,"Wynalda, M.A. et al. (1998); Human biotransformation of bropirimine. Characterization of the major bropirimine oxidative metabolites formed in vitro; Drug Metab Dispos; 26(10):1048-51; PMID:9763414"
3475,Gliclazide,192219,Methylhydroxygliclazide,Aliphatic hydroxylation of methyl carbon adjacent to aromatic ring / Human Phase I,Human,CYP2C9; CYP2C19,BIOTID01394,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,"Zhou, S.F. et al. (2009); Substrates, Inducers, Inhibitors and Structure-Activity Relationships of Human Cytochrome P450 2C9 and Implications in Drug Development; Current Medicinal Chemistry, 2009, 16, 3480-3676"
6328,1-iodomethane,115260,methylglutathione,GSH-conjugation of organohalide / Human Phase II,Human,GST,BIOTID02004,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,http://www.brenda-enzymes.org/enzyme.php?ecno=2.5.1.18&Suchword=&reference=&UniProtAcc=&organism%5B%5D=Homo+sapiens&show_tm=0
123606,almotriptan,71315712,methyl(2-{5-[(pyrrolidine-1-sulfonyl)methyl]-1H-indol-3-yl}ethyl)amine,N-dealkylation of acyclic tertiary amine / Human Phase I,Human,CYP1A2; CYP2C8; CYP2E1; CYP2D6; CYP3A4,BIOTID00239,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,"Wang, B. and Zhou, S.F. (2009); Synthetic and Natural Compounds that Interact with Human Cytochrome P450 1A2 and Implications in Drug Development; Current Medicinal Chemistry; Vol. 16, No. 31; PMID:19754423"
42586,Metalaxyl,20055269,Methyl N-(2-(hydroxymethyl)-6-methylphenyl)-N-(methoxyacetyl)-DL-alanine,Aliphatic Hydroxylation / Human Phase I,Human,CYP3A4,BIOTID01173,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,PMID:21783735
31254,n-methylformamide,12228,Methyl Isocyanate,Oxidation of alkyl formamide / Human Phase I,Human,CYP2E1,BIOTID00732,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,"J. Bolleddula et al.; Drug Metab Rev, 2014; 46(3): 379-419"
21603871,zinc1698316,18412844,"Methyl 7,18-dihydroxy-1,3,11,12,14,15,16,17,18,19,20,21-dodecahydroyohimban-19-carboxylate",Aromatic Hydroxylation / Human Phase I,Human,CYP2D6;CYP3A4,BIOTID01215,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,PMID:15289791
76957258,unii-vg463bm9rl component dtjqbbhyrqydeg-rlhiphhxsa-n,20642901,"Methyl 17-(2-hydroxyethyl)-3,13-diazapentacyclo[13.3.1.02,10.04,9.013,18]nonadeca-2(10),4,6,8-tetraene-1-carboxylate",O-demethylation / Human Phase I,Human,CYP2C9;CYP2C19;CYP2D6;CYP3A4,BIOTID01071,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,PMID:12019193
26757,selegiline,36604,Methamphetamine,N-depropargylation of secondary or tertiary amine / Human Phase I,Human,CYP2B6; CYP2C19; CYP2D6; CYP1A2; CYP2C9; CYP3A4,BIOTID00938,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,"Brown, C.M. et al. (2008); Cytochromes P450: A Structure-Based Summary of Biotransformations Using Representative Substrates; Drug Metabolism Reviews, 40:1, 1-100, DOI:10.1080/03602530701836662; PMID:18259985"
42586,Metalaxyl,13073467,Metalaxyl acid,O-Demethylation / Human Phase I,Human,CYP2B6;CYP3A4,BIOTID01171,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,PMID:21783735
4075,mesalazine,65512,"mesalazine, N-acetyl",N-acetylation of arylamine / Human Phase II,Human,NAT,BIOTID01654,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,"Taggart, A.J. et al. (1992); The Effect of Age and Acetylator Phenotype on the Pharmacokinetics of Sulfasalazine in Patients with Rheumatoid Arthritis; Clinical Pharmacokinetics; October 1992, Volume 23, Issue 4, pp 311-320"
119467,s-methyl diethylthiocarbamate,3035711,MeDTC sulfoxide,S-oxidation of thiocarbamate / Human Phase I,Human,CYP3A4; CYP2A6; CYP2C9; CYP1A2; CYP2B6; CYP2E1; CYP2D6,BIOTID00897,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,"Wang and Zhou; Synthetic and Natural Compounds that Interact with Human Cytochrome P450 1A2 and Implications in Drug Development; Current Medicinal Chemistry, 2009 Vol. 16, No. 31; PMID:19754426"
6279,Medroxyprogesterone Acetate,154699547,Medroxyprogesterone Acetate,Aliphatic Hydroxylation / Human Phase I,Human,CYP3A4;,BIOTID01501,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,PMID:18725509
12704,"Methyl N,N-diethyldithiocarbamate",9989831,MeDDC sulfine ,S-oxidation of dithiocarbamate / Human Phase I,Human,CYP1A2; CYP2A6; CYP2B6; CYP2E1; CYP3A4; CYP3A5,BIOTID01116,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,"Wang, B. and Zhou, S.F. (2009); Synthetic and Natural Compounds that Interact with Human Cytochrome P450 1A2 and Implications in Drug Development; Current Medicinal Chemistry; Vol. 16, No. 31; PMID:19754423"
9796365,"1-Methyl-10-alpha-methoxy-9,10-dihydrolysergol",597497,MDL,N-Demethylation / Human Phase I,Human,CYP2D6,BIOTID00017,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,PMID:8971425
12358970,Malathion,15415,Maloxon,Desulfuration of organophosphorodithioate / Human Phase I,Human,CYP1A2; CYP2B6; CYP2C19; CYP3A4,BIOTID01410,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,"Buratti, F.M. et al. (2005). Malathion bioactivation in the human liver liver: The contribution of different cytochrome P450 isoform. Drug Metab. Dispos., Vol. 33, No. 3, (295-302)."
2520,Verapamil,625729,M9 (D-703),O-aryl dealkylation adjacent to substituted carbon / Human Phase I,Human,CYP2C8,BIOTID01168,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,"Brown, C.M. et al. (2008); Cytochromes P450: A Structure-Based Summary of Biotransformations Using Representative Substrates; Drug Metabolism Reviews, 40:1, 1-100, DOI:10.1080/03602530701836662; PMID:18259985|Tracy, T.S. et al. (1999); Cytochrome P450 isoforms involved in metabolism of the enantiomers of verapamil and norverapamil; Br J Clin Pharmacol. 1999 May; 47(5): 545-552; DOI:10.1046/j.1365-2125.1999.00923.x|Wang and Zhou; Current Medicinal Chemistry, 2009 Vol. 16, No. 31; PMID:19754423"
3749,irbesartan,101944494,M7,Hydroxylation of alicyclic secondary carbon / Human Phase I,Human,CYP2C9,BIOTID00629,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,"Zhou, S.F. et al. (2009); Substrates, Inducers, Inhibitors and Structure-Activity Relationships of Human Cytochrome P450 2C9 and Implications in Drug Development; Current Medicinal Chemistry, 2009, 16, 3480-3675"
154699840,N-[4-[2-[[(2R)-2-hydroxy-2-pyridin-3-ylethyl]amino]ethyl]phenyl]-4-[5-[4-(trifluoromethyl)phenyl]-3H-pyrrol-2-yl]benzenesulfonamide,154699471,M4,N-Dealkylation / Human Phase I,Human,CYP3A4,BIOTID00438,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,PMID:12065436
9925883,YM-64227,154699790,"M-3 (1,3-trans)",Hydroxylation of alicyclic secondary carbon / Human Phase I,Human,CYP1A2,BIOTID01492,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,"Brown, C.M. et al. (2008); Cytochromes P450: A Structure-Based Summary of Biotransformations Using Representative Substrates; Drug Metabolism Reviews, 40:1, 1-100, DOI:10.1080/03602530701836662; PMID:18259985"
6279,Medroxyprogesterone Acetate,131699380,M-3,Aliphatic Hydroxylation / Human Phase I,Human,CYP3A4;,BIOTID01503,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,PMID:18725509
9823886,CP-195543,154699637,M3,Aromatic Hydroxylation / Human Phase I,Human,CYP3A4 ,BIOTID01075,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,PMID:14742142
3749,irbesartan,11676932,M3,C-Oxidation / Human Phase I,Human,CYP2C9,BIOTID00630,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,"Zhou, S.F. et al. (2009); Substrates, Inducers, Inhibitors and Structure-Activity Relationships of Human Cytochrome P450 2C9 and Implications in Drug Development; Current Medicinal Chemistry, 2009, 16, 3480-3675|PMID:9571222"
87173364,schembl896413,154700088,M28,O-Demethylation / Human Phase I,Human,CYP2C9;CYP2C19,BIOTID00930,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,PMID:15319345
87173364,schembl896413,154700113,M24,Aliphatic Hydroxylation / Human Phase I,Human,CYP3A4,BIOTID00931,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,PMID:15319345
9925883,YM-64227,154699791,"M-2 (1,3-cis)",Hydroxylation of alicyclic secondary carbon / Human Phase I,Human,CYP1A2,BIOTID01491,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,"Brown, C.M. et al. (2008); Cytochromes P450: A Structure-Based Summary of Biotransformations Using Representative Substrates; Drug Metabolism Reviews, 40:1, 1-100, DOI:10.1080/03602530701836662; PMID:18259985"
6279,Medroxyprogesterone Acetate,71749110,M-2,Aliphatic Hydroxylation / Human Phase I,Human,CYP3A4;,BIOTID01502,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,PMID:18725509
154699840,N-[4-[2-[[(2R)-2-hydroxy-2-pyridin-3-ylethyl]amino]ethyl]phenyl]-4-[5-[4-(trifluoromethyl)phenyl]-3H-pyrrol-2-yl]benzenesulfonamide,154700114,M2,N-Oxidation / Human Phase I,Human,CYP3A4,BIOTID00437,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,PMID:12065436
9823886,CP-195543,154699593,M1 and M2,Aliphatic Hydroxylation / Human Phase I,Human,CYP3A4 ,BIOTID01074,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,PMID:14742142
154699547,Medroxyprogesterone Acetate,154699862,M-1,Aliphatic Hydroxylation / Human Phase I,Human,CYP3A4;,BIOTID01504,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,PMID:18725509
101944494,M7,101944491,M1,Hydroxylation of alicyclic secondary carbon / Human Phase I,Human,CYP2C9,BIOTID01409,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,"Zhou, S.F. et al. (2009); Substrates, Inducers, Inhibitors and Structure-Activity Relationships of Human Cytochrome P450 2C9 and Implications in Drug Development; Current Medicinal Chemistry, 2009, 16, 3480-3675"
5280445,Luteolin,5488307,Luteolin-7-glucuronide,O-glucuronidation / Human Phase II,Human,UGT1A9,BIOTID02106,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,Wu et al. 2011; Accurate Prediction of Glucuronidation of Structurally Diverse Phenolics by Human UGT1A9 Using Combined Experimental and In Silico Approaches; Pharm Res (2012) 29:1544-1561; DOI 10.1007/s11095-012-0666-z
151166,Lumiracoxib,154699610,Lumiracoxib O-glucuronide,O-glucuronidation of aliphatic acid / Human Phase II,Human,UGT,BIOTID01671,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,"Zhou, S.F. et al. (2009); Substrates, Inducers, Inhibitors and Structure-Activity Relationships of Human Cytochrome P450 2C9 and Implications in Drug Development; Current Medicinal Chemistry, 2009, 16, 3480-3675."
151166,Lumiracoxib,154585067,Lumiracoxib metabolite 1,Aliphatic hydroxylation of methyl carbon adjacent to aromatic ring / Human Phase I,Human,CYP2C9; CYP2C19,BIOTID01407,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,"Zhou, S.F. et al. (2009); Substrates, Inducers, Inhibitors and Structure-Activity Relationships of Human Cytochrome P450 2C9 and Implications in Drug Development; Current Medicinal Chemistry, 2009, 16, 3480-3682"
9904747,4p-Carboxylumiracoxib,154699950,Lumiracoxib M22,O-glucuronidation / Human Phase II,Human,UGT,BIOTID01867,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,https://www.drugbank.ca/metabolites/DBMET01281
9904747,4p-Carboxylumiracoxib,154699950,Lumiracoxib M22,O-glucuronidation / Human Phase II,Human,UGT,BIOTID01967,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,"Zhou, S.F. et al. (2009); Substrates, Inducers, Inhibitors and Structure-Activity Relationships of Human Cytochrome P450 2C9 and Implications in Drug Development; Current Medicinal Chemistry, 2009, 16, 3480-3675."
9576167,L-trofosfamide,3690,Ifosfamide,N-dechloroethylation / Human Phase I,Human,CYP3A4; CYP2B6,BIOTID00655,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,"Zhang, J. et al. (2005); Metabolism and transport of oxazaphosphorines and the clinical implications; Drug Metab Rev. 2005;37(4):611-703; PMID:16393888; DOI:10.1080/03602530500364023|May-Manke, A. et al. (1999); Investigation of the major human hepatic cytochrome P450 involved in 4-hydroxylation and N -dechloroethylation of trofosfamide; Cancer Chemother Pharmacol. 1999;44(4):327-34; PMID:10447581; DOI:10.1007/s002800050985"
5280459,Quercitrin,25310,L-Rhamnose,Glycoside hydrolysis / Human Gut Microbial,Gut microbial environment,EC 3.2.1.X,BIOTID02156,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,"Duda-Chodak, A. et al. (2015); Interaction of dietary compounds, especially polyphenols, with the intestinal microbiota: a review; Eur J Nutr (2015) 54:325-341; DOI 10.1007/s00394-015-0852-y"
3964,Loxepine,154699771,Loxepine N-glucuronide,N-glucuronidation of tertiary aliphatic amine / Human Phase II,Human,UGT1A3,BIOTID01698,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,Green MD et al. (1998); Glucuronidation of amines and other xenobiotics catalyzed by expressed human UDP-glucuronosyltransferase 1A3; Drug Metab Dispos.;26(6):507-12; PMID:9616184
9802264,losartan carboxaldehyde,108185,Losartan carboxylic acid,Aliphatic Hydroxylation / Human Phase I,Human,CYP3A4,BIOTID00683,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,PMID:7736913
3961,losartan,108185,Losartan carboxylic acid,Oxidation of prim alcohol to carboxylic acid / Human Phase I,Human,CYP2C9; CYP3A4; CYP3A5,BIOTID00681,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,"Brown, C.M. et al. (2008); Cytochromes P450: A Structure-Based Summary of Biotransformations Using Representative Substrates; Drug Metabolism Reviews, 40:1, 1-100, DOI:10.1080/03602530701836662; PMID:18259985|Ekins, S. and Wrighton, S.A. (1999); The role of CYP2B6 in Human Xenobiotic Metabolism; Drug Metabolism Reviews, 31:3, 719-754, DOI:10.1081/ DMR-100101942; PMID:10461547|Zhou, S-F.; (2016); Cytochrome P450 2D6: Structure, Function, Regulation and Polymorphism; Edited by CRC Press; ISBN 9781466597884 - CAT# KE23693|Rendic,S. (2002) Summary of information on human CYP enzymes: human P450 metabolism data, Drug Metabolism Reviews, 34:1-2, 83-448, DOI:10.1081/ DMR-120001392; PMID:11996015"
3958,Lorazepam,62966,Lorazepam glucuronide,O-glucuronidation / Human Phase II,Human,UGT,BIOTID01947,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,http://www.hmdb.ca/metabolites/HMDB0041917
501254,lisofylline,154700141,"lisofylline 4,5-diol",Hydroxylation of acyclic aliphatic secondary carbon / Human Phase I,Human,CYP3A4; CYP2A6,BIOTID00676,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,"Shin, H.S. et al. (1998); CYP3A4-mediated Oxidation of Lisofylline to Lisofylline 4,5-diol in Human Liver Microsomes, Journal of Pharmaceutical Sciences, 1998, 87, 390-393"
5365682,linoleyl alcohol,101105916,linoleyl O-glucuronide,Alkyl-OH glucuronidation / Human Phase II,Human,UGT,BIOTID01621,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,"Jude, R.A. et al. (2001); Glucuronidation of Linoleic Acid Diols by Human Microsomal and Recombinant UDP-Glucuronosyltransferases: Identification of UGT2B7 as the Major Isoform Involved; Archives of Biochemistry and Biophysics; Vol. 389, No. 2, May 15, pp. 176-186, 2001; doi:10.1006/abbi.2001.2344"
440917,(+)-limonene,10819,Limonen-10-ol,Hydroxlation of methyl carbon adjacent to an aliphatic ring / Human Phase I,Human,CYP2C9; CYP2C19; CYP3A4,BIOTID01461,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,"Jaeger, W. and Haeferl, M.; Metabolism of Terpenoids in Animal Models and Humans (Chapter 9) in Handbook of Essential Oils - Science, Technology, and Applications, Second Edition; Edited by K. Husnu Can Baser and Gerhard Buchbauer; CRC Press 2015; pp. 253-279."
9576167,L-trofosfamide,154699918,l-ifosfamide,4-alkyl hydroxylation of oxoazaphosphorine / Human Phase I,Human,CYP3A4; CYP2B6; CYP2A6; CYP2C9,BIOTID00654,MetXBioDB,MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/),10.5281/zenodo.4056560,S73 | METXBIODB | Metabolite Reaction Database from BioTransformer,10.1186/s13321-018-0324-5,"Zhang, J. et al. (2005); Metabolism and transport of oxazaphosphorines and the clinical implications; Drug Metab Rev. 2005;37(4):611-703; PMID:16393888; DOI:10.1080/03602530500364023"
