id,logFC,type,logic,pathway
SLC35A2,0.0465132,mRNA,,
TLE3,0.350172,mRNA,,
SERTAD4,-0.977873,mRNA,,
STOX2,-1.36788,mRNA,,
NFS1,-0.338028,mRNA,,
RECK,-0.676564,mRNA,,
PELI2,-1.09613,mRNA,,
CSNK1G1,-0.576367,mRNA,,
HIPK2,0.180357,mRNA,,
PHACTR4,-0.430263,mRNA,,
DOCK5,-0.782684,mRNA,,
FBXL18,-0.574156,mRNA,,
ZNF772,-0.226084,mRNA,,
COG5,-0.536622,mRNA,,
KIF3B,-0.37483,mRNA,,
SART1,0.209835,mRNA,,
SS18,0.0308079,mRNA,,
DCAF7,0.0386887,mRNA,,
CAPRIN1,0.0711507,mRNA,,
POLE,0.247666,mRNA,,
RNPS1,0.168665,mRNA,,
QKI,-0.372358,mRNA,,
CPSF6,-0.0515579,mRNA,,
FICD,-0.6091,mRNA,,
VCP,0.114445,mRNA,,
LRP10,0.153777,mRNA,,
ZNF770,0.224861,mRNA,,
MGMT,0.0802124,mRNA,,
PBX2,-0.0420094,mRNA,,
RBMS2,0.415856,mRNA,,
SORT1,-0.0802319,mRNA,,
SDHA,-0.199208,mRNA,,
ZW10,-0.092342,mRNA,,
PIWIL1,2.28584,mRNA,,
BBC3,2.16725,mRNA,,
TOM1,-0.0200242,mRNA,,
FYTTD1,0.138613,mRNA,,
CBX2,1.42342,mRNA,,
C18orf25,-0.180882,mRNA,,
CDKL5,-0.917123,mRNA,,
UBIAD1,-0.241037,mRNA,,
TIMM50,0.220265,mRNA,,
RNF215,0.153189,mRNA,,
TP53BP2,-0.0965994,mRNA,,
POLL,-0.0305134,mRNA,,
ADD1,0.0862244,mRNA,,
SPIN3,-0.316145,mRNA,,
PPARA,-0.440728,mRNA,,
UFM1,-0.17287,mRNA,,
EGFR,0.0236313,mRNA,,path:hsa04010
NPTX1,-0.64976,mRNA,,
STX7,-0.342522,mRNA,,
CLEC4E,-1.20925,mRNA,,
UBXN2B,-0.222747,mRNA,,
NLGN1,-2.53391,mRNA,,
CBX3,0.409023,mRNA,,
FRS2,-0.444727,mRNA,,
SLC38A1,-0.899705,mRNA,,
INHBA,0.27444,mRNA,,
DCK,0.0163718,mRNA,,
OTUD4,-0.256216,mRNA,,
PHLDA1,-0.29603,mRNA,,
BAHD1,0.282241,mRNA,,
NPM1,0.208247,mRNA,,
RPL7L1,-0.330639,mRNA,,
SLC1A2,-1.52721,mRNA,,
SRC,0.616808,mRNA,,
MYO1D,0.43027,mRNA,,
ZNF331,-0.671534,mRNA,,
RPS4Y1,-0.0407706,mRNA,,
SATB2,0.441027,mRNA,,
SPRED1,0.307802,mRNA,,
IL5RA,-0.981092,mRNA,,
NF2,0.142953,mRNA,,
RAB27A,1.46114,mRNA,,
CXCL12,-1.40605,mRNA,,
NDFIP2,0.210384,mRNA,,
SRPX2,1.08609,mRNA,,
SERTAD2,0.373425,mRNA,,
KLHDC10,-0.569001,mRNA,,
XPO6,-0.197265,mRNA,,
INTU,-0.200035,mRNA,,
UBA6,-0.0277854,mRNA,,
RDX,-0.567497,mRNA,,
JARID2,-0.0948778,mRNA,,
ARPC5,-0.0844373,mRNA,,
STK40,-0.352832,mRNA,,
SFXN1,-0.116648,mRNA,,
EDC3,0.0864004,mRNA,,
ETS1,0.14395,mRNA,,
CDK1,0.307581,mRNA,,
SP7,-0.0859411,mRNA,,
CASR,-1.19233,mRNA,,
MMP16,2.2683,mRNA,,
FRK,-0.856433,mRNA,,
ABCB9,0.777075,mRNA,,
QSER1,-0.206395,mRNA,,
NFATC2IP,-0.0256052,mRNA,,
PPM1L,-1.67778,mRNA,,
PPIL2,-0.213101,mRNA,,
NFE2L1,-0.251136,mRNA,,
AR,-2.33554,mRNA,,
RPL37A,0.250237,mRNA,,
MXRA7,0.163756,mRNA,,
VAV3,0.137057,mRNA,,
HDLBP,-0.109423,mRNA,,
GNPDA1,0.558846,mRNA,,
PLA2G2D,-0.918993,mRNA,,
CDC23,-0.17316,mRNA,,
NLRC5,0.173844,mRNA,,
CPT2,0.132026,mRNA,,
ADARB1,0.477191,mRNA,,
CFLAR,-0.31665,mRNA,,
GAPVD1,-0.285865,mRNA,,
OPA1,-0.28476,mRNA,,
CD40,0.456252,mRNA,,
ERLIN2,-0.506502,mRNA,,
SYNGR2,0.757933,mRNA,,
AXIN2,-1.26295,mRNA,,
CLTB,0.340573,mRNA,,
NUP98,-0.170984,mRNA,,
ITGA6,0.762288,mRNA,,
TPM1,0.0428073,mRNA,,
LARP1,-0.0902275,mRNA,,
CDON,-2.20797,mRNA,,
ANKS1A,-0.536548,mRNA,,
CASP6,0.325235,mRNA,,
CDC25C,0.624832,mRNA,,
KCNH1,0.507608,mRNA,,
MKLN1,-0.330214,mRNA,,
AKT1,0.292482,mRNA,,path:hsa04010
ADNP,-0.283575,mRNA,,
RBM12,-0.351385,mRNA,,
FUT8,0.166028,mRNA,,
SPTBN1,-0.840735,mRNA,,
APAF1,-0.221035,mRNA,,
SYNE2,-0.79571,mRNA,,
BIRC3,-0.159458,mRNA,,
ZDHHC16,0.431105,mRNA,,
DIABLO,0.212106,mRNA,,
NDRG1,-0.677062,mRNA,,
TRAF3,-0.53083,mRNA,,
IRGQ,0.233426,mRNA,,
EXT2,0.0287332,mRNA,,
MTAP,0.100381,mRNA,,
TMOD2,-0.075333,mRNA,,
BCLAF1,-0.290249,mRNA,,
RNF40,-0.0974025,mRNA,,
MTMR9,-0.261876,mRNA,,
GIGYF2,-0.182357,mRNA,,
GDE1,0.292744,mRNA,,
FIGN,-0.457538,mRNA,,
POLR3E,-0.221572,mRNA,,
TGIF2,-0.327113,mRNA,,
CASP10,0.559884,mRNA,,
KIF2A,-0.318868,mRNA,,
FAM104A,0.167699,mRNA,,
NUCKS1,-0.276073,mRNA,,
ACSL4,0.103274,mRNA,,
WDR77,0.0122055,mRNA,,
MAP4,0.457749,mRNA,,
PLIN3,0.184901,mRNA,,
RRM2,1.27212,mRNA,,
LEF1,0.658088,mRNA,,
XIAP,0.0123908,mRNA,,
GYG1,0.261357,mRNA,,
FOSL1,0.743033,mRNA,,
UST,-1.02199,mRNA,,
CCT3,0.205961,mRNA,,
PDGFRA,-2.09843,mRNA,,path:hsa04010
RRAS,0.96998,mRNA,,path:hsa04010
ERLIN1,0.371716,mRNA,,
SNTB2,-0.534279,mRNA,,
RAB3GAP2,-0.249995,mRNA,,
AKR1B1,-0.0554724,mRNA,,
GATA4,-1.10563,mRNA,,
CXCL9,-0.499351,mRNA,,
CCL22,0.888688,mRNA,,
PDXK,0.0378403,mRNA,,
PEA15,0.566447,mRNA,,
HRK,1.7363,mRNA,,
TNFRSF10A,0.709381,mRNA,,
BCL10,-0.1793,mRNA,,
CDKN1B,-0.290395,mRNA,,
PKP2,1.70917,mRNA,,
STX1A,0.0411178,mRNA,,
TSN,0.176668,mRNA,,
TOMM40,0.14547,mRNA,,
RBCK1,0.306035,mRNA,,
EDEM3,-0.294256,mRNA,,
ZSWIM7,0.21404,mRNA,,
RNF169,-0.303103,mRNA,,
BCL2A1,0.229064,mRNA,,
AIFM1,-0.162853,mRNA,,
ALS2,-0.30849,mRNA,,
LLPH,-0.0620643,mRNA,,
MBD6,-0.202817,mRNA,,
FKBP1B,-0.213014,mRNA,,
TPCN2,-0.210669,mRNA,,
GDF5,0.0474143,mRNA,,
MOV10,0.337814,mRNA,,
CD70,1.7213,mRNA,,
TNF,-0.884273,mRNA,,path:hsa04010
POLR2A,-0.00532241,mRNA,,
RPL37,0.172892,mRNA,,
BIRC5,1.21499,mRNA,,
TGFBR2,-0.327293,mRNA,,path:hsa04010
SHE,0.70267,mRNA,,
ZNF460,-0.654611,mRNA,,
FNIP1,-0.160198,mRNA,,
FBXW2,-0.190183,mRNA,,
GGCX,-0.209955,mRNA,,
ZNF417,-0.574944,mRNA,,
IL6ST,-0.700197,mRNA,,
CYP20A1,-0.547076,mRNA,,
AURKA,-0.344306,mRNA,,
NUP43,0.0541169,mRNA,,
TXLNA,0.287416,mRNA,,
KCNC4,0.0666361,mRNA,,
SUPT7L,0.0482332,mRNA,,
ZDHHC5,0.288447,mRNA,,
CYTH2,0.0602444,mRNA,,
ESRP1,0.300003,mRNA,,
UHRF1BP1,-0.0867985,mRNA,,
G2E3,-0.687721,mRNA,,
TMEM33,0.164794,mRNA,,
SLC25A36,-0.383897,mRNA,,
TEF,0.167792,mRNA,,
LHFPL2,0.143218,mRNA,,
AKAP10,-0.536876,mRNA,,
SOX11,2.50261,mRNA,,
ZNF157,-1.05299,mRNA,,
KIF5B,0.0635354,mRNA,,
GCNT3,-1.02526,mRNA,,
SPRYD4,-0.083497,mRNA,,
HOXA13,0.346571,mRNA,,
CNOT4,-0.446973,mRNA,,
TRIM13,0.0214038,mRNA,,
MTRF1L,-0.295153,mRNA,,
TM2D2,-0.333375,mRNA,,
IL6R,-0.606354,mRNA,,
FOXP1,-0.123937,mRNA,,
SMAD2,-0.235118,mRNA,,
PIK3R1,-0.0574386,mRNA,,
CADM1,0.0313251,mRNA,,
UBE2S,-0.13585,mRNA,,
RCOR3,-0.0956768,mRNA,,
HPGD,-0.360668,mRNA,,
CENPN,-0.0669076,mRNA,,
MBD4,0.0469316,mRNA,,
SEC23IP,-0.307189,mRNA,,
IGSF3,1.03532,mRNA,,
UBASH3B,-0.254349,mRNA,,
MACROD2,1.44726,mRNA,,
PDE4C,3.39864,mRNA,,
ANKRD50,-0.219359,mRNA,,
RPS16,0.113295,mRNA,,
AP1G1,-0.172071,mRNA,,
ANKRD9,-0.697965,mRNA,,
STK4,-0.2025,mRNA,,path:hsa04010
KIF1A,-2.43319,mRNA,,
YIPF6,-0.487221,mRNA,,
GEN1,-0.412395,mRNA,,
FAM120AOS,-0.189454,mRNA,,
ZBTB44,-0.32215,mRNA,,
ATP11B,0.0132118,mRNA,,
RAP1GAP2,0.628313,mRNA,,
MRAS,-0.0454231,mRNA,,path:hsa04010
AGAP3,0.17453,mRNA,,
ACTN4,0.610742,mRNA,,
CEBPG,-0.268584,mRNA,,
SLC31A1,-0.17653,mRNA,,
SRPK1,0.0213946,mRNA,,
GCM1,-0.25416,mRNA,,
ARCN1,-0.0710393,mRNA,,
MORF4L2,-0.252564,mRNA,,
ZNF431,-0.000584814,mRNA,,
RPS19,0.391838,mRNA,,
RPS29,0.143571,mRNA,,
TK1,1.79306,mRNA,,
AZIN1,-0.320716,mRNA,,
LHFPL5,0.227137,mRNA,,
ZNF107,-0.342564,mRNA,,
GPR173,0.233604,mRNA,,
LCOR,-0.676371,mRNA,,
ZNF268,-0.462333,mRNA,,
EEF2K,0.13138,mRNA,,
PAK3,-3.11621,mRNA,,
VGLL4,-0.264111,mRNA,,
TOR1AIP1,-0.447977,mRNA,,
COPS7B,0.246703,mRNA,,
KLF6,-1.14548,mRNA,,
KCNB1,-0.961281,mRNA,,
NCBP2,0.0711113,mRNA,,
MATN1,-0.390173,mRNA,,
COIL,-0.29932,mRNA,,
ANKRD40,-0.10453,mRNA,,
OTUD7A,-0.60448,mRNA,,
ZNF740,-0.220844,mRNA,,
TMEM97,0.0281649,mRNA,,
TMEM106B,0.082156,mRNA,,
IDE,-0.0989825,mRNA,,
TFRC,-0.892238,mRNA,,
PPIP5K2,-0.383862,mRNA,,
ST3GAL5,1.3249,mRNA,,
FXR1,0.0036321,mRNA,,
GLDN,2.13935,mRNA,,
SCARB2,0.48429,mRNA,,
SRGAP2,0.869972,mRNA,,
ABCC1,-0.51134,mRNA,,
MICALL1,-0.169517,mRNA,,
UBE2A,0.563695,mRNA,,
PAK1,-0.131883,mRNA,,path:hsa04010
SLC25A15,-1.8953,mRNA,,
SULT1B1,0.537958,mRNA,,
EHD3,-0.139073,mRNA,,
ZNF385A,0.176443,mRNA,,
KIF16B,-0.504776,mRNA,,
BMPR2,0.144645,mRNA,,
GLS,0.160195,mRNA,,
GNA12,-0.0890615,mRNA,,path:hsa04010
RCC2,0.791827,mRNA,,
CRLS1,0.0809407,mRNA,,
CNNM4,-0.524721,mRNA,,
ALG9,-0.0616428,mRNA,,
ROR1,0.579259,mRNA,,
LANCL1,-0.246043,mRNA,,
SLC5A3,-0.227063,mRNA,,
CNTNAP2,-1.65519,mRNA,,
SERPINB5,1.22414,mRNA,,
RYK,0.0436845,mRNA,,
SLIT3,-0.242573,mRNA,,
PIGH,-0.22185,mRNA,,
GJC1,1.12565,mRNA,,
COMMD7,0.0322026,mRNA,,
ADCY9,-0.486089,mRNA,,
DAZAP2,-0.325737,mRNA,,
RSPRY1,-0.188636,mRNA,,
CACNG5,-0.0917909,mRNA,,path:hsa04010
PIK3R3,0.125385,mRNA,,
FAM136A,0.132232,mRNA,,
MTHFD2,0.49606,mRNA,,
APBB2,-0.636661,mRNA,,
HOXC12,0.00438728,mRNA,,
PPP4R2,-0.502186,mRNA,,
NTRK3,1.28019,mRNA,,
TNFAIP8,-0.740664,mRNA,,
FRMD4B,-0.560983,mRNA,,
NR6A1,-0.73708,mRNA,,
PRRX1,-1.40211,mRNA,,
SOX7,-0.372399,mRNA,,
SERINC5,-0.164119,mRNA,,
ONECUT2,-1.00275,mRNA,,
SLC30A4,-1.06147,mRNA,,
MYLK,-0.194772,mRNA,,
TTC7B,-0.0233559,mRNA,,
ZNF704,-0.732091,mRNA,,
RASGRF1,4.11654,mRNA,,path:hsa04010
RASGRF2,-0.535876,mRNA,,path:hsa04010
DUSP10,-0.286146,mRNA,,path:hsa04010
DUSP1,-1.38667,mRNA,,path:hsa04010
DUSP4,2.39998,mRNA,,path:hsa04010
DUSP5,2.11214,mRNA,,path:hsa04010
DUSP6,2.24118,mRNA,,path:hsa04010
DUSP7,0.460727,mRNA,,path:hsa04010
DUSP8,0.417305,mRNA,,path:hsa04010
DUSP9,0.552695,mRNA,,path:hsa04010
DUSP16,-0.0886686,mRNA,,path:hsa04010
DUSP3,-0.103333,mRNA,,path:hsa04010
PTPN7,-0.0676047,mRNA,,path:hsa04010
PTPRR,0.750965,mRNA,,path:hsa04010
PTPN5,0.303387,mRNA,,path:hsa04010
PPM1B,-0.281325,mRNA,,path:hsa04010
FASLG,-0.469873,mRNA,,path:hsa04010
MAP4K4,0.837173,mRNA,,path:hsa04010
PLA2G4E,-0.117603,mRNA,,path:hsa04010
PLA2G4F,-1.99594,mRNA,,path:hsa04010
PLA2G4D,0.0833023,mRNA,,path:hsa04010
PLA2G4A,-0.845108,mRNA,,path:hsa04010
PLA2G4C,-0.467076,mRNA,,path:hsa04010
JMJD7-PLA2G4B,-0.114633,mRNA,,path:hsa04010
MAPT,-0.561811,mRNA,,path:hsa04010
NFKB2,0.362418,mRNA,,path:hsa04010
RELA,0.276725,mRNA,,path:hsa04010
RELB,0.53776,mRNA,,path:hsa04010
CHUK,-0.316108,mRNA,,path:hsa04010
IKBKB,-0.275459,mRNA,,path:hsa04010
IKBKG,-0.110603,mRNA,,path:hsa04010
MAP3K14,-0.129381,mRNA,,path:hsa04010
MAPK1,0.241241,mRNA,,path:hsa04010
MAPK3,-0.0145805,mRNA,,path:hsa04010
MAP2K2,0.263747,mRNA,,path:hsa04010
MAP2K1,0.204793,mRNA,,path:hsa04010
RAF1,-0.137046,mRNA,,path:hsa04010
BRAF,-0.0967114,mRNA,,path:hsa04010
NF1,-0.147912,mRNA,,path:hsa04010
PRKCA,-1.32397,mRNA,,path:hsa04010
PRKCB,-0.00504381,mRNA,,path:hsa04010
PRKCG,-0.326495,mRNA,,path:hsa04010
RAP1A,-0.0265394,mRNA,,path:hsa04010
RAP1B,0.0542712,mRNA,,path:hsa04010
PRKACA,0.450988,mRNA,,path:hsa04010
PRKACB,-0.832178,mRNA,,path:hsa04010
PRKACG,-0.0172721,mRNA,,path:hsa04010
RAPGEF2,-0.508442,mRNA,,path:hsa04010
RASA2,-0.556066,mRNA,,path:hsa04010
RRAS2,-0.391859,mRNA,,path:hsa04010
HRAS,0.531869,mRNA,,path:hsa04010
KRAS,-0.113046,mRNA,,path:hsa04010
RASGRP1,-0.127859,mRNA,,path:hsa04010
RASGRP2,-0.592291,mRNA,,path:hsa04010
RASGRP4,0.492533,mRNA,,path:hsa04010
RASGRP3,-0.0383387,mRNA,,path:hsa04010
SOS1,-0.450636,mRNA,,path:hsa04010
SOS2,-0.314144,mRNA,,path:hsa04010
GNG12,-0.0881562,mRNA,,path:hsa04010
GRB2,0.0841667,mRNA,,path:hsa04010
CSF1R,0.70339,mRNA,,path:hsa04010
EPHA2,1.00243,mRNA,,path:hsa04010
ERBB2,0.589685,mRNA,,path:hsa04010
ERBB3,1.28531,mRNA,,path:hsa04010
FGFR3,0.908761,mRNA,,path:hsa04010
FGFR2,-1.32147,mRNA,,path:hsa04010
FGFR4,-0.786209,mRNA,,path:hsa04010
FLT1,0.188106,mRNA,,path:hsa04010
FLT3,-0.71821,mRNA,,path:hsa04010
FLT4,-0.447092,mRNA,,path:hsa04010
IGF1R,-0.00738523,mRNA,,path:hsa04010
INSR,1.01721,mRNA,,path:hsa04010
KDR,-0.0177677,mRNA,,path:hsa04010
NGFR,1.01727,mRNA,,path:hsa04010
NTRK1,0.185892,mRNA,,path:hsa04010
PDGFRB,0.282091,mRNA,,path:hsa04010
RET,-0.0855128,mRNA,,path:hsa04010
TEK,-0.132501,mRNA,,path:hsa04010
CACNG3,-0.0176603,mRNA,,path:hsa04010
CACNG2,-0.0906269,mRNA,,path:hsa04010
CACNG4,3.27838,mRNA,,path:hsa04010
CACNA2D3,-1.45905,mRNA,,path:hsa04010
CACNG7,-0.0198379,mRNA,,path:hsa04010
CACNG6,0.0323895,mRNA,,path:hsa04010
CACNA1A,-0.0324239,mRNA,,path:hsa04010
CACNA1B,-1.89609,mRNA,,path:hsa04010
CACNA1C,0.820805,mRNA,,path:hsa04010
CACNA1D,-1.26307,mRNA,,path:hsa04010
CACNA1E,-0.354463,mRNA,,path:hsa04010
CACNA1F,-0.191297,mRNA,,path:hsa04010
CACNA1S,-0.0845072,mRNA,,path:hsa04010
CACNA2D1,-1.65271,mRNA,,path:hsa04010
CACNB1,1.31261,mRNA,,path:hsa04010
CACNB2,-0.029286,mRNA,,path:hsa04010
CACNB3,0.572901,mRNA,,path:hsa04010
CACNB4,-1.29079,mRNA,,path:hsa04010
CACNG1,0.132954,mRNA,,path:hsa04010
CACNA1I,-1.12258,mRNA,,path:hsa04010
CACNA1H,-1.15556,mRNA,,path:hsa04010
CACNA1G,-0.503088,mRNA,,path:hsa04010
CACNA2D2,0.00925111,mRNA,,path:hsa04010
CACNA2D4,-0.651172,mRNA,,path:hsa04010
NR4A1,-1.77694,mRNA,,path:hsa04010
MAPK7,0.247969,mRNA,,path:hsa04010
MAP2K5,-0.18463,mRNA,,path:hsa04010
NLK,-0.219755,mRNA,,path:hsa04010
CDC25B,0.531958,mRNA,,path:hsa04010
RPS6KA4,0.530737,mRNA,,path:hsa04010
MAPKAPK3,0.766329,mRNA,,path:hsa04010
MAPKAPK2,0.276761,mRNA,,path:hsa04010
ATF4,-0.304745,mRNA,,path:hsa04010
MAX,0.163815,mRNA,,path:hsa04010
DDIT3,0.0352708,mRNA,,path:hsa04010
ELK4,-0.581819,mRNA,,path:hsa04010
TP53,0.385569,mRNA,,path:hsa04010
ELK1,0.472703,mRNA,,path:hsa04010
MAPK11,0.515832,mRNA,,path:hsa04010
MAPK13,0.868533,mRNA,,path:hsa04010
MAPK12,0.755565,mRNA,,path:hsa04010
PPP5C,0.521548,mRNA,,path:hsa04010
MAP2K6,-0.940688,mRNA,,path:hsa04010
MAP2K3,0.266134,mRNA,,path:hsa04010
PPM1A,-0.197792,mRNA,,path:hsa04010
AKT2,-0.367895,mRNA,,path:hsa04010
TAOK3,-0.232057,mRNA,,path:hsa04010
TAOK2,0.230473,mRNA,,path:hsa04010
MAP3K4,-0.520806,mRNA,,path:hsa04010
HSPB1,0.229732,mRNA,,path:hsa04010
MAP3K7,-0.148902,mRNA,,path:hsa04010
MAP3K5,0.557399,mRNA,,path:hsa04010
MAP3K6,1.39075,mRNA,,path:hsa04010
MAP3K12,0.382182,mRNA,,path:hsa04010
MAP3K13,-0.112696,mRNA,,path:hsa04010
MAP3K9,-0.566213,mRNA,,path:hsa04010
MAP3K10,-0.302835,mRNA,,path:hsa04010
STK3,0.137627,mRNA,,path:hsa04010
ECSIT,-0.516125,mRNA,,path:hsa04010
TAB2,-0.169146,mRNA,,path:hsa04010
TAB1,-0.111506,mRNA,,path:hsa04010
GADD45G,-1.02643,mRNA,,path:hsa04010
GADD45A,-0.300954,mRNA,,path:hsa04010
GADD45B,-0.944914,mRNA,,path:hsa04010
DAXX,-0.0613811,mRNA,,path:hsa04010
TRAF2,-0.172496,mRNA,,path:hsa04010
CASP3,0.318576,mRNA,,path:hsa04010
CD14,0.605686,mRNA,,path:hsa04010
FAS,0.935702,mRNA,,path:hsa04010
IL1R1,-0.311045,mRNA,,path:hsa04010
IL1RAP,2.08347,mRNA,,path:hsa04010
TNFRSF1A,0.770027,mRNA,,path:hsa04010
TGFB1,1.66259,mRNA,,path:hsa04010
TGFB2,0.861801,mRNA,,path:hsa04010
TGFB3,-0.173384,mRNA,,path:hsa04010
IL1A,-0.621843,mRNA,,path:hsa04010
IL1B,-0.226117,mRNA,,path:hsa04010
MAPKAPK5,0.0194002,mRNA,,path:hsa04010
RAC1,0.248718,mRNA,,path:hsa04010
RAC2,0.670751,mRNA,,path:hsa04010
RAC3,-1.02623,mRNA,,path:hsa04010
PAK2,0.215621,mRNA,,path:hsa04010
MAP3K3,0.0199845,mRNA,,path:hsa04010
MAPK8IP2,-1.30439,mRNA,,path:hsa04010
MAPK8IP1,-0.778765,mRNA,,path:hsa04010
MAP3K11,0.592456,mRNA,,path:hsa04010
MAP2K7,0.272615,mRNA,,path:hsa04010
MAP2K4,0.0298802,mRNA,,path:hsa04010
CRK,-0.224276,mRNA,,path:hsa04010
CRKL,-0.145116,mRNA,,path:hsa04010
ARRB1,0.140166,mRNA,,path:hsa04010
ARRB2,0.280482,mRNA,,path:hsa04010
MECOM,0.952231,mRNA,,path:hsa04010
HSPA1A,-0.750044,mRNA,,path:hsa04010
HSPA1B,-0.539757,mRNA,,path:hsa04010
HSPA1L,-0.625452,mRNA,,path:hsa04010
HSPA6,0.308362,mRNA,,path:hsa04010
HSPA8,-0.346272,mRNA,,path:hsa04010
JUND,-0.761136,mRNA,,path:hsa04010
FOS,-1.85505,mRNA,,path:hsa04010
JUN,-1.77314,mRNA,,path:hsa04010
NFATC3,-0.589972,mRNA,,path:hsa04010
NFATC1,-1.15636,mRNA,,path:hsa04010
PPP3CA,0.183504,mRNA,,path:hsa04010
PPP3CB,0.187404,mRNA,,path:hsa04010
PPP3CC,-0.133756,mRNA,,path:hsa04010
PPP3R2,-0.173382,mRNA,,path:hsa04010
MAPK8IP3,0.162292,mRNA,,path:hsa04010
FLNA,0.786555,mRNA,,path:hsa04010
MAP3K1,0.746672,mRNA,,path:hsa04010
MAP3K8,-1.16864,mRNA,,path:hsa04010
MAP4K1,0.149178,mRNA,,path:hsa04010
MAP4K3,-0.402097,mRNA,,path:hsa04010
SRF,-1.14039,mRNA,,path:hsa04010
MYC,-0.680166,mRNA,,path:hsa04010
RPS6KA6,-2.27032,mRNA,,path:hsa04010
RPS6KA1,-0.0145563,mRNA,,path:hsa04010
RPS6KA2,0.579583,mRNA,,path:hsa04010
RPS6KA3,0.451063,mRNA,,path:hsa04010
MKNK2,0.0741991,mRNA,,path:hsa04010
MKNK1,0.210818,mRNA,,path:hsa04010
CSF1,0.055175,mRNA,,path:hsa04010
EFNA1,-0.0835823,mRNA,,path:hsa04010
EFNA2,0.140312,mRNA,,path:hsa04010
EFNA3,1.01428,mRNA,,path:hsa04010
EFNA4,0.515339,mRNA,,path:hsa04010
EFNA5,-1.40675,mRNA,,path:hsa04010
EGF,-1.51079,mRNA,,path:hsa04010
EREG,2.1937,mRNA,,path:hsa04010
FGF1,1.4326,mRNA,,path:hsa04010
FGF3,0.0648398,mRNA,,path:hsa04010
FGF4,0.0445503,mRNA,,path:hsa04010
FGF5,0.0728579,mRNA,,path:hsa04010
FGF6,-0.0177677,mRNA,,path:hsa04010
FGF7,-1.62033,mRNA,,path:hsa04010
FGF8,0.0147234,mRNA,,path:hsa04010
FGF9,-0.258844,mRNA,,path:hsa04010
FGF10,-1.92348,mRNA,,path:hsa04010
FLT3LG,-0.0542521,mRNA,,path:hsa04010
FGF20,0.89448,mRNA,,path:hsa04010
FGF21,-0.00271036,mRNA,,path:hsa04010
GDNF,0.211255,mRNA,,path:hsa04010
FGF22,-0.0118982,mRNA,,path:hsa04010
ANGPT1,-0.435111,mRNA,,path:hsa04010
ANGPT2,0.546182,mRNA,,path:hsa04010
IGF1,-1.55866,mRNA,,path:hsa04010
IGF2,-1.00932,mRNA,,path:hsa04010
INS,-0.0397988,mRNA,,path:hsa04010
AREG,1.02876,mRNA,,path:hsa04010
KITLG,-0.363473,mRNA,,path:hsa04010
NGF,0.135368,mRNA,,path:hsa04010
NRTN,0.788385,mRNA,,path:hsa04010
NTF3,-0.233913,mRNA,,path:hsa04010
NTF4,0.136894,mRNA,,path:hsa04010
ANGPT4,-1.19173,mRNA,,path:hsa04010
PDGFA,1.27297,mRNA,,path:hsa04010
PDGFB,0.850601,mRNA,,path:hsa04010
PGF,-1.38452,mRNA,,path:hsa04010
PDGFC,0.672015,mRNA,,path:hsa04010
PSPN,-0.269315,mRNA,,path:hsa04010
TGFA,2.3034,mRNA,,path:hsa04010
VEGFB,-0.212938,mRNA,,path:hsa04010
VEGFC,-0.187872,mRNA,,path:hsa04010
PDGFD,-0.0104381,mRNA,,path:hsa04010
FGF23,-0.290166,mRNA,,path:hsa04010
FGF18,-0.0143111,mRNA,,path:hsa04010
FGF17,-0.836944,mRNA,,path:hsa04010
FGF16,-0.143424,mRNA,,path:hsa04010
ARTN,0.56589,mRNA,,path:hsa04010
FGF19,0.400257,mRNA,,path:hsa04010
TRADD,0.122426,mRNA,,path:hsa04010
MYD88,0.48038,mRNA,,path:hsa04010
IRAK1,-0.567205,mRNA,,path:hsa04010
ARAF,-0.110567,mRNA,,path:hsa04010
fu:227de0aca402ebd76649d4b3506286bd4de9551dce503b98dd6a4c485c9c4ae1,,functional_unit,OR,path:hsa04010
fu:1b27e254e218fb1e9354da9d6528b34c70f504613702fe88976bdda220d4bc87,,functional_unit,OR,path:hsa04010
fu:b9b8b3c8ae2282343f37ddb427dd86aa42d0f2e54c5c87245bf80c0cd61469f1,,functional_unit,OR,path:hsa04010
fu:488bc6e28186e5fc78debe7facd69337bc47798c11bd3bc6877d9e889fcdbcd3,,functional_unit,SINGLE,path:hsa04010
fu:f06e54fe2645139d18f0d390e5b96ed3958f8330d7a7b603869c3800dd351dfa,,functional_unit,SINGLE,path:hsa04010
fu:1b21a0754ae7dbf0fb6c62a3b6bfe4fb4c9e7665dacc2da0032db6955cfd4fb6,,functional_unit,SINGLE,path:hsa04010
fu:182546595a64f67c7d531b52f5ea648bfdffbc91c398bcd77b4c3181108d4f47,,functional_unit,OR,path:hsa04010
fu:c00be97392016aacd6ce8f605bc043975dac3ed49e8c37bb1d71b829b700b67b,,functional_unit,SINGLE,path:hsa04010
fu:2a7ce807a71a072e33cfa060ae8d961f501535f9fb9ca64c4c08a5b745639afc,,functional_unit,SINGLE,path:hsa04010
fu:68b59fd0a08ffdb63712c0c594b3cba82114193a51d8d90d2d401e65fbc5c788,,functional_unit,OR,path:hsa04010
fu:503ff7009dc7c17fdbeeafa3bf826554b045867b726d353099cbb525a0328140,,functional_unit,OR,path:hsa04010
fu:740084bed9bf3f76f31fc2a7c5e876e9bd2420074ffeaf6a556f57122b3c848c,,functional_unit,SINGLE,path:hsa04010
