logFC,id,type
0.137057,VAV3,mRNA
-0.109423,HDLBP,mRNA
0.558846,GNPDA1,mRNA
-0.918993,PLA2G2D,mRNA
-0.17316,CDC23,mRNA
0.173844,NLRC5,mRNA
0.132026,CPT2,mRNA
0.477191,ADARB1,mRNA
-0.31665,CFLAR,mRNA
-0.285865,GAPVD1,mRNA
-0.28476,OPA1,mRNA
0.456252,CD40,mRNA
-0.506502,ERLIN2,mRNA
0.757933,SYNGR2,mRNA
-1.26295,AXIN2,mRNA
0.340573,CLTB,mRNA
-0.170984,NUP98,mRNA
0.762288,ITGA6,mRNA
0.0428073,TPM1,mRNA
-0.0902275,LARP1,mRNA
-2.20797,CDON,mRNA
-0.536548,ANKS1A,mRNA
0.325235,CASP6,mRNA
0.624832,CDC25C,mRNA
0.507608,KCNH1,mRNA
-0.330214,MKLN1,mRNA
0.292482,AKT1,mRNA
-0.283575,ADNP,mRNA
-0.351385,RBM12,mRNA
0.166028,FUT8,mRNA
-0.840735,SPTBN1,mRNA
-0.221035,APAF1,mRNA
-0.79571,SYNE2,mRNA
-0.159458,BIRC3,mRNA
0.431105,ZDHHC16,mRNA
0.212106,DIABLO,mRNA
-0.677062,NDRG1,mRNA
-0.53083,TRAF3,mRNA
0.233426,IRGQ,mRNA
0.0287332,EXT2,mRNA
0.100381,MTAP,mRNA
-0.075333,TMOD2,mRNA
-0.290249,BCLAF1,mRNA
-0.0974025,RNF40,mRNA
-0.261876,MTMR9,mRNA
-0.182357,GIGYF2,mRNA
0.292744,GDE1,mRNA
-0.457538,FIGN,mRNA
-0.221572,POLR3E,mRNA
-0.327113,TGIF2,mRNA
0.559884,CASP10,mRNA
-0.318868,KIF2A,mRNA
0.167699,FAM104A,mRNA
-0.276073,NUCKS1,mRNA
0.103274,ACSL4,mRNA
0.0122055,WDR77,mRNA
0.457749,MAP4,mRNA
0.184901,PLIN3,mRNA
1.27212,RRM2,mRNA
0.658088,LEF1,mRNA
0.0123908,XIAP,mRNA
0.261357,GYG1,mRNA
0.743033,FOSL1,mRNA
-1.02199,UST,mRNA
0.205961,CCT3,mRNA
-2.09843,PDGFRA,mRNA
0.96998,RRAS,mRNA
0.371716,ERLIN1,mRNA
-0.534279,SNTB2,mRNA
-0.249995,RAB3GAP2,mRNA
-0.0554724,AKR1B1,mRNA
-1.10563,GATA4,mRNA
-0.499351,CXCL9,mRNA
0.888688,CCL22,mRNA
0.0378403,PDXK,mRNA
0.566447,PEA15,mRNA
1.7363,HRK,mRNA
0.709381,TNFRSF10A,mRNA
-0.1793,BCL10,mRNA
-0.290395,CDKN1B,mRNA
1.70917,PKP2,mRNA
0.0411178,STX1A,mRNA
0.176668,TSN,mRNA
0.14547,TOMM40,mRNA
0.306035,RBCK1,mRNA
-0.294256,EDEM3,mRNA
0.21404,ZSWIM7,mRNA
-0.303103,RNF169,mRNA
0.229064,BCL2A1,mRNA
-0.162853,AIFM1,mRNA
-0.30849,ALS2,mRNA
-0.0620643,LLPH,mRNA
-0.202817,MBD6,mRNA
-0.213014,FKBP1B,mRNA
-0.210669,TPCN2,mRNA
0.0474143,GDF5,mRNA
0.337814,MOV10,mRNA
1.7213,CD70,mRNA
-0.884273,TNF,mRNA
-0.00532241,POLR2A,mRNA
0.172892,RPL37,mRNA
1.21499,BIRC5,mRNA
-0.327293,TGFBR2,mRNA
0.70267,SHE,mRNA
-0.654611,ZNF460,mRNA
-0.160198,FNIP1,mRNA
-0.190183,FBXW2,mRNA
-0.209955,GGCX,mRNA
-0.574944,ZNF417,mRNA
-0.700197,IL6ST,mRNA
-0.547076,CYP20A1,mRNA
-0.344306,AURKA,mRNA
0.0541169,NUP43,mRNA
0.287416,TXLNA,mRNA
0.0666361,KCNC4,mRNA
0.0482332,SUPT7L,mRNA
0.288447,ZDHHC5,mRNA
0.0602444,CYTH2,mRNA
0.300003,ESRP1,mRNA
-0.0867985,UHRF1BP1,mRNA
-0.687721,G2E3,mRNA
0.164794,TMEM33,mRNA
-0.383897,SLC25A36,mRNA
0.167792,TEF,mRNA
0.143218,LHFPL2,mRNA
-0.536876,AKAP10,mRNA
2.50261,SOX11,mRNA
-1.05299,ZNF157,mRNA
0.0635354,KIF5B,mRNA
-1.02526,GCNT3,mRNA
-0.083497,SPRYD4,mRNA
0.346571,HOXA13,mRNA
-0.446973,CNOT4,mRNA
0.0214038,TRIM13,mRNA
-0.295153,MTRF1L,mRNA
-0.333375,TM2D2,mRNA
-0.606354,IL6R,mRNA
-0.123937,FOXP1,mRNA
-0.235118,SMAD2,mRNA
-0.0574386,PIK3R1,mRNA
0.0313251,CADM1,mRNA
-0.13585,UBE2S,mRNA
-0.0956768,RCOR3,mRNA
-0.360668,HPGD,mRNA
-0.0669076,CENPN,mRNA
0.0469316,MBD4,mRNA
-0.307189,SEC23IP,mRNA
1.03532,IGSF3,mRNA
-0.254349,UBASH3B,mRNA
1.44726,MACROD2,mRNA
3.39864,PDE4C,mRNA
-0.219359,ANKRD50,mRNA
0.113295,RPS16,mRNA
-0.172071,AP1G1,mRNA
-0.697965,ANKRD9,mRNA
-0.2025,STK4,mRNA
-2.43319,KIF1A,mRNA
-0.487221,YIPF6,mRNA
-0.412395,GEN1,mRNA
-0.189454,FAM120AOS,mRNA
-0.32215,ZBTB44,mRNA
0.0132118,ATP11B,mRNA
0.628313,RAP1GAP2,mRNA
-0.0454231,MRAS,mRNA
0.17453,AGAP3,mRNA
0.610742,ACTN4,mRNA
-0.268584,CEBPG,mRNA
-0.17653,SLC31A1,mRNA
0.0213946,SRPK1,mRNA
-0.25416,GCM1,mRNA
-0.0710393,ARCN1,mRNA
-0.252564,MORF4L2,mRNA
-0.000584814,ZNF431,mRNA
0.391838,RPS19,mRNA
0.143571,RPS29,mRNA
1.79306,TK1,mRNA
-0.320716,AZIN1,mRNA
0.227137,LHFPL5,mRNA
-0.342564,ZNF107,mRNA
0.233604,GPR173,mRNA
-0.676371,LCOR,mRNA
-0.462333,ZNF268,mRNA
0.13138,EEF2K,mRNA
-3.11621,PAK3,mRNA
-0.264111,VGLL4,mRNA
-0.447977,TOR1AIP1,mRNA
0.246703,COPS7B,mRNA
-1.14548,KLF6,mRNA
-0.961281,KCNB1,mRNA
0.0711113,NCBP2,mRNA
-0.390173,MATN1,mRNA
-0.29932,COIL,mRNA
-0.10453,ANKRD40,mRNA
-0.60448,OTUD7A,mRNA
-0.220844,ZNF740,mRNA
0.0281649,TMEM97,mRNA
0.082156,TMEM106B,mRNA
-0.0989825,IDE,mRNA
-0.892238,TFRC,mRNA
-0.383862,PPIP5K2,mRNA
1.3249,ST3GAL5,mRNA
0.0036321,FXR1,mRNA
2.13935,GLDN,mRNA
0.48429,SCARB2,mRNA
0.869972,SRGAP2,mRNA
-0.51134,ABCC1,mRNA
-0.169517,MICALL1,mRNA
0.563695,UBE2A,mRNA
-0.131883,PAK1,mRNA
-1.8953,SLC25A15,mRNA
0.537958,SULT1B1,mRNA
-0.139073,EHD3,mRNA
0.176443,ZNF385A,mRNA
-0.504776,KIF16B,mRNA
0.144645,BMPR2,mRNA
0.160195,GLS,mRNA
-0.0890615,GNA12,mRNA
0.791827,RCC2,mRNA
0.0809407,CRLS1,mRNA
-0.524721,CNNM4,mRNA
-0.0616428,ALG9,mRNA
0.579259,ROR1,mRNA
-0.246043,LANCL1,mRNA
-0.227063,SLC5A3,mRNA
-1.65519,CNTNAP2,mRNA
1.22414,SERPINB5,mRNA
0.0436845,RYK,mRNA
-0.242573,SLIT3,mRNA
-0.22185,PIGH,mRNA
1.12565,GJC1,mRNA
0.0322026,COMMD7,mRNA
-0.486089,ADCY9,mRNA
-0.325737,DAZAP2,mRNA
-0.188636,RSPRY1,mRNA
-0.0917909,CACNG5,mRNA
0.125385,PIK3R3,mRNA
0.132232,FAM136A,mRNA
0.49606,MTHFD2,mRNA
-0.636661,APBB2,mRNA
0.00438728,HOXC12,mRNA
-0.502186,PPP4R2,mRNA
1.28019,NTRK3,mRNA
-0.740664,TNFAIP8,mRNA
-0.560983,FRMD4B,mRNA
-0.73708,NR6A1,mRNA
-1.40211,PRRX1,mRNA
-0.372399,SOX7,mRNA
-0.164119,SERINC5,mRNA
-1.00275,ONECUT2,mRNA
-1.06147,SLC30A4,mRNA
-0.194772,MYLK,mRNA
-0.0233559,TTC7B,mRNA
-0.732091,ZNF704,mRNA
