#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ADAM19	TSC22D2	9606.ENSP00000257527	9606.ENSP00000354543	0	0.423	0	0	0.422
IL1RAP	PTPRD	9606.ENSP00000314807	9606.ENSP00000370593	0	0.543	0.900	0.349	0.967
IL2RA	SOS1	9606.ENSP00000369293	9606.ENSP00000384675	0	0	0.400	0.093	0.432
INTS7	POLR2H	9606.ENSP00000355961	9606.ENSP00000415536	0	0.800	0	0	0.800
IQGAP1	RALA	9606.ENSP00000268182	9606.ENSP00000005257	0	0	0	0.461	0.461
IQGAP1	TPM4	9606.ENSP00000268182	9606.ENSP00000494125	0	0.180	0	0.568	0.630
IRF1	SOCS3	9606.ENSP00000245414	9606.ENSP00000330341	0	0	0	0.438	0.438
ITGAL	ITGB3	9606.ENSP00000349252	9606.ENSP00000452786	0	0	0.900	0.090	0.905
ITGB3	PTK2	9606.ENSP00000452786	9606.ENSP00000341189	0	0.457	0.800	0.433	0.933
ITGB3	SPP1	9606.ENSP00000452786	9606.ENSP00000378517	0	0	0.500	0.906	0.950
ITGB3	SOS1	9606.ENSP00000452786	9606.ENSP00000384675	0	0	0.500	0	0.499
KNL1	MLF1	9606.ENSP00000335463	9606.ENSP00000376568	0	0.554	0	0	0.554
LGALS1	NLGN1	9606.ENSP00000215909	9606.ENSP00000392500	0	0	0.540	0	0.540
LIN7A	MPDZ	9606.ENSP00000447488	9606.ENSP00000320006	0	0.224	0	0.470	0.571
LMNA	WDR76	9606.ENSP00000357283	9606.ENSP00000263795	0	0.457	0	0	0.457
LMNA	PAPSS1	9606.ENSP00000357283	9606.ENSP00000265174	0	0	0.500	0	0.499
LPXN	PTK2	9606.ENSP00000431284	9606.ENSP00000341189	0	0.482	0	0.166	0.549
MAGI2	NLGN1	9606.ENSP00000346151	9606.ENSP00000392500	0	0	0	0.775	0.775
MCM10	MCM5	9606.ENSP00000418268	9606.ENSP00000216122	0	0.356	0.500	0.677	0.886
MCM10	MCM4	9606.ENSP00000418268	9606.ENSP00000262105	0	0.597	0.500	0.908	0.980
MCM10	MCM6	9606.ENSP00000418268	9606.ENSP00000264156	0	0.753	0.500	0.586	0.944
MCM10	MCM2	9606.ENSP00000418268	9606.ENSP00000265056	0	0.791	0.500	0.272	0.917
MCM10	TICRR	9606.ENSP00000418268	9606.ENSP00000268138	0	0	0	0.790	0.790
MCM10	WDHD1	9606.ENSP00000418268	9606.ENSP00000353793	0	0.041	0	0.978	0.978
MCM10	ORC1	9606.ENSP00000418268	9606.ENSP00000360623	0	0.073	0.500	0	0.516
MCM10	MCM3	9606.ENSP00000418268	9606.ENSP00000480987	0	0.807	0.500	0.741	0.972
MCM2	MCM5	9606.ENSP00000265056	9606.ENSP00000216122	0	0.991	0.900	0.344	0.999
MCM2	POLE2	9606.ENSP00000265056	9606.ENSP00000216367	0	0.867	0	0	0.867
MCM2	MCM4	9606.ENSP00000265056	9606.ENSP00000262105	0	0.982	0.900	0.665	0.999
MCM2	MCM6	9606.ENSP00000265056	9606.ENSP00000264156	0	0.991	0.900	0.351	0.999
MCM2	WDHD1	9606.ENSP00000265056	9606.ENSP00000353793	0	0.887	0	0	0.887
MCM2	ORC1	9606.ENSP00000265056	9606.ENSP00000360623	0	0.755	0.650	0.353	0.939
MCM2	MCM3	9606.ENSP00000265056	9606.ENSP00000480987	0	0.983	0.900	0.349	0.998
MCM3	MCM5	9606.ENSP00000480987	9606.ENSP00000216122	0	0.990	0.900	0.987	0.999
MCM3	POLE2	9606.ENSP00000480987	9606.ENSP00000216367	0	0.940	0.720	0	0.982
MCM3	MCM4	9606.ENSP00000480987	9606.ENSP00000262105	0	0.981	0.900	0.987	0.999
MCM3	MCM6	9606.ENSP00000480987	9606.ENSP00000264156	0	0.983	0.900	0.987	0.999
MCM3	WDHD1	9606.ENSP00000480987	9606.ENSP00000353793	0	0.896	0	0	0.896
MCM3	ORC1	9606.ENSP00000480987	9606.ENSP00000360623	0	0.386	0.650	0	0.775
MCM3	PCNA	9606.ENSP00000480987	9606.ENSP00000368458	0	0	0.720	0	0.720
MCM4	MCM5	9606.ENSP00000262105	9606.ENSP00000216122	0	0.980	0.900	0.987	0.999
MCM4	POLE2	9606.ENSP00000262105	9606.ENSP00000216367	0	0.900	0	0	0.900
MCM4	PCNA	9606.ENSP00000262105	9606.ENSP00000368458	0	0.619	0	0	0.619
MCM4	WDHD1	9606.ENSP00000262105	9606.ENSP00000353793	0	0.896	0	0	0.896
MCM4	ORC1	9606.ENSP00000262105	9606.ENSP00000360623	0	0.811	0.650	0	0.931
MCM4	MCM6	9606.ENSP00000262105	9606.ENSP00000264156	0	0.990	0.900	0.987	0.999
MCM5	WDHD1	9606.ENSP00000216122	9606.ENSP00000353793	0	0.896	0	0	0.896
MCM5	POLE2	9606.ENSP00000216122	9606.ENSP00000216367	0	0.942	0	0	0.942
MCM5	ORC1	9606.ENSP00000216122	9606.ENSP00000360623	0	0.824	0.650	0.256	0.950
MCM5	MCM6	9606.ENSP00000216122	9606.ENSP00000264156	0	0.980	0.900	0.987	0.999
MCM6	POLE2	9606.ENSP00000264156	9606.ENSP00000216367	0	0.871	0	0	0.871
MCM6	WDHD1	9606.ENSP00000264156	9606.ENSP00000353793	0	0.889	0	0	0.889
MCM6	ORC1	9606.ENSP00000264156	9606.ENSP00000360623	0	0.755	0.650	0	0.910
MFAP3	MFAP5	9606.ENSP00000322956	9606.ENSP00000352455	0	0	0.500	0	0.499
MFAP4	TIMP1	9606.ENSP00000378957	9606.ENSP00000218388	0	0	0	0.410	0.410
MFAP4	MFAP5	9606.ENSP00000378957	9606.ENSP00000352455	0	0	0.500	0	0.499
MIDN	NR4A1	9606.ENSP00000300952	9606.ENSP00000440864	0	0.409	0	0	0.408
MINDY3	TIMP1	9606.ENSP00000277632	9606.ENSP00000218388	0	0	0	0.438	0.438
MND1	RAD51	9606.ENSP00000240488	9606.ENSP00000493712	0	0.236	0	0.719	0.776
NCKAP1	PDLIM1	9606.ENSP00000354251	9606.ENSP00000360305	0	0	0.540	0	0.540
NDUFA2	NDUFAF1	9606.ENSP00000252102	9606.ENSP00000260361	0	0	0.967	0	0.967
NUP210	NUP43	9606.ENSP00000254508	9606.ENSP00000342262	0	0.800	0.800	0	0.958
ORC1	SKP2	9606.ENSP00000360623	9606.ENSP00000274255	0	0.524	0	0	0.524
PCLAF	UHRF1	9606.ENSP00000300035	9606.ENSP00000479617	0	0.488	0	0	0.487
PCLAF	PCNA	9606.ENSP00000300035	9606.ENSP00000368458	0	0.966	0	0	0.966
PCNA	POLE2	9606.ENSP00000368458	9606.ENSP00000216367	0	0	0.500	0	0.499
PCNA	RAD17	9606.ENSP00000368458	9606.ENSP00000426191	0	0.433	0	0.251	0.557
PCNA	RAD51	9606.ENSP00000368458	9606.ENSP00000493712	0	0.457	0	0.233	0.565
PCNA	RFC4	9606.ENSP00000368458	9606.ENSP00000376272	0	0.980	0.500	0.351	0.993
PEX12	SLC27A2	9606.ENSP00000482609	9606.ENSP00000267842	0	0	0.500	0	0.499
PIK3R6	SOCS3	9606.ENSP00000480157	9606.ENSP00000330341	0	0	0.540	0	0.540
PLAU	SERPINE1	9606.ENSP00000361850	9606.ENSP00000223095	0	0.960	0.540	0.982	0.999
POLE2	UHRF1	9606.ENSP00000216367	9606.ENSP00000479617	0	0	0	0.475	0.475
POLE2	RFC4	9606.ENSP00000216367	9606.ENSP00000376272	0	0	0.500	0	0.499
POLE2	WDHD1	9606.ENSP00000216367	9606.ENSP00000353793	0	0.872	0	0	0.872
PSMA4	SORT1	9606.ENSP00000044462	9606.ENSP00000256637	0	0.422	0	0	0.422
PSMA4	UCHL5	9606.ENSP00000044462	9606.ENSP00000356421	0	0.734	0.500	0.090	0.868
PSMA4	PSMA6	9606.ENSP00000044462	9606.ENSP00000261479	0	0.972	0.900	0.446	0.998
PSMA4	PSMB6	9606.ENSP00000044462	9606.ENSP00000270586	0	0.970	0.900	0.624	0.998
PSMA6	UCHL5	9606.ENSP00000261479	9606.ENSP00000356421	0	0.734	0.500	0.090	0.868
PSMA6	PSMB6	9606.ENSP00000261479	9606.ENSP00000270586	0	0.985	0.900	0.593	0.999
PSMB6	UCHL5	9606.ENSP00000270586	9606.ENSP00000356421	0	0.562	0.500	0	0.771
PTGER2	PTGER4	9606.ENSP00000245457	9606.ENSP00000302846	0	0	0.900	0.417	0.939
PTGS1	PTGS2	9606.ENSP00000354612	9606.ENSP00000356438	0	0.292	0.900	0.166	0.935
PTK2	SOCS3	9606.ENSP00000341189	9606.ENSP00000330341	0	0.472	0	0	0.472
PTK2	SOS1	9606.ENSP00000341189	9606.ENSP00000384675	0	0.734	0.800	0.093	0.947
RAD17	RMI1	9606.ENSP00000426191	9606.ENSP00000317039	0	0	0.500	0	0.499
RAD17	RFC4	9606.ENSP00000426191	9606.ENSP00000376272	0	0.982	0.800	0.587	0.998
RAD51	RAD51AP1	9606.ENSP00000493712	9606.ENSP00000228843	0	0.457	0.500	0.651	0.896
RAD51	RMI1	9606.ENSP00000493712	9606.ENSP00000317039	0	0.292	0.500	0.290	0.726
RAD51	RAD51C	9606.ENSP00000493712	9606.ENSP00000336701	0	0.457	0.500	0.778	0.934
RAD51	XRCC2	9606.ENSP00000493712	9606.ENSP00000352271	0	0.457	0.500	0.791	0.938
RAD51AP1	XRCC2	9606.ENSP00000228843	9606.ENSP00000352271	0	0	0.500	0	0.499
RAD51AP1	RMI1	9606.ENSP00000228843	9606.ENSP00000317039	0	0	0.500	0	0.499
RAD51AP1	RAD51C	9606.ENSP00000228843	9606.ENSP00000336701	0	0	0.500	0.098	0.529
RAD51C	RMI1	9606.ENSP00000336701	9606.ENSP00000317039	0	0	0.500	0	0.499
RAD51C	XRCC2	9606.ENSP00000336701	9606.ENSP00000352271	0	0.608	0.900	0.982	0.999
RALA	RALB	9606.ENSP00000005257	9606.ENSP00000272519	0	0	0.900	0.287	0.925
RANBP1	XPO1	9606.ENSP00000401564	9606.ENSP00000384863	0	0.639	0	0.281	0.730
RFC4	RMI1	9606.ENSP00000376272	9606.ENSP00000317039	0	0	0.500	0	0.499
RMI1	XRCC2	9606.ENSP00000317039	9606.ENSP00000352271	0	0	0.500	0	0.499
RRP12	WDR76	9606.ENSP00000446184	9606.ENSP00000263795	0	0.457	0	0	0.457
SELP	SELPLG	9606.ENSP00000263686	9606.ENSP00000228463	0	0.960	0.900	0.987	0.999
SGO1	SMC3	9606.ENSP00000263753	9606.ENSP00000354720	0	0	0	0.546	0.546
SHMT2	TYMS	9606.ENSP00000333667	9606.ENSP00000315644	0	0	0	0.568	0.568
SLF1	SMC6	9606.ENSP00000265140	9606.ENSP00000404092	0	0.420	0.540	0	0.721
SMAD7	XPO1	9606.ENSP00000262158	9606.ENSP00000384863	0	0	0.500	0	0.499
SMAD7	UCHL5	9606.ENSP00000262158	9606.ENSP00000356421	0	0.292	0.500	0.955	0.982
SNUPN	XPO1	9606.ENSP00000454852	9606.ENSP00000384863	0	0.964	0	0.962	0.998
SOS1	TEC	9606.ENSP00000384675	9606.ENSP00000370912	0	0	0.500	0	0.499
SPARC	SPP1	9606.ENSP00000231061	9606.ENSP00000378517	0	0	0	0.832	0.832
TSC22D2	TSC22D3	9606.ENSP00000354543	9606.ENSP00000361458	0	0.671	0	0	0.671
TTC28	WDHD1	9606.ENSP00000381003	9606.ENSP00000353793	0	0.315	0	0.162	0.401
